OrderID,CustomerName,Amount,Date,Category
1,Customer_181,327.39,2026-05-03,Electronics
2,Customer_697,55.0,2026-05-06,Books
3,Customer_933,496.82,2025-08-17,Electronics
4,Customer_575,142.4,2025-11-23,Clothing
5,Customer_49,216.13,2026-07-24,Books
6,Customer_937,252.17,2026-03-16,Furniture
7,Customer_6,44.91,2025-12-14,Electronics
8,Customer_477,381.56,2025-11-27,Furniture
9,Customer_646,83.7,2025-08-10,Furniture
10,Customer_394,180.29,2026-03-12,Furniture
11,Customer_833,210.24,2026-06-08,Toys
12,Customer_8,392.39,2026-06-02,Clothing
13,Customer_462,243.86,2025-09-27,Electronics
14,Customer_424,164.77,2025-08-09,Furniture
15,Customer_293,316.05,2025-11-30,Books
16,Customer_182,384.58,2025-08-17,Furniture
17,Customer_137,141.68,2026-02-03,Clothing
18,Customer_828,289.1,2025-08-13,Clothing
19,Customer_957,356.79,2026-06-18,Electronics
20,Customer_753,52.89,2026-04-22,Books
21,Customer_852,116.99,2026-06-06,Toys
22,Customer_557,269.9,2026-06-07,Books
23,Customer_655,166.56,2026-02-10,Clothing
24,Customer_308,63.77,2025-08-13,Electronics
25,Customer_52,233.52,2025-11-18,Electronics
26,Customer_783,313.87,2025-10-01,Toys
27,Customer_363,151.06,2026-03-17,Clothing
28,Customer_215,315.78,2026-05-02,Books
29,Customer_454,275.32,2026-01-05,Toys
30,Customer_456,87.74,2025-08-03,Clothing
31,Customer_981,338.34,2026-04-04,Clothing
32,Customer_278,488.27,2026-01-24,Electronics
33,Customer_498,360.91,2026-05-19,Electronics
34,Customer_132,173.56,2025-10-11,Furniture
35,Customer_902,486.45,2025-12-19,Electronics
36,Customer_74,199.08,2026-05-15,Books
37,Customer_64,45.02,2026-05-18,Electronics
38,Customer_105,110.35,2026-06-27,Furniture
39,Customer_460,312.0,2025-08-06,Toys
40,Customer_799,432.05,2026-01-10,Electronics
41,Customer_624,99.19,2025-10-22,Furniture
42,Customer_974,499.74,2025-09-30,Furniture
