OrderID,CustomerName,Amount,Date,Category
1,Customer_536,455.18,2026-07-18,Clothing
2,Customer_691,235.31,2026-02-14,Electronics
3,Customer_983,483.74,2026-02-18,Furniture
4,Customer_327,291.58,2026-04-26,Clothing
5,Customer_958,149.69,2026-06-03,Books
6,Customer_325,187.46,2025-11-26,Furniture
7,Customer_849,490.74,2026-07-31,Electronics
8,Customer_961,218.18,2026-04-28,Toys
9,Customer_568,134.17,2026-07-12,Clothing
10,Customer_508,129.82,2026-02-24,Clothing
11,Customer_615,251.56,2026-04-02,Electronics
12,Customer_513,62.11,2026-01-14,Clothing
13,Customer_877,463.44,2025-11-29,Furniture
14,Customer_509,168.02,2025-11-23,Furniture
15,Customer_530,134.96,2025-08-17,Furniture
16,Customer_727,339.37,2026-07-21,Toys
17,Customer_271,227.72,2025-12-08,Books
18,Customer_959,415.46,2026-02-16,Clothing
19,Customer_679,192.6,2025-12-31,Books
20,Customer_295,16.05,2026-04-11,Clothing
21,Customer_636,356.6,2025-09-24,Clothing
22,Customer_459,412.93,2026-04-07,Toys
23,Customer_926,275.84,2026-07-18,Electronics
24,Customer_575,151.97,2026-02-15,Clothing
25,Customer_475,290.47,2026-05-18,Electronics
26,Customer_104,400.31,2026-07-17,Books
27,Customer_486,231.55,2026-05-25,Electronics
28,Customer_507,121.72,2026-04-02,Clothing
29,Customer_872,364.94,2025-12-07,Clothing
30,Customer_26,470.2,2026-01-29,Clothing
31,Customer_145,106.96,2025-12-04,Books
32,Customer_105,131.39,2026-01-11,Furniture
33,Customer_582,413.13,2026-03-04,Clothing
34,Customer_955,243.56,2025-12-22,Electronics
35,Customer_459,84.8,2025-11-23,Books
36,Customer_442,246.17,2026-06-07,Furniture
37,Customer_326,315.67,2025-12-22,Electronics
38,Customer_979,355.75,2026-04-08,Toys
39,Customer_370,150.5,2026-03-18,Electronics
40,Customer_618,167.18,2025-11-01,Toys
41,Customer_207,162.58,2026-02-23,Toys
42,Customer_512,457.59,2026-01-02,Furniture
43,Customer_14,128.5,2026-07-05,Toys
44,Customer_441,393.9,2025-09-15,Furniture
45,Customer_355,177.42,2025-09-28,Clothing
46,Customer_164,442.49,2025-08-13,Toys
47,Customer_449,178.07,2025-10-03,Toys
48,Customer_873,230.48,2025-08-05,Toys
49,Customer_157,154.41,2026-06-21,Electronics
50,Customer_888,249.41,2025-11-04,Electronics
51,Customer_317,206.46,2025-10-07,Clothing
52,Customer_72,69.9,2025-10-17,Clothing
53,Customer_915,300.06,2026-01-10,Electronics
54,Customer_645,351.24,2026-03-16,Books
55,Customer_274,127.46,2026-03-29,Furniture
56,Customer_246,435.92,2026-07-21,Furniture
57,Customer_56,403.05,2026-01-05,Toys
58,Customer_926,228.92,2025-12-16,Electronics
59,Customer_680,365.57,2026-01-25,Books
60,Customer_738,15.28,2026-05-28,Furniture
61,Customer_1000,239.07,2025-09-16,Clothing
62,Customer_170,145.46,2026-03-23,Electronics
63,Customer_988,198.14,2026-07-23,Books
64,Customer_47,75.21,2026-08-02,Toys
65,Customer_14,181.41,2025-12-14,Toys
66,Customer_872,58.19,2025-12-18,Books
67,Customer_396,334.94,2025-08-20,Clothing
68,Customer_835,290.33,2026-01-23,Toys
69,Customer_659,172.54,2026-03-20,Clothing
70,Customer_888,308.41,2025-09-17,Furniture
71,Customer_21,206.93,2026-01-25,Clothing
72,Customer_800,241.7,2026-06-12,Books
73,Customer_35,428.56,2026-06-10,Furniture
74,Customer_583,447.37,2026-07-02,Books
75,Customer_704,258.38,2025-09-27,Books
76,Customer_601,59.05,2026-02-13,Electronics
77,Customer_438,162.09,2026-02-18,Clothing
78,Customer_553,200.29,2026-04-09,Furniture
79,Customer_675,453.94,2026-03-05,Clothing
80,Customer_38,122.12,2026-07-14,Furniture
81,Customer_786,183.02,2026-04-15,Electronics
82,Customer_1,412.76,2026-03-03,Electronics
83,Customer_93,422.64,2026-06-06,Furniture
84,Customer_784,162.12,2025-09-09,Furniture
85,Customer_907,399.89,2025-09-04,Books
86,Customer_660,240.23,2026-06-24,Toys
87,Customer_629,166.14,2025-11-16,Books
88,Customer_33,366.54,2026-06-21,Furniture
89,Customer_262,201.43,2026-07-29,Furniture
90,Customer_351,404.48,2025-10-10,Electronics
91,Customer_843,131.7,2026-02-05,Toys
92,Customer_638,278.62,2025-08-03,Toys
93,Customer_484,475.9,2026-03-10,Clothing
94,Customer_186,333.44,2025-10-31,Electronics
95,Customer_410,15.77,2025-12-07,Books
