Car_Name,Year,Present_Price,Selling_Price,Kms_Driven,Fuel_Type,Transmission
ritz,2014,5.59,3.35,27000,Petrol,Manual
swi,2017,9.54,6.5,43000,Diesel,Manual
ciaz,2016,9.85,7.5,69000,Petrol,Manual
wagon r,2017,4.15,2.85,52000,Petrol,Manual
swift,2015,6.87,4.6,42450,Diesel,Manual
verna,2017,10.25,8.25,30000,Petrol,Automatic
fortuner,2015,30.61,23.5,40000,Diesel,Automatic
innova,2014,23.23,11.25,60000,Diesel,Manual
baleno,2016,7.87,6.0,15000,Petrol,Manual
city,2015,13.6,9.75,35000,Petrol,Automatic
ritz,2013,5.59,2.95,45000,Petrol,Manual
swi,2012,5.5,3.0,70000,Petrol,Manual
alto,2018,3.5,2.5,4000,Petrol,Manual
bmw,2015,45.0,28.0,20000,Petrol,Automatic
audi,2015,55.0,35.0,30000,Petrol,Automatic
