OrderID,CustomerName,Amount,Date,Category
1,Customer_933,260.98,2026-07-21,Toys
2,Customer_765,393.98,2026-06-19,Toys
3,Customer_717,481.65,2026-06-16,Furniture
4,Customer_666,81.0,2025-11-14,Clothing
5,Customer_150,332.55,2025-09-23,Toys
6,Customer_491,412.89,2025-10-16,Books
7,Customer_334,66.52,2026-04-11,Clothing
8,Customer_567,419.34,2026-01-18,Furniture
9,Customer_186,348.16,2026-07-20,Toys
10,Customer_507,150.9,2025-08-22,Electronics
11,Customer_667,453.27,2026-01-09,Electronics
12,Customer_778,373.75,2025-10-27,Toys
13,Customer_887,466.64,2025-11-20,Clothing
14,Customer_620,457.77,2025-10-16,Books
15,Customer_141,312.12,2026-01-16,Furniture
16,Customer_283,317.84,2025-10-06,Electronics
17,Customer_564,213.08,2025-09-29,Clothing
18,Customer_867,354.25,2026-07-03,Toys
19,Customer_369,316.57,2025-09-15,Furniture
20,Customer_334,471.04,2025-09-30,Clothing
21,Customer_765,465.86,2025-12-29,Furniture
22,Customer_162,76.28,2026-03-15,Electronics
23,Customer_701,118.7,2025-12-09,Clothing
24,Customer_264,188.28,2026-04-18,Electronics
25,Customer_326,404.36,2026-04-10,Furniture
26,Customer_840,163.86,2026-07-08,Books
27,Customer_175,459.45,2025-11-28,Toys
28,Customer_408,91.17,2025-12-21,Electronics
29,Customer_446,323.93,2025-09-06,Electronics
30,Customer_234,365.16,2026-07-20,Clothing
31,Customer_767,46.15,2026-05-10,Electronics
32,Customer_450,433.19,2026-06-27,Electronics
33,Customer_770,262.88,2026-06-28,Toys
34,Customer_892,64.28,2026-07-28,Toys
35,Customer_53,401.59,2026-02-11,Furniture
36,Customer_923,249.61,2025-12-29,Toys
37,Customer_678,245.11,2026-03-05,Toys
38,Customer_136,452.3,2025-09-28,Toys
39,Customer_261,177.5,2026-01-19,Furniture
40,Customer_601,26.28,2026-07-28,Toys
41,Customer_412,82.48,2025-08-12,Clothing
42,Customer_853,134.34,2026-01-27,Toys
43,Customer_215,321.08,2025-10-01,Furniture
44,Customer_292,361.49,2025-10-26,Books
45,Customer_240,155.87,2025-08-11,Furniture
46,Customer_301,91.24,2025-09-17,Electronics
47,Customer_166,325.08,2026-06-13,Clothing
48,Customer_500,333.45,2026-05-17,Books
49,Customer_476,66.07,2026-02-22,Furniture
50,Customer_901,101.37,2025-11-12,Furniture
51,Customer_31,288.78,2026-03-21,Toys
52,Customer_646,60.31,2025-10-11,Books
53,Customer_554,30.78,2025-10-20,Furniture
54,Customer_518,414.88,2026-02-19,Books
55,Customer_447,199.79,2026-05-01,Clothing
56,Customer_514,344.45,2025-10-22,Electronics
57,Customer_112,430.06,2026-01-15,Toys
58,Customer_680,27.43,2026-03-23,Electronics
59,Customer_119,255.2,2025-11-15,Clothing
60,Customer_488,39.9,2025-10-26,Electronics
