OrderID,CustomerName,Amount,Date,Category
1,Customer_46,85.78,2026-03-23,Books
2,Customer_999,131.5,2025-09-17,Toys
3,Customer_929,378.96,2025-10-09,Books
4,Customer_239,377.49,2026-07-17,Clothing
5,Customer_599,79.9,2025-11-15,Books
6,Customer_447,68.31,2026-08-01,Clothing
7,Customer_756,96.95,2026-05-11,Electronics
8,Customer_399,79.64,2025-09-18,Clothing
9,Customer_126,374.77,2026-02-25,Furniture
10,Customer_266,251.04,2025-10-20,Toys
11,Customer_542,407.59,2026-05-19,Clothing
12,Customer_823,396.09,2026-04-28,Furniture
13,Customer_786,202.27,2026-05-09,Furniture
14,Customer_281,460.7,2025-12-16,Furniture
15,Customer_179,486.26,2026-05-15,Books
16,Customer_464,253.98,2025-11-01,Clothing
17,Customer_864,74.47,2025-12-05,Furniture
18,Customer_666,142.2,2025-08-25,Clothing
19,Customer_322,468.73,2026-07-07,Furniture
20,Customer_939,106.57,2026-01-11,Books
21,Customer_163,354.12,2026-07-04,Clothing
22,Customer_505,54.68,2026-01-24,Furniture
23,Customer_67,327.08,2025-08-14,Books
24,Customer_899,234.16,2026-02-17,Books
25,Customer_39,233.69,2026-05-29,Toys
26,Customer_408,282.17,2025-12-09,Electronics
27,Customer_30,72.42,2026-03-15,Books
28,Customer_729,252.24,2026-01-26,Books
29,Customer_355,309.48,2026-07-01,Clothing
30,Customer_800,454.12,2025-09-18,Clothing
31,Customer_473,168.49,2026-07-21,Toys
32,Customer_492,354.75,2026-06-05,Clothing
33,Customer_363,146.59,2026-05-31,Clothing
34,Customer_781,148.87,2026-07-23,Clothing
35,Customer_640,400.8,2026-01-25,Toys
36,Customer_438,245.61,2026-04-08,Books
37,Customer_661,173.04,2026-06-08,Books
38,Customer_597,428.29,2025-11-10,Electronics
39,Customer_473,160.98,2025-08-07,Clothing
40,Customer_106,18.32,2026-07-20,Clothing
41,Customer_805,277.67,2025-12-30,Books
42,Customer_421,471.24,2026-07-25,Toys
43,Customer_584,220.37,2025-11-08,Electronics
44,Customer_795,51.94,2025-11-24,Toys
45,Customer_959,137.63,2026-05-06,Clothing
46,Customer_877,305.56,2026-03-19,Clothing
47,Customer_24,408.41,2025-09-24,Toys
48,Customer_624,120.11,2026-07-29,Electronics
49,Customer_670,311.93,2026-07-18,Clothing
50,Customer_360,76.51,2026-06-14,Books
51,Customer_854,340.32,2026-01-26,Furniture
52,Customer_575,400.08,2026-02-01,Clothing
53,Customer_991,273.27,2025-10-01,Furniture
54,Customer_183,131.76,2025-11-08,Toys
55,Customer_323,415.33,2025-10-27,Electronics
56,Customer_450,329.92,2026-02-04,Clothing
57,Customer_722,146.46,2026-03-26,Books
58,Customer_109,324.19,2026-04-17,Furniture
59,Customer_994,446.24,2026-06-06,Books
60,Customer_65,420.29,2026-01-04,Electronics
61,Customer_672,15.03,2026-02-12,Electronics
62,Customer_168,233.95,2025-09-10,Furniture
63,Customer_978,359.34,2026-03-15,Furniture
64,Customer_773,161.32,2026-04-23,Clothing
65,Customer_970,334.37,2025-12-05,Books
66,Customer_238,153.57,2025-11-11,Electronics
67,Customer_798,425.19,2025-10-29,Furniture
68,Customer_828,358.53,2026-06-12,Toys
69,Customer_516,59.96,2025-11-03,Books
70,Customer_13,37.76,2026-03-27,Electronics
71,Customer_907,89.02,2026-01-06,Toys
72,Customer_126,415.7,2026-06-22,Furniture
73,Customer_391,179.6,2026-03-07,Clothing
74,Customer_841,100.49,2026-05-24,Books
75,Customer_210,387.69,2026-05-09,Books
76,Customer_498,224.53,2025-11-29,Books
77,Customer_323,281.97,2026-04-10,Toys
78,Customer_646,118.36,2025-12-24,Clothing
79,Customer_933,430.55,2025-09-10,Books
80,Customer_271,190.67,2025-12-08,Toys
81,Customer_26,265.12,2026-05-04,Furniture
82,Customer_110,199.53,2026-07-04,Books
83,Customer_453,176.45,2025-08-16,Books
84,Customer_920,162.68,2026-02-04,Electronics
85,Customer_23,256.59,2025-09-28,Electronics
86,Customer_573,179.1,2026-03-17,Clothing
