OrderID,CustomerName,Amount,Date,Category
1,Customer_908,495.87,2025-11-15,Furniture
2,Customer_13,215.59,2026-03-11,Toys
3,Customer_872,454.1,2025-12-11,Toys
4,Customer_430,223.0,2025-11-06,Clothing
5,Customer_50,266.44,2025-09-24,Electronics
6,Customer_557,66.66,2025-09-29,Books
7,Customer_89,445.82,2026-04-28,Clothing
8,Customer_503,429.85,2025-10-12,Toys
9,Customer_947,154.39,2025-09-23,Clothing
10,Customer_226,488.96,2025-09-12,Furniture
11,Customer_859,139.1,2025-10-11,Electronics
12,Customer_1000,124.21,2026-06-06,Electronics
13,Customer_782,346.16,2025-10-22,Electronics
14,Customer_902,300.33,2025-12-07,Books
15,Customer_42,365.24,2025-11-19,Clothing
16,Customer_323,447.54,2025-10-15,Books
17,Customer_865,465.24,2026-03-19,Electronics
18,Customer_268,223.03,2026-07-08,Electronics
19,Customer_459,398.04,2025-11-02,Toys
20,Customer_414,254.13,2026-04-09,Furniture
21,Customer_130,108.19,2026-02-01,Books
22,Customer_200,269.41,2025-11-10,Furniture
23,Customer_916,133.34,2025-12-01,Books
24,Customer_428,329.44,2025-08-31,Electronics
25,Customer_218,100.67,2025-11-10,Toys
26,Customer_316,334.81,2026-04-20,Toys
27,Customer_104,46.2,2025-08-23,Furniture
28,Customer_830,256.67,2026-03-30,Clothing
29,Customer_513,229.48,2026-02-26,Electronics
30,Customer_233,87.3,2025-09-23,Furniture
31,Customer_412,423.96,2026-03-11,Clothing
32,Customer_100,436.11,2025-09-14,Toys
33,Customer_866,340.64,2026-01-21,Furniture
34,Customer_462,86.27,2025-09-15,Electronics
35,Customer_502,85.73,2026-04-08,Toys
36,Customer_240,394.95,2025-09-19,Clothing
37,Customer_365,306.92,2025-09-18,Clothing
38,Customer_217,268.02,2025-12-21,Clothing
39,Customer_441,404.69,2026-01-17,Furniture
40,Customer_388,218.51,2026-06-04,Books
41,Customer_670,470.78,2025-10-26,Books
42,Customer_603,417.83,2025-08-24,Books
43,Customer_974,366.41,2025-09-08,Furniture
44,Customer_542,22.73,2025-09-09,Clothing
45,Customer_432,345.4,2026-05-19,Toys
46,Customer_365,260.42,2026-07-24,Toys
47,Customer_704,237.3,2026-03-18,Clothing
48,Customer_998,356.03,2026-03-11,Books
49,Customer_59,471.99,2026-04-05,Furniture
50,Customer_623,411.14,2026-01-13,Toys
51,Customer_629,37.82,2025-10-22,Books
52,Customer_698,447.26,2026-07-12,Furniture
53,Customer_163,303.88,2026-04-24,Toys
54,Customer_867,153.68,2026-05-24,Electronics
55,Customer_519,172.47,2026-08-01,Furniture
56,Customer_87,473.22,2025-09-16,Books
57,Customer_258,197.3,2025-09-25,Books
58,Customer_73,208.1,2025-12-10,Books
59,Customer_366,341.07,2026-01-23,Clothing
60,Customer_831,63.85,2025-09-29,Toys
61,Customer_126,11.59,2026-03-15,Furniture
62,Customer_101,495.23,2026-04-09,Furniture
63,Customer_81,205.04,2026-01-22,Books
64,Customer_725,173.08,2026-03-21,Toys
65,Customer_633,121.73,2025-12-01,Furniture
66,Customer_535,12.69,2026-03-17,Clothing
67,Customer_906,285.05,2026-01-28,Books
68,Customer_272,128.73,2025-09-05,Clothing
69,Customer_173,188.44,2026-02-05,Clothing
70,Customer_892,420.13,2025-11-10,Toys
71,Customer_215,26.97,2026-01-18,Furniture
72,Customer_883,307.24,2025-09-14,Clothing
73,Customer_699,225.82,2025-09-30,Electronics
74,Customer_648,269.25,2025-08-11,Electronics
75,Customer_438,277.51,2026-05-14,Clothing
76,Customer_538,146.92,2026-01-05,Books
77,Customer_696,266.06,2025-09-30,Clothing
78,Customer_415,369.99,2025-12-14,Furniture
79,Customer_872,130.52,2026-03-17,Books
80,Customer_735,17.39,2025-11-16,Books
81,Customer_1,231.07,2026-07-11,Books
82,Customer_651,34.58,2025-12-08,Toys
83,Customer_768,32.86,2025-09-30,Books
84,Customer_646,292.48,2026-03-26,Electronics
85,Customer_102,344.67,2025-10-09,Electronics
86,Customer_844,124.28,2025-08-25,Clothing
87,Customer_85,432.99,2026-02-13,Toys
88,Customer_382,337.39,2026-05-04,Toys
89,Customer_360,83.35,2025-10-11,Furniture
90,Customer_348,352.64,2026-02-10,Toys
