OrderID,CustomerName,Amount,Date,Category
1,Customer_988,146.79,2026-03-07,Clothing
2,Customer_404,82.99,2026-06-08,Toys
3,Customer_382,269.38,2025-12-29,Clothing
4,Customer_386,300.19,2025-08-11,Electronics
5,Customer_96,418.53,2026-06-05,Electronics
6,Customer_479,444.48,2026-02-19,Electronics
7,Customer_38,249.44,2026-02-28,Toys
8,Customer_100,260.66,2025-11-05,Clothing
9,Customer_192,370.66,2025-11-19,Toys
10,Customer_364,446.64,2026-01-15,Books
11,Customer_518,35.92,2026-06-19,Clothing
12,Customer_748,108.06,2025-12-14,Toys
13,Customer_290,76.74,2025-10-26,Furniture
14,Customer_360,45.37,2025-11-06,Books
15,Customer_828,491.86,2026-03-07,Toys
16,Customer_470,83.31,2025-09-24,Clothing
17,Customer_376,110.77,2026-07-17,Furniture
18,Customer_99,286.68,2026-04-08,Toys
19,Customer_593,148.87,2025-12-02,Toys
20,Customer_572,135.76,2026-02-14,Books
21,Customer_55,301.7,2026-05-12,Electronics
22,Customer_138,242.1,2026-07-20,Clothing
23,Customer_567,344.64,2026-02-22,Toys
24,Customer_283,48.21,2025-08-25,Furniture
25,Customer_443,69.74,2026-01-31,Electronics
26,Customer_804,332.27,2026-01-28,Electronics
27,Customer_41,447.49,2026-05-24,Clothing
28,Customer_67,67.89,2025-12-31,Clothing
29,Customer_473,448.53,2026-01-26,Clothing
30,Customer_595,69.26,2025-08-13,Furniture
31,Customer_388,359.68,2025-12-02,Furniture
32,Customer_596,477.73,2026-04-09,Electronics
33,Customer_658,457.82,2026-03-31,Furniture
34,Customer_816,428.89,2026-04-02,Furniture
35,Customer_819,100.78,2025-11-13,Toys
36,Customer_256,56.44,2025-09-06,Furniture
37,Customer_983,44.62,2025-12-25,Books
38,Customer_143,225.76,2026-04-23,Books
39,Customer_903,249.6,2025-08-29,Clothing
40,Customer_552,441.45,2026-07-10,Electronics
41,Customer_688,70.35,2026-05-20,Furniture
42,Customer_625,197.69,2025-11-18,Clothing
43,Customer_531,408.57,2025-10-30,Books
44,Customer_577,285.8,2026-02-22,Books
45,Customer_664,309.96,2025-12-27,Electronics
46,Customer_222,464.81,2026-05-19,Books
47,Customer_458,152.72,2025-10-21,Toys
48,Customer_66,399.7,2026-06-21,Electronics
49,Customer_973,440.03,2026-07-07,Electronics
50,Customer_584,278.62,2025-10-22,Toys
51,Customer_82,293.35,2025-11-22,Furniture
52,Customer_346,431.62,2025-11-15,Furniture
53,Customer_209,380.67,2025-11-15,Books
54,Customer_423,200.16,2026-07-31,Furniture
55,Customer_835,363.22,2025-08-04,Clothing
56,Customer_445,424.58,2026-02-10,Electronics
57,Customer_324,206.47,2025-12-09,Clothing
58,Customer_214,419.67,2025-12-02,Electronics
59,Customer_679,460.0,2026-04-14,Electronics
60,Customer_442,147.73,2026-07-26,Clothing
61,Customer_581,266.96,2025-09-04,Furniture
62,Customer_786,233.27,2025-08-14,Toys
63,Customer_22,310.32,2026-06-26,Furniture
64,Customer_121,292.29,2025-09-23,Electronics
65,Customer_546,232.3,2025-12-06,Books
66,Customer_647,89.71,2026-06-15,Books
67,Customer_429,396.64,2025-12-02,Electronics
68,Customer_902,275.81,2025-12-30,Electronics
69,Customer_751,245.24,2026-02-13,Furniture
70,Customer_357,273.73,2025-09-21,Toys
71,Customer_491,164.27,2025-12-08,Clothing
72,Customer_994,268.88,2026-01-29,Books
73,Customer_750,68.27,2026-06-28,Books
74,Customer_930,297.77,2025-09-16,Clothing
75,Customer_139,13.06,2026-07-28,Clothing
76,Customer_578,114.01,2025-08-11,Books
77,Customer_760,286.15,2026-05-30,Toys
78,Customer_151,250.69,2025-08-21,Toys
79,Customer_446,56.75,2025-08-31,Electronics
80,Customer_802,107.3,2025-11-26,Toys
81,Customer_175,76.81,2026-04-02,Toys
82,Customer_617,392.88,2026-03-29,Books
83,Customer_126,347.51,2026-04-11,Toys
84,Customer_787,46.08,2026-06-07,Electronics
85,Customer_62,221.35,2025-08-26,Electronics
86,Customer_381,114.98,2025-11-26,Toys
87,Customer_798,385.05,2025-12-03,Books
88,Customer_308,58.75,2025-09-13,Books
89,Customer_289,33.03,2025-10-08,Books
90,Customer_967,418.72,2026-01-11,Clothing
91,Customer_676,75.82,2025-11-06,Electronics
92,Customer_162,289.46,2026-01-10,Electronics
93,Customer_775,466.18,2025-08-15,Clothing
94,Customer_501,307.47,2025-08-03,Furniture
95,Customer_243,182.18,2025-11-15,Furniture
96,Customer_262,77.58,2025-12-21,Clothing
97,Customer_258,78.37,2026-07-01,Electronics
