OrderID,CustomerName,Amount,Date,Category
1,Customer_803,328.89,2025-10-25,Books
2,Customer_80,468.95,2025-09-22,Clothing
3,Customer_526,297.62,2026-03-29,Furniture
4,Customer_297,178.67,2025-11-25,Electronics
5,Customer_476,337.66,2026-01-04,Furniture
6,Customer_120,236.22,2025-09-15,Clothing
7,Customer_217,31.03,2025-11-06,Clothing
8,Customer_483,328.65,2025-09-12,Furniture
9,Customer_305,184.3,2025-08-24,Books
10,Customer_186,316.83,2026-01-03,Clothing
11,Customer_841,342.31,2025-10-05,Toys
12,Customer_902,228.57,2025-12-15,Electronics
13,Customer_976,349.4,2025-09-06,Toys
14,Customer_20,409.08,2025-12-25,Books
15,Customer_69,196.27,2026-07-03,Books
16,Customer_449,69.75,2026-05-24,Toys
17,Customer_452,389.01,2025-08-02,Books
18,Customer_68,202.93,2025-11-21,Books
19,Customer_739,237.4,2026-02-20,Furniture
20,Customer_392,164.96,2025-10-05,Clothing
21,Customer_816,390.52,2026-06-15,Toys
22,Customer_78,31.69,2025-09-23,Toys
23,Customer_699,268.98,2025-09-24,Toys
24,Customer_787,213.08,2026-03-26,Furniture
25,Customer_37,399.38,2026-03-03,Toys
26,Customer_991,74.5,2026-06-25,Books
27,Customer_79,22.36,2026-01-21,Clothing
28,Customer_126,85.69,2026-06-09,Electronics
29,Customer_218,482.48,2026-01-27,Toys
30,Customer_465,238.01,2025-09-16,Books
31,Customer_668,86.15,2026-07-22,Clothing
32,Customer_137,468.13,2026-02-02,Toys
33,Customer_183,196.69,2025-12-23,Furniture
34,Customer_712,318.63,2025-08-24,Books
35,Customer_907,395.13,2026-07-14,Electronics
36,Customer_939,165.22,2026-04-30,Books
37,Customer_504,433.63,2026-03-27,Clothing
38,Customer_775,125.3,2025-10-03,Electronics
39,Customer_784,313.1,2026-04-05,Books
40,Customer_427,310.73,2026-06-24,Clothing
41,Customer_881,161.43,2025-11-13,Furniture
42,Customer_525,220.37,2025-11-29,Books
