OrderID,CustomerName,Amount,Date,Category
1,Customer_422,182.72,2026-02-19,Toys
2,Customer_518,139.27,2025-10-12,Clothing
3,Customer_382,406.45,2025-10-29,Books
4,Customer_101,193.17,2025-10-31,Electronics
5,Customer_280,79.93,2025-10-28,Clothing
6,Customer_840,327.59,2026-06-26,Books
7,Customer_153,132.67,2025-12-01,Clothing
8,Customer_53,463.99,2026-05-29,Electronics
9,Customer_795,171.02,2026-05-29,Furniture
10,Customer_689,493.33,2026-05-19,Books
11,Customer_984,398.17,2025-10-08,Electronics
12,Customer_652,265.17,2026-03-28,Books
13,Customer_995,365.01,2025-09-18,Toys
14,Customer_745,322.58,2025-08-07,Clothing
15,Customer_469,368.49,2026-06-15,Clothing
16,Customer_139,424.43,2025-10-23,Furniture
17,Customer_510,336.41,2025-12-14,Books
18,Customer_609,349.73,2025-08-03,Clothing
19,Customer_451,422.22,2025-12-27,Toys
20,Customer_349,254.02,2026-03-14,Books
21,Customer_523,404.42,2025-10-08,Furniture
22,Customer_784,262.14,2026-05-21,Electronics
23,Customer_834,60.76,2025-09-01,Books
24,Customer_907,266.87,2025-08-24,Books
25,Customer_583,339.7,2025-11-19,Electronics
26,Customer_101,454.17,2025-12-26,Clothing
27,Customer_43,182.44,2026-07-20,Furniture
28,Customer_686,308.14,2025-08-21,Electronics
29,Customer_530,232.46,2026-03-14,Furniture
30,Customer_576,484.85,2025-08-06,Furniture
31,Customer_542,241.54,2025-12-15,Furniture
32,Customer_438,140.32,2026-04-03,Clothing
33,Customer_902,152.71,2026-04-06,Furniture
34,Customer_138,127.75,2026-01-31,Furniture
35,Customer_216,76.44,2026-02-23,Electronics
36,Customer_665,124.69,2025-11-09,Clothing
37,Customer_465,199.56,2026-01-14,Toys
38,Customer_111,276.28,2025-10-07,Furniture
39,Customer_382,482.65,2026-05-02,Books
40,Customer_1,169.2,2026-05-17,Books
41,Customer_355,352.7,2026-06-19,Books
42,Customer_114,428.01,2026-05-30,Clothing
43,Customer_183,289.6,2026-04-07,Furniture
44,Customer_676,48.53,2026-03-17,Clothing
45,Customer_921,319.24,2026-02-09,Books
46,Customer_956,456.81,2025-10-07,Electronics
47,Customer_969,184.1,2026-03-08,Toys
48,Customer_110,235.75,2026-03-09,Furniture
49,Customer_667,364.16,2025-11-13,Books
50,Customer_334,470.29,2025-12-13,Furniture
51,Customer_652,498.08,2026-05-28,Electronics
52,Customer_334,130.06,2025-12-31,Electronics
53,Customer_789,333.16,2026-07-14,Electronics
54,Customer_152,272.35,2026-06-23,Books
55,Customer_884,432.61,2025-12-16,Toys
56,Customer_494,273.76,2025-09-30,Furniture
57,Customer_786,60.13,2025-10-23,Furniture
58,Customer_372,433.11,2026-07-22,Electronics
59,Customer_329,252.85,2026-07-18,Electronics
60,Customer_386,269.65,2026-07-25,Books
61,Customer_527,27.96,2026-03-15,Furniture
62,Customer_283,234.76,2026-03-18,Furniture
63,Customer_3,104.23,2025-08-21,Books
64,Customer_469,413.62,2026-03-23,Toys
65,Customer_249,257.85,2026-02-22,Books
66,Customer_111,368.64,2026-03-14,Clothing
67,Customer_152,406.05,2025-11-25,Clothing
68,Customer_641,407.26,2026-04-28,Furniture
69,Customer_112,120.35,2025-08-02,Clothing
70,Customer_302,31.06,2026-06-09,Books
71,Customer_902,330.71,2025-09-26,Books
72,Customer_837,238.31,2025-11-13,Clothing
73,Customer_620,102.63,2025-11-01,Toys
74,Customer_472,317.95,2026-04-11,Clothing
75,Customer_904,176.09,2025-11-22,Electronics
76,Customer_253,36.6,2026-04-09,Toys
77,Customer_558,345.59,2025-12-25,Toys
78,Customer_344,448.65,2026-06-08,Furniture
79,Customer_859,86.96,2026-01-21,Books
