OrderID,CustomerName,Amount,Date,Category
1,Customer_529,413.01,2026-02-22,Electronics
2,Customer_299,305.27,2025-12-03,Furniture
3,Customer_115,409.59,2026-01-05,Furniture
4,Customer_106,381.39,2025-11-16,Books
5,Customer_309,56.84,2026-05-04,Toys
6,Customer_569,302.6,2025-10-07,Toys
7,Customer_160,95.53,2025-11-27,Books
8,Customer_322,60.27,2025-10-27,Clothing
9,Customer_259,202.75,2025-09-25,Clothing
10,Customer_380,242.7,2025-11-08,Books
11,Customer_920,361.23,2026-03-02,Furniture
12,Customer_821,118.79,2026-01-20,Furniture
13,Customer_643,112.09,2026-04-08,Electronics
14,Customer_686,286.8,2026-02-25,Electronics
15,Customer_504,71.7,2026-07-13,Furniture
16,Customer_361,192.67,2026-06-09,Clothing
17,Customer_44,281.96,2025-10-05,Toys
18,Customer_976,406.68,2026-04-22,Toys
19,Customer_854,466.54,2026-04-03,Furniture
20,Customer_80,260.85,2026-01-20,Clothing
21,Customer_749,154.37,2026-05-28,Clothing
22,Customer_306,322.51,2026-05-27,Electronics
23,Customer_883,235.31,2025-12-24,Furniture
24,Customer_904,177.08,2026-03-01,Clothing
25,Customer_656,176.38,2025-08-15,Furniture
26,Customer_809,473.44,2025-10-30,Clothing
27,Customer_150,63.52,2026-03-12,Clothing
28,Customer_17,217.17,2026-05-20,Clothing
29,Customer_783,77.84,2025-09-27,Electronics
30,Customer_544,421.71,2025-08-09,Books
31,Customer_567,407.57,2026-05-18,Furniture
32,Customer_303,25.4,2025-11-28,Books
33,Customer_52,250.75,2025-11-01,Clothing
34,Customer_917,418.07,2026-06-04,Clothing
35,Customer_580,348.75,2026-05-09,Electronics
36,Customer_94,74.08,2025-10-04,Books
37,Customer_970,33.59,2026-07-10,Furniture
38,Customer_303,48.35,2025-08-24,Clothing
39,Customer_303,49.85,2026-07-15,Books
40,Customer_436,202.73,2025-11-10,Books
41,Customer_271,259.97,2026-07-26,Clothing
42,Customer_675,421.73,2026-03-15,Books
43,Customer_20,162.37,2026-02-07,Clothing
44,Customer_460,251.41,2026-05-06,Furniture
45,Customer_325,218.23,2026-07-15,Electronics
46,Customer_598,355.31,2026-07-03,Electronics
47,Customer_926,58.31,2026-02-11,Electronics
48,Customer_771,391.75,2025-08-02,Furniture
49,Customer_757,187.46,2026-01-17,Toys
50,Customer_312,388.96,2026-03-27,Books
51,Customer_383,246.87,2026-02-05,Electronics
52,Customer_671,348.43,2025-12-08,Books
53,Customer_750,62.07,2026-01-19,Furniture
54,Customer_34,318.25,2026-01-18,Toys
55,Customer_678,209.32,2026-04-07,Books
56,Customer_958,257.41,2026-01-21,Furniture
57,Customer_882,104.45,2025-09-01,Clothing
58,Customer_157,121.56,2026-04-17,Electronics
59,Customer_608,459.45,2026-05-21,Books
60,Customer_351,355.7,2025-08-30,Electronics
61,Customer_29,475.04,2026-02-20,Clothing
62,Customer_539,337.11,2026-08-01,Electronics
63,Customer_249,56.88,2026-03-31,Books
64,Customer_543,437.08,2026-07-29,Toys
65,Customer_3,383.19,2026-05-18,Books
66,Customer_898,29.23,2026-02-13,Books
67,Customer_461,197.07,2026-06-04,Books
68,Customer_725,419.14,2026-04-19,Electronics
69,Customer_25,361.09,2025-12-24,Electronics
70,Customer_498,52.0,2025-11-03,Toys
71,Customer_387,480.77,2026-07-13,Electronics
72,Customer_612,202.43,2025-08-20,Furniture
73,Customer_540,482.22,2026-05-25,Electronics
74,Customer_276,253.77,2026-05-01,Clothing
75,Customer_188,99.61,2026-01-11,Electronics
76,Customer_80,19.18,2026-05-13,Clothing
77,Customer_761,129.36,2025-09-13,Books
78,Customer_195,400.22,2025-09-01,Books
79,Customer_535,279.87,2026-06-20,Books
80,Customer_218,28.34,2026-06-03,Books
81,Customer_382,297.18,2026-05-12,Electronics
82,Customer_690,288.07,2025-12-17,Books
83,Customer_493,362.39,2026-07-03,Clothing
84,Customer_854,429.06,2025-12-19,Books
85,Customer_338,269.16,2026-05-05,Furniture
86,Customer_792,480.27,2026-04-01,Electronics
87,Customer_168,455.59,2025-08-08,Electronics
88,Customer_690,200.0,2026-04-02,Clothing
89,Customer_50,17.85,2026-04-15,Clothing
90,Customer_182,55.83,2026-06-24,Toys
91,Customer_424,285.03,2025-09-16,Clothing
92,Customer_736,198.69,2026-03-03,Electronics
93,Customer_393,306.14,2026-03-10,Furniture
94,Customer_478,395.29,2025-11-10,Clothing
95,Customer_505,435.05,2025-10-29,Toys
96,Customer_783,453.41,2026-07-31,Toys
97,Customer_415,303.31,2025-11-14,Electronics
98,Customer_968,86.28,2025-09-26,Furniture
99,Customer_785,14.96,2025-11-17,Clothing
100,Customer_996,111.26,2025-08-12,Furniture
101,Customer_205,472.4,2025-09-02,Electronics
102,Customer_572,469.21,2026-06-23,Toys
103,Customer_672,179.43,2026-06-08,Clothing
104,Customer_453,182.87,2026-05-13,Clothing
105,Customer_60,312.84,2025-11-03,Books
106,Customer_292,238.38,2026-02-05,Toys
107,Customer_135,193.29,2025-08-13,Toys
108,Customer_985,192.98,2026-01-29,Electronics
109,Customer_906,254.4,2025-09-27,Clothing
110,Customer_228,105.64,2026-06-17,Books
111,Customer_651,203.22,2025-11-23,Clothing
112,Customer_542,235.25,2026-07-04,Toys
113,Customer_445,94.13,2025-11-10,Books
114,Customer_690,29.47,2026-05-11,Toys
115,Customer_717,445.36,2025-10-16,Electronics
116,Customer_789,496.83,2025-12-06,Toys
