OrderID,CustomerName,Amount,Date,Category
1,Customer_50,237.33,2025-08-05,Electronics
2,Customer_289,438.45,2026-03-29,Electronics
3,Customer_593,326.61,2025-09-19,Books
4,Customer_771,440.49,2025-11-19,Clothing
5,Customer_717,148.85,2026-06-27,Furniture
6,Customer_914,240.57,2026-01-26,Electronics
7,Customer_545,421.47,2026-07-13,Toys
8,Customer_26,458.24,2026-05-27,Books
9,Customer_576,88.69,2025-11-08,Toys
10,Customer_402,351.52,2025-08-03,Clothing
11,Customer_659,231.54,2026-03-12,Electronics
12,Customer_11,276.57,2025-08-11,Toys
13,Customer_472,15.55,2026-04-20,Books
14,Customer_231,101.54,2026-06-07,Toys
15,Customer_616,419.81,2026-07-17,Toys
16,Customer_173,463.75,2025-10-03,Toys
17,Customer_139,24.97,2026-04-22,Books
18,Customer_205,288.02,2025-09-14,Electronics
19,Customer_357,384.2,2025-11-17,Toys
20,Customer_698,447.19,2025-12-28,Books
21,Customer_782,352.32,2026-06-30,Furniture
22,Customer_277,467.16,2026-03-27,Electronics
23,Customer_184,85.58,2026-07-16,Books
24,Customer_70,405.91,2025-12-05,Clothing
25,Customer_359,422.88,2026-04-29,Electronics
26,Customer_172,229.29,2026-03-08,Books
27,Customer_320,488.29,2026-06-18,Books
28,Customer_400,418.66,2026-04-08,Electronics
29,Customer_847,387.45,2026-02-01,Clothing
30,Customer_113,89.45,2026-01-03,Clothing
31,Customer_724,15.85,2026-06-07,Electronics
32,Customer_620,497.21,2026-04-29,Electronics
33,Customer_698,341.93,2025-08-09,Electronics
34,Customer_294,334.78,2026-07-17,Furniture
35,Customer_243,120.48,2025-10-27,Toys
36,Customer_604,208.46,2025-12-16,Toys
37,Customer_532,251.71,2026-01-20,Clothing
38,Customer_738,41.99,2025-08-18,Clothing
39,Customer_886,17.09,2025-09-13,Books
40,Customer_52,496.09,2025-09-20,Clothing
41,Customer_412,440.27,2026-02-27,Clothing
42,Customer_811,169.86,2025-08-05,Electronics
43,Customer_600,138.1,2026-04-16,Books
44,Customer_358,192.7,2026-01-23,Electronics
45,Customer_607,255.88,2026-02-14,Books
46,Customer_420,62.47,2025-08-14,Clothing
47,Customer_15,248.85,2025-10-18,Electronics
48,Customer_850,10.67,2026-03-15,Clothing
49,Customer_693,275.72,2026-04-16,Furniture
50,Customer_709,132.45,2025-09-11,Electronics
51,Customer_770,124.08,2025-12-16,Books
52,Customer_586,267.95,2025-09-14,Books
53,Customer_504,363.53,2026-06-24,Electronics
54,Customer_957,53.96,2025-11-20,Clothing
55,Customer_474,92.57,2026-02-03,Clothing
56,Customer_852,129.87,2026-02-04,Clothing
57,Customer_393,443.9,2026-02-28,Electronics
58,Customer_749,246.29,2025-09-09,Clothing
59,Customer_765,399.08,2025-09-30,Clothing
60,Customer_610,82.52,2026-07-14,Clothing
61,Customer_263,396.54,2026-01-17,Clothing
62,Customer_679,271.25,2025-08-25,Clothing
63,Customer_580,113.81,2025-09-15,Books
64,Customer_954,340.78,2026-04-29,Furniture
65,Customer_268,276.67,2026-07-05,Electronics
66,Customer_925,334.17,2026-03-19,Electronics
67,Customer_409,31.26,2025-11-12,Toys
68,Customer_962,280.82,2025-08-20,Electronics
69,Customer_371,72.98,2026-01-19,Clothing
70,Customer_69,223.69,2026-08-02,Toys
71,Customer_507,124.65,2025-12-21,Clothing
72,Customer_115,259.66,2026-01-18,Toys
73,Customer_635,100.56,2026-01-20,Toys
74,Customer_289,162.8,2026-07-26,Electronics
75,Customer_448,349.49,2025-08-02,Books
76,Customer_232,232.55,2025-11-12,Clothing
77,Customer_359,199.94,2025-10-03,Furniture
78,Customer_735,278.23,2025-10-11,Clothing
79,Customer_867,171.1,2025-10-23,Furniture
80,Customer_671,38.13,2026-04-03,Books
81,Customer_695,430.28,2026-04-29,Toys
82,Customer_510,166.88,2025-12-20,Electronics
83,Customer_685,293.02,2026-02-25,Books
84,Customer_581,342.92,2026-04-21,Furniture
