OrderID,CustomerName,Amount,Date,Category
1,Customer_519,197.18,2026-02-27,Books
2,Customer_649,447.44,2026-01-01,Clothing
3,Customer_61,323.95,2026-04-24,Furniture
4,Customer_381,380.38,2026-01-10,Clothing
5,Customer_803,58.8,2026-06-25,Books
6,Customer_741,329.81,2026-01-16,Clothing
7,Customer_360,276.57,2025-08-05,Books
8,Customer_229,262.62,2026-02-27,Clothing
9,Customer_980,468.02,2026-05-08,Electronics
10,Customer_830,456.77,2026-06-14,Toys
11,Customer_610,182.64,2025-12-28,Books
12,Customer_468,267.3,2025-10-08,Clothing
13,Customer_260,429.67,2026-07-14,Clothing
14,Customer_832,369.73,2026-01-07,Electronics
15,Customer_650,126.42,2026-02-10,Electronics
16,Customer_827,238.52,2025-09-04,Toys
17,Customer_229,400.7,2026-01-23,Clothing
18,Customer_33,353.68,2026-02-16,Clothing
19,Customer_661,481.03,2025-10-04,Books
20,Customer_694,157.69,2026-03-29,Furniture
21,Customer_105,184.76,2026-06-19,Books
22,Customer_445,208.5,2025-10-08,Toys
23,Customer_427,144.56,2026-03-16,Furniture
24,Customer_488,276.62,2026-03-22,Toys
25,Customer_309,60.27,2026-01-24,Clothing
26,Customer_741,310.14,2026-01-29,Electronics
27,Customer_23,415.0,2026-05-30,Books
28,Customer_246,179.86,2025-08-06,Furniture
29,Customer_300,249.2,2026-06-12,Clothing
30,Customer_622,71.93,2025-08-18,Electronics
31,Customer_678,356.19,2026-04-04,Books
32,Customer_600,407.37,2025-11-30,Books
33,Customer_920,21.18,2026-06-07,Electronics
34,Customer_769,186.4,2025-12-03,Clothing
35,Customer_718,286.03,2026-04-03,Books
36,Customer_394,162.15,2026-03-16,Toys
37,Customer_887,317.9,2026-03-24,Clothing
38,Customer_481,98.97,2026-01-09,Furniture
39,Customer_325,415.0,2025-09-02,Furniture
40,Customer_613,57.37,2025-12-21,Electronics
41,Customer_362,147.68,2026-03-13,Clothing
42,Customer_645,126.38,2025-10-12,Clothing
43,Customer_674,103.58,2026-05-11,Furniture
44,Customer_444,78.97,2026-07-13,Furniture
45,Customer_422,110.21,2025-11-21,Electronics
46,Customer_426,200.53,2026-02-15,Toys
47,Customer_891,452.64,2025-08-04,Clothing
48,Customer_415,44.57,2025-12-04,Clothing
49,Customer_451,19.18,2025-09-22,Furniture
50,Customer_936,437.64,2025-08-12,Clothing
51,Customer_540,258.16,2025-08-24,Electronics
52,Customer_753,93.13,2026-07-29,Electronics
53,Customer_570,411.9,2025-11-29,Furniture
54,Customer_952,150.46,2026-07-30,Clothing
55,Customer_560,438.33,2026-04-07,Books
56,Customer_845,290.0,2026-07-06,Clothing
57,Customer_237,78.71,2026-04-22,Furniture
58,Customer_573,380.07,2026-06-14,Toys
59,Customer_738,458.8,2026-05-14,Toys
60,Customer_294,293.76,2026-07-29,Furniture
61,Customer_862,130.43,2025-11-04,Electronics
62,Customer_651,139.17,2026-01-03,Clothing
63,Customer_425,68.92,2026-01-21,Clothing
64,Customer_199,402.02,2026-07-20,Clothing
65,Customer_23,119.72,2025-08-12,Books
66,Customer_475,95.41,2025-12-29,Electronics
67,Customer_584,326.4,2026-04-12,Books
68,Customer_441,326.9,2026-04-24,Clothing
69,Customer_971,436.5,2025-11-27,Clothing
70,Customer_916,269.42,2026-04-01,Electronics
71,Customer_109,486.79,2025-10-22,Clothing
72,Customer_566,181.88,2025-09-14,Books
73,Customer_666,393.43,2026-07-16,Toys
74,Customer_512,357.92,2025-12-22,Books
75,Customer_75,217.38,2026-01-02,Toys
76,Customer_290,203.33,2025-12-30,Furniture
77,Customer_176,262.42,2026-01-26,Toys
78,Customer_36,52.08,2026-05-25,Books
79,Customer_249,466.59,2025-08-11,Furniture
80,Customer_404,207.46,2025-09-14,Electronics
81,Customer_267,23.65,2026-01-05,Toys
82,Customer_93,209.22,2025-10-21,Furniture
83,Customer_179,217.18,2026-04-17,Furniture
84,Customer_738,462.17,2026-03-10,Toys
85,Customer_1000,347.84,2025-12-16,Electronics
86,Customer_535,348.2,2026-08-01,Furniture
87,Customer_339,111.46,2025-12-10,Books
88,Customer_632,313.44,2026-04-26,Clothing
89,Customer_421,222.14,2026-01-28,Electronics
90,Customer_529,173.45,2026-04-02,Toys
91,Customer_436,355.81,2025-12-17,Electronics
92,Customer_571,447.95,2025-10-27,Furniture
93,Customer_582,166.02,2025-12-28,Toys
94,Customer_311,485.32,2026-07-08,Clothing
95,Customer_9,339.14,2026-02-04,Furniture
96,Customer_382,22.5,2025-10-03,Books
97,Customer_293,342.81,2026-05-15,Electronics
98,Customer_764,256.43,2025-08-15,Clothing
99,Customer_599,99.25,2025-09-06,Electronics
100,Customer_84,434.14,2026-03-21,Furniture
101,Customer_83,186.4,2025-11-18,Books
102,Customer_376,42.48,2025-08-16,Furniture
103,Customer_44,96.29,2026-03-22,Toys
104,Customer_481,418.8,2025-08-30,Books
105,Customer_447,476.21,2026-05-07,Toys
106,Customer_307,368.82,2026-05-23,Furniture
107,Customer_271,35.32,2025-11-19,Books
108,Customer_637,178.53,2025-08-03,Toys
109,Customer_590,378.49,2026-05-08,Toys
110,Customer_86,261.83,2026-01-20,Books
111,Customer_701,327.63,2026-02-12,Furniture
112,Customer_824,100.03,2026-02-24,Electronics
113,Customer_312,274.51,2026-05-18,Electronics
114,Customer_311,218.43,2025-09-20,Furniture
115,Customer_293,468.5,2026-06-12,Books
116,Customer_724,307.4,2025-11-18,Electronics
117,Customer_282,228.12,2026-04-22,Books
118,Customer_208,473.26,2025-12-23,Toys
119,Customer_577,55.59,2026-01-13,Electronics
120,Customer_608,241.66,2025-10-16,Clothing
121,Customer_607,421.86,2026-01-30,Clothing
122,Customer_763,203.84,2026-02-14,Books
123,Customer_178,353.59,2025-11-30,Books
124,Customer_409,434.39,2026-06-10,Books
125,Customer_787,221.2,2026-03-14,Furniture
126,Customer_304,348.39,2025-11-28,Clothing
127,Customer_567,276.38,2025-11-10,Clothing
128,Customer_825,74.22,2026-02-04,Furniture
129,Customer_941,40.04,2026-07-28,Books
130,Customer_208,206.47,2025-08-04,Books
131,Customer_106,78.14,2026-05-14,Electronics
132,Customer_720,442.04,2026-01-09,Books
133,Customer_415,419.05,2026-04-06,Toys
134,Customer_380,227.09,2026-03-20,Electronics
135,Customer_215,361.11,2026-03-16,Clothing
136,Customer_598,100.23,2026-05-03,Furniture
137,Customer_877,268.68,2025-08-08,Furniture
138,Customer_685,235.05,2026-05-01,Toys
139,Customer_665,483.12,2025-08-13,Clothing
140,Customer_110,283.08,2026-04-19,Toys
141,Customer_449,188.49,2026-05-03,Clothing
142,Customer_269,28.95,2025-08-05,Toys
143,Customer_490,137.27,2026-01-15,Electronics
144,Customer_231,60.26,2025-11-12,Books
145,Customer_144,106.89,2025-08-20,Electronics
146,Customer_139,486.51,2025-10-15,Electronics
147,Customer_759,198.08,2026-06-10,Toys
148,Customer_785,81.89,2026-07-08,Books
149,Customer_626,375.56,2026-06-10,Clothing
150,Customer_691,153.05,2025-10-05,Toys
151,Customer_671,499.71,2025-12-23,Furniture
152,Customer_983,414.57,2026-06-20,Books
153,Customer_77,414.41,2025-12-30,Furniture
154,Customer_707,480.82,2026-06-25,Books
155,Customer_916,385.24,2026-05-30,Furniture
156,Customer_765,180.92,2026-06-21,Electronics
157,Customer_218,346.32,2025-12-03,Electronics
158,Customer_706,184.76,2026-01-20,Electronics
159,Customer_349,305.97,2025-12-23,Clothing
160,Customer_345,170.11,2026-01-14,Furniture
161,Customer_301,427.77,2025-10-14,Books
162,Customer_937,400.29,2025-08-02,Books
163,Customer_417,204.71,2026-03-11,Toys
164,Customer_581,94.56,2025-12-29,Toys
165,Customer_208,95.32,2026-01-31,Books
166,Customer_653,188.06,2026-03-03,Clothing
167,Customer_884,141.14,2026-03-15,Books
168,Customer_146,292.83,2025-10-02,Clothing
169,Customer_225,112.79,2025-09-23,Furniture
170,Customer_505,419.08,2025-08-16,Furniture
171,Customer_92,152.25,2026-05-27,Electronics
172,Customer_143,370.96,2026-03-21,Toys
173,Customer_552,342.0,2025-11-19,Clothing
174,Customer_126,43.67,2026-05-14,Electronics
175,Customer_807,169.74,2026-04-06,Clothing
176,Customer_985,362.92,2025-11-29,Electronics
177,Customer_828,493.82,2026-02-13,Furniture
178,Customer_528,349.92,2026-02-18,Furniture
179,Customer_611,303.86,2026-05-13,Furniture
180,Customer_910,26.7,2026-02-02,Books
181,Customer_917,108.6,2025-09-14,Clothing
182,Customer_995,26.94,2026-03-28,Electronics
183,Customer_369,153.62,2026-04-13,Electronics
184,Customer_379,268.82,2025-11-19,Electronics
185,Customer_359,320.11,2025-11-17,Clothing
186,Customer_137,438.86,2026-06-14,Clothing
187,Customer_794,261.67,2026-07-13,Toys
188,Customer_417,176.95,2025-12-17,Toys
189,Customer_714,80.89,2026-05-15,Furniture
190,Customer_114,222.68,2026-04-11,Books
191,Customer_235,257.83,2026-05-21,Furniture
192,Customer_150,305.4,2025-12-06,Furniture
193,Customer_503,332.71,2025-09-07,Electronics
194,Customer_633,125.98,2026-05-12,Clothing
195,Customer_814,210.77,2026-03-07,Clothing
196,Customer_990,184.69,2025-09-04,Furniture
197,Customer_416,464.99,2025-10-16,Clothing
198,Customer_830,187.26,2026-03-13,Furniture
199,Customer_863,231.5,2025-12-01,Furniture
200,Customer_794,84.62,2025-10-31,Toys
201,Customer_625,226.45,2025-09-06,Furniture
202,Customer_109,58.55,2025-12-05,Furniture
203,Customer_393,331.85,2026-07-31,Books
204,Customer_217,68.68,2026-06-24,Electronics
205,Customer_933,347.28,2026-03-16,Electronics
206,Customer_777,348.25,2025-09-23,Toys
207,Customer_341,499.37,2025-09-16,Books
208,Customer_787,363.11,2026-04-28,Electronics
209,Customer_919,168.22,2026-06-26,Clothing
210,Customer_203,300.86,2025-08-06,Toys
211,Customer_914,340.37,2025-11-06,Toys
212,Customer_330,454.39,2026-01-30,Furniture
213,Customer_17,254.15,2025-09-21,Toys
214,Customer_607,445.73,2025-11-05,Books
215,Customer_720,386.02,2026-05-01,Toys
216,Customer_318,487.96,2026-07-23,Books
217,Customer_837,420.77,2026-05-21,Furniture
218,Customer_165,272.08,2025-11-26,Furniture
219,Customer_157,256.81,2026-02-28,Books
220,Customer_307,218.87,2025-09-05,Toys
221,Customer_253,229.8,2025-09-02,Books
222,Customer_851,184.31,2025-10-02,Toys
223,Customer_100,387.62,2025-08-27,Books
224,Customer_812,349.7,2026-07-27,Toys
225,Customer_993,426.9,2025-09-26,Clothing
226,Customer_401,462.02,2026-02-04,Clothing
227,Customer_856,310.64,2026-01-04,Clothing
228,Customer_885,157.45,2025-09-18,Toys
229,Customer_572,384.75,2026-07-07,Electronics
230,Customer_629,23.42,2026-03-15,Toys
231,Customer_109,306.66,2026-02-02,Toys
232,Customer_801,196.19,2025-11-26,Toys
233,Customer_546,318.65,2025-11-21,Books
234,Customer_369,435.59,2026-03-01,Clothing
235,Customer_54,312.42,2025-10-04,Electronics
236,Customer_774,314.41,2026-07-14,Clothing
237,Customer_523,447.02,2025-11-23,Books
238,Customer_748,116.69,2025-10-08,Clothing
239,Customer_728,90.65,2026-04-20,Electronics
240,Customer_471,189.99,2026-01-02,Electronics
241,Customer_374,61.35,2026-01-05,Clothing
242,Customer_513,498.18,2025-09-07,Electronics
243,Customer_180,486.58,2026-07-29,Toys
244,Customer_974,212.46,2026-05-20,Clothing
245,Customer_899,14.49,2025-10-15,Electronics
246,Customer_663,393.61,2026-05-14,Furniture
247,Customer_904,446.89,2026-05-08,Clothing
248,Customer_150,454.49,2026-04-20,Clothing
249,Customer_649,227.02,2025-09-02,Toys
250,Customer_135,345.35,2026-07-06,Furniture
251,Customer_754,494.44,2025-10-25,Clothing
252,Customer_353,378.52,2026-04-24,Furniture
253,Customer_154,142.37,2025-08-02,Books
254,Customer_831,390.53,2026-06-26,Toys
255,Customer_913,85.22,2026-03-20,Electronics
256,Customer_772,127.82,2025-10-11,Furniture
257,Customer_667,346.25,2026-06-25,Furniture
258,Customer_139,392.43,2025-10-22,Books
259,Customer_491,243.89,2026-03-10,Books
260,Customer_218,349.29,2025-11-25,Toys
261,Customer_533,364.69,2026-01-05,Electronics
262,Customer_22,447.33,2025-08-27,Books
263,Customer_528,465.49,2026-01-03,Books
264,Customer_801,466.68,2025-10-15,Toys
265,Customer_395,396.33,2026-05-11,Books
266,Customer_147,386.26,2026-05-29,Toys
267,Customer_189,44.23,2026-03-07,Books
268,Customer_665,347.52,2026-02-25,Clothing
269,Customer_261,196.0,2026-07-30,Clothing
270,Customer_577,166.18,2026-04-14,Electronics
271,Customer_523,208.13,2026-05-17,Toys
272,Customer_531,474.47,2025-11-21,Electronics
273,Customer_943,148.87,2025-08-23,Furniture
274,Customer_413,109.29,2026-03-25,Electronics
275,Customer_741,100.39,2026-05-26,Toys
276,Customer_625,160.46,2026-05-05,Books
277,Customer_835,47.29,2026-01-15,Electronics
278,Customer_896,345.92,2025-11-19,Toys
279,Customer_404,152.13,2025-11-21,Electronics
280,Customer_392,225.4,2026-07-19,Clothing
281,Customer_577,427.13,2026-07-08,Books
282,Customer_750,38.82,2025-09-16,Books
283,Customer_850,293.74,2026-06-12,Books
284,Customer_709,460.32,2025-08-08,Clothing
285,Customer_507,388.68,2025-12-29,Books
286,Customer_217,409.25,2026-06-23,Furniture
287,Customer_356,444.55,2026-05-16,Electronics
288,Customer_907,460.69,2025-08-17,Electronics
289,Customer_464,369.41,2026-02-21,Toys
290,Customer_57,392.01,2026-06-04,Clothing
291,Customer_25,399.45,2025-10-08,Clothing
292,Customer_482,259.01,2026-05-31,Books
293,Customer_3,151.92,2026-01-27,Furniture
294,Customer_209,148.87,2026-03-02,Toys
295,Customer_510,56.47,2026-02-09,Furniture
296,Customer_129,190.48,2026-04-16,Books
297,Customer_744,66.92,2026-05-09,Toys
298,Customer_145,473.08,2025-08-12,Electronics
299,Customer_47,413.74,2026-04-03,Electronics
300,Customer_920,408.88,2025-11-20,Furniture
301,Customer_95,259.93,2026-07-22,Electronics
302,Customer_397,472.08,2025-11-04,Toys
303,Customer_767,306.69,2026-02-11,Books
304,Customer_807,271.96,2026-01-21,Furniture
305,Customer_115,396.82,2025-08-27,Furniture
306,Customer_110,400.16,2026-04-21,Toys
307,Customer_413,200.69,2026-04-05,Clothing
308,Customer_704,437.11,2026-07-16,Clothing
309,Customer_459,344.04,2025-12-30,Furniture
310,Customer_740,415.52,2025-09-23,Electronics
311,Customer_917,345.1,2025-10-29,Books
312,Customer_140,105.75,2025-10-05,Clothing
313,Customer_589,86.37,2025-12-13,Furniture
314,Customer_137,245.65,2026-05-20,Electronics
315,Customer_116,287.51,2026-03-20,Toys
316,Customer_691,219.2,2026-02-14,Clothing
317,Customer_374,210.8,2025-11-14,Electronics
318,Customer_987,150.28,2026-01-13,Toys
319,Customer_409,294.55,2026-07-13,Books
320,Customer_297,40.35,2025-08-18,Furniture
321,Customer_873,209.17,2025-09-16,Electronics
322,Customer_491,244.87,2025-09-26,Books
323,Customer_778,352.35,2026-04-03,Toys
324,Customer_586,203.45,2026-07-06,Books
325,Customer_113,284.31,2026-08-02,Toys
326,Customer_749,188.16,2025-08-08,Books
327,Customer_979,414.68,2025-09-03,Furniture
328,Customer_725,487.53,2026-04-18,Furniture
329,Customer_107,425.26,2026-07-10,Electronics
330,Customer_364,397.04,2026-06-20,Electronics
331,Customer_559,321.11,2026-04-25,Electronics
332,Customer_540,379.33,2026-01-05,Books
333,Customer_294,265.7,2026-01-21,Clothing
334,Customer_481,236.35,2026-02-16,Books
335,Customer_773,478.46,2026-04-04,Electronics
336,Customer_909,128.98,2026-05-04,Clothing
337,Customer_392,312.7,2026-04-21,Furniture
338,Customer_275,493.44,2026-03-08,Toys
339,Customer_366,26.2,2025-09-01,Furniture
340,Customer_424,299.08,2025-12-17,Books
341,Customer_964,84.3,2025-12-06,Clothing
342,Customer_40,130.94,2026-03-10,Furniture
343,Customer_585,299.97,2026-06-30,Clothing
344,Customer_211,153.68,2025-11-01,Furniture
345,Customer_125,112.5,2025-11-27,Electronics
