OrderID,CustomerName,Amount,Date,Category
1,Customer_334,480.39,2026-03-19,Toys
2,Customer_836,15.29,2025-09-04,Books
3,Customer_221,215.83,2026-05-09,Toys
4,Customer_599,141.65,2025-10-20,Toys
5,Customer_152,74.75,2026-04-21,Books
6,Customer_812,48.22,2025-11-03,Electronics
7,Customer_418,492.38,2026-01-28,Books
8,Customer_746,456.87,2025-08-19,Furniture
9,Customer_225,246.72,2025-08-16,Toys
10,Customer_373,126.56,2026-06-05,Furniture
11,Customer_42,183.54,2025-10-11,Books
12,Customer_125,50.1,2026-05-26,Toys
13,Customer_813,383.55,2025-09-12,Electronics
14,Customer_482,180.13,2025-12-27,Electronics
15,Customer_31,237.92,2026-01-08,Furniture
16,Customer_707,193.72,2025-11-15,Clothing
17,Customer_146,464.6,2025-09-20,Electronics
18,Customer_581,263.88,2025-09-03,Furniture
19,Customer_560,277.42,2026-05-01,Toys
20,Customer_371,284.05,2026-01-14,Toys
21,Customer_998,201.2,2026-03-14,Books
22,Customer_806,88.83,2026-07-10,Toys
23,Customer_506,480.6,2026-06-08,Clothing
24,Customer_983,74.11,2025-08-25,Furniture
25,Customer_680,280.44,2026-04-21,Clothing
26,Customer_271,438.79,2026-03-06,Books
27,Customer_939,331.91,2025-11-05,Toys
28,Customer_47,459.48,2025-12-19,Books
29,Customer_543,318.48,2026-03-16,Electronics
30,Customer_676,294.08,2026-06-02,Furniture
31,Customer_13,158.07,2025-08-12,Books
32,Customer_616,248.78,2026-04-30,Clothing
33,Customer_84,326.32,2025-08-04,Toys
34,Customer_588,189.98,2026-03-10,Books
35,Customer_250,218.83,2026-02-21,Electronics
36,Customer_805,480.48,2026-04-24,Furniture
37,Customer_267,280.85,2026-03-20,Clothing
38,Customer_574,18.28,2026-02-11,Electronics
39,Customer_795,114.47,2026-07-26,Electronics
40,Customer_896,89.41,2026-01-01,Electronics
41,Customer_999,191.13,2025-12-24,Electronics
42,Customer_734,72.48,2025-08-03,Furniture
43,Customer_611,208.31,2026-01-10,Clothing
44,Customer_687,389.54,2026-04-08,Books
45,Customer_482,221.91,2026-07-16,Toys
46,Customer_269,45.58,2026-04-04,Furniture
47,Customer_803,182.16,2026-01-03,Clothing
48,Customer_320,496.95,2026-04-27,Clothing
49,Customer_264,459.97,2026-04-29,Clothing
50,Customer_471,332.49,2025-09-13,Toys
51,Customer_620,183.81,2026-02-06,Furniture
52,Customer_94,161.03,2026-07-16,Clothing
53,Customer_550,201.74,2025-08-12,Toys
54,Customer_947,369.49,2026-07-08,Furniture
55,Customer_814,67.96,2025-09-27,Electronics
56,Customer_870,262.11,2025-12-31,Clothing
57,Customer_476,176.19,2026-05-23,Toys
58,Customer_66,62.66,2026-07-15,Clothing
59,Customer_793,458.98,2026-07-02,Furniture
60,Customer_36,424.16,2025-11-17,Electronics
61,Customer_420,275.75,2026-04-01,Toys
62,Customer_221,137.72,2025-12-02,Furniture
63,Customer_20,198.41,2026-06-02,Toys
64,Customer_146,362.67,2025-10-28,Furniture
65,Customer_97,19.46,2026-05-07,Furniture
66,Customer_770,227.26,2026-07-30,Clothing
67,Customer_992,288.51,2026-01-03,Books
68,Customer_465,269.08,2026-02-13,Toys
69,Customer_26,250.29,2026-06-12,Clothing
70,Customer_904,353.87,2025-09-06,Furniture
71,Customer_431,187.78,2025-11-13,Toys
72,Customer_227,423.61,2025-12-14,Books
73,Customer_10,473.9,2026-06-23,Electronics
74,Customer_404,421.92,2026-03-26,Books
75,Customer_628,371.66,2026-04-27,Books
76,Customer_52,410.13,2026-03-22,Electronics
77,Customer_458,105.05,2026-02-09,Books
78,Customer_591,17.96,2025-12-23,Electronics
79,Customer_482,25.52,2025-10-17,Furniture
80,Customer_63,331.81,2026-07-30,Toys
81,Customer_602,77.5,2026-02-27,Furniture
82,Customer_398,213.71,2026-03-28,Books
83,Customer_22,263.56,2026-03-06,Books
84,Customer_862,185.53,2026-04-22,Electronics
85,Customer_153,12.51,2026-02-13,Electronics
86,Customer_341,403.03,2025-10-16,Furniture
87,Customer_387,279.09,2025-09-19,Toys
88,Customer_367,470.02,2025-12-16,Electronics
89,Customer_814,174.17,2026-03-28,Toys
90,Customer_849,477.51,2026-04-19,Clothing
91,Customer_49,311.6,2026-04-02,Toys
92,Customer_59,77.97,2025-08-11,Furniture
93,Customer_955,405.83,2026-01-28,Electronics
94,Customer_840,426.44,2026-05-28,Furniture
95,Customer_917,476.47,2026-03-30,Clothing
96,Customer_993,123.13,2026-04-29,Clothing
97,Customer_241,167.14,2025-08-25,Clothing
98,Customer_680,313.59,2026-05-13,Electronics
99,Customer_791,263.6,2025-09-21,Toys
100,Customer_599,304.07,2025-09-22,Books
101,Customer_939,353.06,2026-02-05,Toys
102,Customer_636,50.61,2026-05-30,Books
103,Customer_433,334.78,2025-11-26,Electronics
104,Customer_213,60.46,2025-10-19,Electronics
105,Customer_925,155.17,2026-05-15,Books
106,Customer_263,224.58,2025-11-25,Electronics
107,Customer_377,141.84,2026-03-10,Electronics
108,Customer_268,199.27,2026-01-24,Toys
109,Customer_36,398.28,2026-06-17,Electronics
110,Customer_636,103.45,2026-07-26,Electronics
111,Customer_168,192.58,2026-02-21,Electronics
112,Customer_719,115.27,2025-08-09,Furniture
113,Customer_616,25.29,2025-12-11,Toys
114,Customer_688,459.97,2026-06-03,Toys
115,Customer_328,378.63,2025-11-08,Toys
116,Customer_239,48.7,2025-09-28,Clothing
117,Customer_122,232.13,2025-12-13,Toys
118,Customer_730,224.63,2026-07-27,Furniture
119,Customer_227,363.94,2026-05-22,Books
120,Customer_558,429.15,2025-10-22,Books
121,Customer_719,432.34,2026-03-26,Books
122,Customer_99,141.17,2025-12-29,Books
123,Customer_330,173.46,2026-03-02,Toys
124,Customer_32,304.33,2025-12-03,Toys
125,Customer_956,134.26,2025-09-14,Toys
126,Customer_555,133.16,2026-07-01,Furniture
127,Customer_58,64.93,2026-06-15,Clothing
128,Customer_594,259.36,2026-07-27,Furniture
129,Customer_998,436.48,2025-11-09,Books
130,Customer_494,444.23,2026-05-14,Electronics
131,Customer_33,224.03,2026-01-13,Books
132,Customer_689,389.54,2025-08-02,Electronics
133,Customer_15,144.49,2025-10-23,Furniture
