OrderID,CustomerName,Amount,Date,Category
1,Customer_857,28.76,2025-12-28,Electronics
2,Customer_123,144.2,2026-07-29,Furniture
3,Customer_416,438.27,2025-10-11,Electronics
4,Customer_872,198.28,2026-02-11,Toys
5,Customer_400,72.33,2026-06-11,Furniture
6,Customer_722,134.74,2026-02-25,Toys
7,Customer_293,446.45,2025-10-04,Toys
8,Customer_707,78.33,2025-08-15,Electronics
9,Customer_568,67.49,2025-09-24,Toys
10,Customer_81,310.2,2025-10-27,Clothing
11,Customer_1000,257.1,2026-01-19,Toys
12,Customer_870,134.12,2026-07-13,Clothing
13,Customer_518,308.62,2026-07-03,Toys
14,Customer_842,240.32,2026-05-28,Clothing
15,Customer_442,129.1,2026-04-29,Clothing
16,Customer_108,409.88,2026-02-24,Toys
17,Customer_93,40.79,2025-09-04,Furniture
18,Customer_326,196.45,2026-02-25,Electronics
19,Customer_288,104.42,2026-02-21,Clothing
20,Customer_873,327.08,2025-12-19,Books
21,Customer_492,421.46,2026-02-02,Books
22,Customer_314,130.18,2025-09-10,Books
23,Customer_776,117.65,2026-03-15,Electronics
24,Customer_331,347.56,2026-05-11,Clothing
25,Customer_662,233.71,2025-11-13,Clothing
26,Customer_167,229.7,2025-08-24,Furniture
27,Customer_674,286.0,2025-08-13,Toys
28,Customer_505,405.36,2026-04-17,Electronics
29,Customer_613,51.69,2025-09-28,Clothing
30,Customer_203,154.73,2026-02-25,Toys
31,Customer_311,330.33,2025-11-07,Toys
32,Customer_975,78.1,2025-08-10,Toys
33,Customer_335,379.26,2026-05-12,Furniture
34,Customer_220,67.08,2026-06-13,Toys
35,Customer_851,40.48,2025-11-05,Clothing
36,Customer_263,95.15,2026-01-29,Clothing
37,Customer_151,494.5,2026-04-23,Furniture
38,Customer_854,213.21,2026-02-09,Toys
39,Customer_12,309.26,2026-03-25,Electronics
40,Customer_965,143.31,2025-10-27,Books
41,Customer_152,75.45,2025-10-11,Books
42,Customer_975,382.33,2026-07-04,Toys
43,Customer_485,70.67,2026-07-31,Electronics
44,Customer_268,359.16,2026-06-14,Toys
45,Customer_805,443.57,2026-03-17,Electronics
46,Customer_719,360.72,2026-05-05,Books
47,Customer_614,98.68,2026-07-07,Books
48,Customer_211,162.97,2025-09-10,Clothing
49,Customer_33,107.75,2025-09-06,Toys
50,Customer_500,398.92,2026-03-15,Books
51,Customer_539,283.79,2025-12-16,Electronics
52,Customer_317,309.46,2026-06-13,Books
53,Customer_17,328.44,2026-02-21,Clothing
54,Customer_236,337.46,2026-03-10,Clothing
55,Customer_374,194.5,2025-12-25,Clothing
