OrderID,CustomerName,Amount,Date,Category
1,Customer_223,322.1,2026-03-11,Clothing
2,Customer_113,219.95,2026-01-06,Clothing
3,Customer_926,417.87,2026-06-16,Books
4,Customer_209,201.31,2025-11-11,Electronics
5,Customer_523,220.42,2026-02-25,Books
6,Customer_123,166.59,2026-05-03,Furniture
7,Customer_455,12.25,2026-06-05,Clothing
8,Customer_891,69.28,2026-04-07,Clothing
9,Customer_206,170.97,2026-06-15,Clothing
10,Customer_111,415.77,2026-06-19,Furniture
11,Customer_702,459.31,2026-05-06,Toys
12,Customer_19,102.43,2025-12-02,Books
13,Customer_997,457.97,2026-03-13,Furniture
14,Customer_444,45.49,2025-12-29,Electronics
15,Customer_155,115.36,2026-04-19,Books
16,Customer_474,460.25,2025-09-29,Books
17,Customer_358,444.18,2026-06-30,Clothing
18,Customer_45,291.18,2026-04-18,Clothing
19,Customer_832,98.53,2026-07-31,Furniture
20,Customer_265,357.73,2025-11-20,Books
21,Customer_200,13.45,2026-07-20,Electronics
22,Customer_997,493.74,2025-09-20,Toys
23,Customer_325,357.41,2026-03-25,Toys
24,Customer_819,399.49,2026-06-08,Furniture
25,Customer_734,337.62,2025-08-16,Books
26,Customer_292,369.65,2026-07-10,Clothing
27,Customer_223,65.75,2025-12-20,Furniture
28,Customer_735,179.38,2026-05-21,Toys
29,Customer_793,56.11,2025-09-01,Clothing
30,Customer_549,243.71,2026-03-11,Furniture
31,Customer_157,440.76,2026-07-12,Furniture
32,Customer_955,172.35,2025-09-29,Clothing
33,Customer_259,40.49,2025-11-11,Electronics
34,Customer_632,315.43,2025-10-20,Toys
35,Customer_253,165.61,2026-06-11,Furniture
36,Customer_762,437.44,2026-02-20,Clothing
37,Customer_510,172.61,2025-12-19,Clothing
38,Customer_4,92.58,2025-09-10,Clothing
39,Customer_814,137.91,2026-03-22,Clothing
40,Customer_20,196.95,2025-11-15,Electronics
41,Customer_859,423.86,2025-09-19,Books
42,Customer_84,105.77,2025-12-06,Furniture
43,Customer_245,57.67,2026-03-07,Furniture
44,Customer_999,146.01,2026-05-18,Books
45,Customer_75,256.53,2025-12-28,Books
46,Customer_250,277.39,2026-06-15,Electronics
47,Customer_857,264.74,2026-07-09,Furniture
48,Customer_850,245.58,2025-10-23,Furniture
49,Customer_554,104.95,2025-12-06,Clothing
50,Customer_488,480.73,2026-01-08,Electronics
51,Customer_512,157.09,2025-10-16,Clothing
52,Customer_595,80.4,2026-05-23,Toys
53,Customer_602,277.21,2026-01-06,Electronics
54,Customer_311,16.69,2026-07-14,Toys
55,Customer_844,161.27,2026-05-20,Clothing
56,Customer_365,400.25,2025-12-06,Clothing
57,Customer_996,184.56,2025-10-31,Electronics
58,Customer_467,62.49,2025-11-13,Books
59,Customer_784,287.43,2025-09-13,Electronics
60,Customer_223,33.67,2025-12-15,Toys
61,Customer_669,43.68,2026-06-24,Clothing
62,Customer_66,490.2,2026-07-01,Electronics
63,Customer_504,131.39,2026-02-17,Toys
64,Customer_345,175.5,2025-12-01,Furniture
65,Customer_812,185.38,2026-07-10,Clothing
66,Customer_531,13.13,2025-10-05,Toys
67,Customer_659,244.56,2026-08-02,Electronics
68,Customer_184,450.38,2026-05-01,Electronics
69,Customer_728,154.72,2025-09-12,Toys
70,Customer_222,499.36,2025-08-09,Clothing
71,Customer_899,313.71,2026-05-19,Clothing
72,Customer_803,338.68,2025-08-23,Books
73,Customer_381,434.87,2026-04-25,Books
74,Customer_349,406.26,2025-12-26,Furniture
75,Customer_19,247.65,2025-08-16,Furniture
76,Customer_710,167.92,2026-01-19,Toys
77,Customer_402,485.93,2025-11-17,Toys
78,Customer_321,306.5,2026-03-24,Furniture
79,Customer_931,380.28,2025-12-18,Clothing
80,Customer_278,39.61,2025-09-06,Furniture
81,Customer_881,279.06,2025-08-02,Furniture
82,Customer_483,179.85,2025-08-07,Clothing
83,Customer_146,170.87,2026-05-01,Clothing
84,Customer_860,231.75,2026-07-25,Toys
85,Customer_846,310.69,2026-03-28,Electronics
86,Customer_65,173.55,2025-10-26,Toys
87,Customer_710,295.53,2025-08-20,Electronics
88,Customer_403,97.98,2026-06-30,Clothing
89,Customer_174,103.02,2025-11-05,Clothing
90,Customer_236,70.8,2025-10-15,Clothing
91,Customer_364,440.98,2026-07-19,Furniture
92,Customer_810,118.05,2026-02-06,Books
93,Customer_137,418.6,2025-09-18,Electronics
94,Customer_304,146.29,2025-09-30,Toys
95,Customer_319,355.64,2026-04-21,Furniture
96,Customer_200,493.01,2026-01-02,Books
