OrderID,CustomerName,Amount,Date,Category
1,Customer_851,310.46,2026-06-24,Toys
2,Customer_892,205.42,2026-05-18,Clothing
3,Customer_408,173.87,2026-02-04,Clothing
4,Customer_244,336.45,2026-05-17,Toys
5,Customer_737,125.89,2025-09-02,Electronics
6,Customer_917,240.81,2026-02-12,Electronics
7,Customer_98,168.81,2025-10-18,Electronics
8,Customer_213,142.96,2025-08-07,Toys
9,Customer_533,278.31,2026-03-17,Clothing
10,Customer_434,144.61,2025-09-29,Electronics
11,Customer_720,307.83,2026-06-11,Electronics
12,Customer_92,247.49,2026-03-02,Electronics
13,Customer_809,244.55,2026-05-14,Books
14,Customer_793,397.36,2026-01-30,Furniture
15,Customer_310,230.41,2025-10-25,Books
16,Customer_222,430.21,2026-02-18,Toys
17,Customer_436,443.28,2025-08-22,Clothing
18,Customer_601,427.02,2026-06-13,Clothing
19,Customer_215,336.83,2026-03-16,Books
20,Customer_581,450.55,2025-08-23,Furniture
21,Customer_90,119.62,2026-07-30,Electronics
22,Customer_513,385.97,2026-03-19,Clothing
23,Customer_417,425.02,2026-01-14,Electronics
24,Customer_239,60.6,2026-04-21,Books
25,Customer_259,204.11,2025-09-11,Electronics
26,Customer_30,217.26,2026-03-10,Clothing
27,Customer_964,18.31,2026-02-22,Furniture
28,Customer_733,319.43,2026-03-13,Furniture
29,Customer_34,381.04,2026-01-20,Toys
30,Customer_916,406.64,2026-02-06,Toys
31,Customer_75,62.54,2026-03-27,Electronics
32,Customer_812,12.81,2026-04-24,Toys
33,Customer_476,310.2,2026-06-15,Books
34,Customer_970,395.65,2026-07-14,Toys
35,Customer_293,190.44,2025-08-15,Clothing
36,Customer_138,271.43,2025-08-07,Toys
37,Customer_827,47.59,2025-12-17,Books
38,Customer_596,482.51,2025-08-10,Books
39,Customer_175,343.09,2026-04-06,Electronics
40,Customer_327,20.9,2026-06-20,Electronics
41,Customer_445,197.86,2026-04-15,Toys
42,Customer_229,369.76,2026-03-29,Furniture
43,Customer_523,137.73,2025-11-21,Books
44,Customer_214,255.9,2026-06-26,Books
45,Customer_169,211.82,2026-07-05,Books
46,Customer_225,157.87,2025-09-26,Clothing
47,Customer_518,434.52,2026-04-26,Books
48,Customer_789,43.5,2026-03-13,Electronics
49,Customer_460,314.42,2026-06-23,Clothing
50,Customer_697,355.89,2025-08-15,Clothing
51,Customer_702,335.49,2025-09-22,Furniture
52,Customer_869,133.82,2026-01-03,Books
53,Customer_960,112.19,2026-01-27,Clothing
54,Customer_326,229.44,2025-12-14,Books
55,Customer_726,385.66,2025-10-03,Toys
56,Customer_713,200.46,2026-05-25,Furniture
57,Customer_584,495.27,2026-07-29,Toys
58,Customer_676,118.33,2026-05-09,Books
59,Customer_295,80.12,2025-09-06,Furniture
60,Customer_153,143.99,2025-08-28,Electronics
61,Customer_609,262.23,2026-01-25,Clothing
62,Customer_614,285.99,2026-04-19,Electronics
63,Customer_404,436.5,2026-06-30,Books
64,Customer_872,188.81,2026-07-30,Books
65,Customer_173,228.49,2025-11-16,Electronics
66,Customer_89,165.41,2025-11-09,Toys
67,Customer_910,173.76,2026-03-31,Clothing
68,Customer_248,183.55,2026-07-02,Books
69,Customer_747,411.65,2025-12-30,Toys
70,Customer_313,26.7,2025-08-22,Clothing
71,Customer_462,310.66,2025-12-28,Toys
72,Customer_970,273.45,2026-07-13,Toys
73,Customer_650,169.38,2025-09-21,Furniture
74,Customer_273,476.05,2026-03-09,Toys
75,Customer_458,387.41,2025-12-08,Books
76,Customer_461,179.92,2026-04-10,Books
77,Customer_218,434.69,2026-02-02,Electronics
78,Customer_299,221.77,2026-03-25,Furniture
79,Customer_822,451.28,2025-08-22,Furniture
80,Customer_861,259.93,2025-10-27,Electronics
81,Customer_15,175.58,2026-01-02,Clothing
82,Customer_868,439.69,2026-06-19,Toys
83,Customer_750,18.96,2025-09-14,Books
84,Customer_26,230.53,2025-12-18,Furniture
85,Customer_245,178.77,2026-05-18,Electronics
86,Customer_852,356.43,2025-12-09,Books
87,Customer_599,268.2,2025-11-14,Electronics
88,Customer_254,390.92,2025-12-02,Furniture
89,Customer_635,448.42,2026-07-12,Toys
90,Customer_927,182.94,2025-09-01,Books
91,Customer_224,39.84,2025-09-07,Toys
92,Customer_777,486.09,2026-04-20,Furniture
93,Customer_969,156.12,2026-02-28,Furniture
94,Customer_435,380.59,2026-02-07,Furniture
95,Customer_899,300.23,2026-04-28,Electronics
96,Customer_875,166.34,2025-10-07,Clothing
97,Customer_543,464.07,2026-04-22,Books
98,Customer_737,137.85,2025-08-03,Books
99,Customer_323,93.62,2026-06-25,Books
100,Customer_594,175.09,2026-04-22,Books
101,Customer_82,133.79,2026-04-25,Electronics
102,Customer_736,183.46,2025-09-05,Furniture
103,Customer_325,283.28,2026-06-02,Books
104,Customer_434,191.5,2026-01-01,Books
105,Customer_760,48.6,2025-08-05,Toys
106,Customer_400,320.98,2026-05-17,Furniture
107,Customer_984,259.3,2025-10-02,Furniture
108,Customer_635,426.75,2026-04-14,Books
109,Customer_560,221.52,2026-07-09,Books
110,Customer_971,170.58,2025-12-06,Toys
111,Customer_208,120.64,2025-12-27,Electronics
112,Customer_200,269.47,2026-01-28,Books
113,Customer_732,86.2,2025-09-01,Clothing
114,Customer_163,306.68,2026-07-26,Books
115,Customer_741,37.72,2026-02-17,Clothing
116,Customer_922,377.13,2026-06-21,Books
117,Customer_396,89.19,2026-03-23,Electronics
118,Customer_443,491.52,2026-01-29,Furniture
