OrderID,CustomerName,Amount,Date,Category
1,Customer_665,186.17,2025-09-01,Books
2,Customer_72,391.67,2026-03-02,Electronics
3,Customer_433,56.37,2026-05-04,Clothing
4,Customer_416,374.07,2025-10-03,Furniture
5,Customer_645,22.65,2026-05-03,Clothing
6,Customer_581,190.02,2026-06-22,Books
7,Customer_986,43.56,2026-07-02,Electronics
8,Customer_331,84.21,2025-11-06,Clothing
9,Customer_570,487.79,2026-03-10,Furniture
10,Customer_571,482.57,2025-10-26,Electronics
11,Customer_301,318.9,2026-06-01,Clothing
12,Customer_530,194.67,2026-07-22,Toys
13,Customer_853,463.23,2026-07-14,Electronics
14,Customer_239,381.15,2025-09-21,Books
15,Customer_873,372.23,2026-02-17,Clothing
16,Customer_495,381.63,2025-09-22,Books
17,Customer_294,474.33,2025-11-13,Electronics
18,Customer_713,47.16,2026-07-09,Toys
19,Customer_697,290.96,2026-03-20,Clothing
20,Customer_104,349.99,2025-12-29,Toys
21,Customer_487,48.13,2026-02-16,Toys
22,Customer_814,145.06,2026-02-12,Electronics
23,Customer_197,343.61,2026-01-16,Books
24,Customer_440,355.73,2025-11-28,Electronics
25,Customer_752,393.33,2026-07-14,Electronics
26,Customer_872,348.41,2026-04-17,Electronics
27,Customer_713,180.84,2026-06-25,Toys
28,Customer_938,106.61,2026-02-07,Clothing
29,Customer_399,219.33,2025-08-13,Books
30,Customer_153,140.65,2026-06-13,Toys
31,Customer_602,377.17,2025-11-02,Books
32,Customer_482,349.1,2026-05-04,Furniture
33,Customer_883,236.45,2026-02-04,Toys
34,Customer_413,118.42,2026-06-23,Electronics
35,Customer_782,122.58,2026-05-07,Toys
36,Customer_177,271.17,2026-04-09,Clothing
37,Customer_887,319.1,2025-12-28,Books
38,Customer_53,147.54,2026-04-20,Electronics
39,Customer_913,350.13,2025-10-04,Electronics
40,Customer_351,257.03,2025-08-23,Furniture
41,Customer_681,300.96,2025-11-01,Furniture
42,Customer_239,421.34,2025-12-02,Electronics
43,Customer_948,370.14,2026-01-10,Clothing
44,Customer_171,19.16,2026-03-12,Furniture
45,Customer_657,321.52,2026-06-10,Furniture
46,Customer_611,165.15,2026-06-13,Electronics
47,Customer_960,422.89,2026-05-30,Clothing
48,Customer_992,234.22,2026-06-08,Clothing
49,Customer_601,13.52,2025-11-24,Toys
50,Customer_645,31.11,2026-07-22,Toys
51,Customer_972,382.82,2025-10-15,Toys
52,Customer_93,237.93,2026-03-07,Clothing
53,Customer_372,383.87,2025-11-23,Clothing
54,Customer_565,141.9,2026-04-18,Clothing
55,Customer_299,145.96,2026-03-27,Electronics
56,Customer_478,176.28,2026-01-14,Furniture
57,Customer_504,412.57,2025-09-27,Furniture
58,Customer_807,54.19,2025-08-31,Books
59,Customer_486,216.43,2025-08-21,Toys
60,Customer_388,83.1,2025-12-02,Clothing
61,Customer_227,466.81,2026-04-19,Books
62,Customer_895,195.49,2026-05-27,Furniture
63,Customer_767,282.88,2025-08-12,Books
64,Customer_418,332.41,2025-10-26,Books
65,Customer_388,412.59,2025-08-19,Electronics
66,Customer_497,254.1,2026-04-11,Clothing
67,Customer_1,375.35,2025-12-29,Clothing
68,Customer_45,456.76,2026-07-17,Clothing
69,Customer_975,189.82,2026-01-22,Toys
70,Customer_238,48.98,2026-05-31,Furniture
71,Customer_639,459.63,2026-04-19,Clothing
72,Customer_642,23.84,2026-07-04,Books
73,Customer_42,258.31,2026-03-30,Toys
74,Customer_388,323.89,2026-01-17,Furniture
75,Customer_323,268.66,2025-11-03,Electronics
76,Customer_518,186.52,2026-05-11,Books
77,Customer_575,44.7,2026-06-23,Books
78,Customer_455,382.11,2026-01-15,Clothing
