OrderID,CustomerName,Amount,Date,Category
1,Customer_52,40.54,2026-01-26,Books
2,Customer_763,342.49,2025-09-17,Books
3,Customer_613,198.78,2026-03-15,Electronics
4,Customer_852,251.34,2026-01-07,Electronics
5,Customer_446,186.04,2026-02-26,Electronics
6,Customer_772,30.45,2026-07-01,Clothing
7,Customer_256,348.09,2025-11-11,Books
8,Customer_142,371.87,2026-02-23,Books
9,Customer_989,458.52,2025-11-25,Electronics
10,Customer_109,301.04,2026-01-13,Electronics
11,Customer_464,55.04,2026-04-10,Furniture
12,Customer_316,361.08,2026-05-14,Toys
13,Customer_974,378.74,2025-11-30,Electronics
14,Customer_212,72.88,2026-01-06,Furniture
15,Customer_437,386.47,2026-07-17,Furniture
16,Customer_741,205.48,2026-07-03,Clothing
17,Customer_619,424.15,2025-08-29,Books
18,Customer_736,429.17,2026-07-18,Books
19,Customer_19,496.33,2026-06-14,Clothing
20,Customer_644,263.04,2026-02-28,Electronics
21,Customer_134,45.32,2026-05-11,Furniture
22,Customer_749,187.52,2026-06-05,Toys
23,Customer_188,94.73,2025-11-28,Clothing
24,Customer_58,315.92,2026-01-08,Electronics
25,Customer_156,434.04,2026-05-10,Electronics
26,Customer_560,265.08,2025-11-20,Furniture
27,Customer_910,147.03,2025-11-02,Toys
28,Customer_566,71.62,2026-06-23,Electronics
29,Customer_292,112.62,2025-12-01,Toys
30,Customer_53,239.41,2025-08-07,Clothing
31,Customer_508,364.07,2025-11-21,Books
32,Customer_891,110.65,2025-08-05,Toys
33,Customer_277,228.29,2026-03-06,Clothing
34,Customer_483,287.78,2025-08-28,Toys
35,Customer_393,447.94,2026-01-13,Books
36,Customer_914,436.53,2025-12-21,Furniture
37,Customer_963,79.53,2026-01-03,Toys
38,Customer_966,254.72,2026-06-04,Electronics
39,Customer_672,153.29,2026-03-18,Clothing
40,Customer_943,254.49,2026-06-10,Books
41,Customer_568,261.73,2026-05-14,Books
42,Customer_437,63.85,2026-02-13,Books
43,Customer_564,472.47,2025-12-21,Furniture
44,Customer_832,114.39,2025-08-02,Books
45,Customer_268,98.9,2026-05-20,Furniture
46,Customer_741,96.18,2026-06-07,Toys
47,Customer_698,373.67,2026-01-15,Books
48,Customer_561,341.66,2026-05-25,Furniture
49,Customer_3,82.76,2026-03-09,Furniture
50,Customer_897,90.1,2026-04-14,Clothing
51,Customer_397,406.17,2026-04-22,Electronics
52,Customer_670,54.17,2025-09-02,Toys
53,Customer_64,411.65,2026-06-09,Books
54,Customer_259,91.03,2026-05-31,Books
55,Customer_608,403.92,2025-11-11,Furniture
56,Customer_473,333.12,2026-05-15,Furniture
57,Customer_481,26.89,2026-05-02,Electronics
58,Customer_261,338.55,2026-06-27,Furniture
59,Customer_814,48.12,2025-11-06,Electronics
60,Customer_308,13.13,2025-10-30,Electronics
61,Customer_385,316.6,2025-10-12,Clothing
62,Customer_732,190.2,2025-09-19,Electronics
63,Customer_454,324.42,2026-06-05,Books
64,Customer_344,111.96,2026-03-29,Furniture
65,Customer_946,395.93,2025-11-02,Electronics
66,Customer_733,314.74,2026-01-26,Clothing
67,Customer_285,97.25,2026-05-29,Toys
68,Customer_989,35.81,2026-01-25,Furniture
69,Customer_39,35.92,2025-10-22,Books
70,Customer_836,67.05,2026-07-04,Furniture
71,Customer_356,263.03,2026-04-09,Furniture
72,Customer_386,367.08,2025-11-12,Furniture
73,Customer_702,395.94,2025-11-21,Books
74,Customer_486,318.28,2026-01-25,Furniture
75,Customer_790,342.17,2026-04-06,Clothing
76,Customer_679,329.2,2026-03-09,Clothing
77,Customer_444,237.61,2025-09-12,Furniture
78,Customer_251,336.58,2025-11-28,Furniture
79,Customer_527,57.49,2025-08-25,Toys
80,Customer_261,114.04,2026-02-23,Electronics
81,Customer_218,270.99,2026-07-03,Books
82,Customer_162,139.08,2026-04-29,Furniture
83,Customer_52,284.16,2025-11-12,Clothing
84,Customer_114,251.15,2025-10-21,Electronics
85,Customer_814,297.05,2026-06-06,Toys
86,Customer_941,291.47,2026-05-24,Books
87,Customer_533,177.08,2025-08-16,Books
88,Customer_405,226.87,2025-12-07,Toys
89,Customer_946,108.63,2026-04-22,Furniture
90,Customer_807,494.45,2026-07-13,Electronics
91,Customer_750,369.8,2026-05-21,Electronics
92,Customer_934,150.32,2026-06-21,Books
93,Customer_154,459.93,2025-08-09,Toys
94,Customer_492,364.43,2025-09-27,Toys
95,Customer_800,306.17,2025-09-28,Clothing
96,Customer_71,200.15,2025-11-03,Clothing
97,Customer_494,180.52,2025-10-22,Furniture
98,Customer_148,393.68,2026-01-26,Clothing
99,Customer_423,251.26,2026-01-09,Electronics
100,Customer_976,435.76,2025-08-19,Furniture
101,Customer_787,188.45,2025-09-10,Electronics
102,Customer_573,189.0,2025-08-25,Toys
103,Customer_693,297.92,2026-02-17,Furniture
104,Customer_621,109.56,2025-10-11,Furniture
105,Customer_676,447.72,2026-03-22,Toys
106,Customer_845,366.64,2026-05-21,Toys
107,Customer_76,107.15,2026-05-08,Clothing
108,Customer_838,32.29,2025-10-19,Electronics
109,Customer_849,333.44,2025-08-09,Clothing
110,Customer_100,357.26,2026-05-19,Books
111,Customer_842,391.61,2026-04-23,Electronics
112,Customer_719,88.86,2025-08-17,Toys
113,Customer_737,265.87,2025-11-30,Toys
114,Customer_567,356.52,2025-08-25,Clothing
115,Customer_562,388.44,2026-05-30,Furniture
116,Customer_330,60.07,2025-12-10,Clothing
117,Customer_503,446.94,2025-12-11,Books
118,Customer_529,395.64,2026-05-03,Electronics
119,Customer_701,56.3,2026-02-16,Clothing
120,Customer_754,434.87,2026-01-20,Electronics
121,Customer_159,156.74,2026-05-20,Furniture
122,Customer_60,413.27,2026-07-13,Clothing
123,Customer_50,276.94,2026-07-28,Clothing
124,Customer_565,413.35,2025-10-16,Clothing
125,Customer_516,221.65,2026-05-15,Clothing
126,Customer_277,263.45,2026-05-29,Furniture
127,Customer_194,178.93,2025-12-15,Electronics
128,Customer_65,367.82,2025-09-27,Clothing
129,Customer_560,396.82,2026-05-23,Books
130,Customer_8,121.54,2025-08-17,Books
131,Customer_723,272.26,2025-08-17,Furniture
132,Customer_144,192.52,2026-04-08,Furniture
133,Customer_522,146.84,2026-01-02,Toys
134,Customer_165,263.12,2026-02-08,Toys
135,Customer_365,169.64,2025-12-23,Books
136,Customer_156,286.66,2026-07-10,Electronics
137,Customer_253,70.94,2026-01-11,Electronics
138,Customer_630,381.03,2026-07-04,Toys
139,Customer_765,339.86,2026-05-26,Electronics
140,Customer_973,186.75,2025-09-09,Electronics
141,Customer_506,478.63,2025-09-19,Electronics
142,Customer_676,259.96,2026-06-12,Books
143,Customer_606,365.24,2026-03-11,Toys
144,Customer_928,82.07,2026-02-13,Toys
145,Customer_23,462.13,2025-12-02,Electronics
146,Customer_423,192.94,2026-03-14,Clothing
147,Customer_839,328.9,2026-06-14,Toys
148,Customer_345,79.25,2025-11-20,Books
149,Customer_558,182.81,2025-08-19,Electronics
150,Customer_76,44.16,2026-04-24,Electronics
151,Customer_39,140.49,2025-09-11,Books
152,Customer_754,362.48,2025-08-24,Clothing
153,Customer_378,269.63,2025-09-23,Books
154,Customer_399,475.57,2026-04-05,Furniture
155,Customer_975,255.84,2025-12-25,Toys
156,Customer_859,405.85,2026-02-08,Electronics
157,Customer_215,92.19,2025-08-17,Toys
158,Customer_312,289.05,2026-06-09,Toys
159,Customer_467,332.62,2026-04-01,Electronics
160,Customer_761,224.08,2025-10-07,Clothing
161,Customer_803,162.82,2025-12-06,Toys
162,Customer_550,96.26,2025-09-22,Toys
163,Customer_763,247.01,2025-12-22,Books
164,Customer_86,328.33,2026-04-02,Furniture
165,Customer_927,260.42,2025-08-10,Books
166,Customer_987,101.02,2026-01-09,Electronics
167,Customer_192,16.0,2026-05-28,Toys
168,Customer_211,222.65,2026-06-18,Toys
169,Customer_526,425.23,2026-02-26,Furniture
170,Customer_688,40.44,2026-04-07,Furniture
171,Customer_732,146.63,2025-08-24,Books
172,Customer_935,308.95,2025-08-18,Books
173,Customer_635,341.51,2025-10-05,Books
174,Customer_476,441.41,2025-08-06,Furniture
175,Customer_957,49.27,2026-01-10,Electronics
176,Customer_127,377.51,2026-02-25,Toys
177,Customer_125,414.81,2026-05-04,Furniture
178,Customer_830,309.96,2025-11-02,Furniture
179,Customer_637,251.59,2026-03-19,Clothing
180,Customer_743,282.43,2025-10-05,Furniture
181,Customer_269,281.68,2025-12-01,Furniture
182,Customer_712,322.08,2025-08-17,Clothing
183,Customer_872,109.9,2025-11-17,Furniture
184,Customer_453,147.94,2026-03-13,Electronics
185,Customer_276,205.08,2025-12-10,Electronics
186,Customer_431,410.16,2025-11-02,Electronics
187,Customer_352,429.56,2025-10-21,Furniture
188,Customer_574,29.93,2025-10-20,Electronics
189,Customer_336,178.77,2026-01-05,Toys
190,Customer_810,388.67,2026-06-02,Toys
191,Customer_554,146.83,2026-02-07,Electronics
192,Customer_46,375.55,2026-01-19,Books
193,Customer_925,357.05,2025-11-07,Books
194,Customer_882,40.84,2025-11-26,Electronics
195,Customer_452,228.68,2026-01-22,Clothing
196,Customer_161,135.87,2025-09-12,Toys
197,Customer_600,108.21,2026-07-24,Electronics
198,Customer_740,201.34,2025-12-15,Toys
199,Customer_350,465.8,2026-04-26,Toys
200,Customer_766,468.59,2026-05-09,Toys
201,Customer_484,321.56,2026-02-11,Electronics
202,Customer_373,317.01,2026-07-07,Furniture
203,Customer_971,473.23,2025-11-10,Toys
204,Customer_175,72.97,2026-04-15,Books
205,Customer_655,341.27,2025-09-01,Electronics
206,Customer_274,450.06,2026-01-16,Books
207,Customer_801,331.4,2026-07-14,Toys
208,Customer_613,65.44,2025-12-24,Electronics
209,Customer_576,409.09,2026-04-04,Books
210,Customer_700,417.86,2025-10-05,Clothing
211,Customer_655,327.33,2026-04-16,Clothing
212,Customer_820,12.28,2025-11-18,Toys
213,Customer_159,147.74,2026-04-29,Toys
214,Customer_293,185.58,2026-06-10,Toys
215,Customer_733,153.55,2025-10-09,Toys
216,Customer_26,328.81,2026-03-09,Toys
217,Customer_647,222.9,2025-09-30,Toys
218,Customer_640,362.36,2026-05-23,Electronics
219,Customer_687,185.95,2026-07-31,Books
220,Customer_344,111.34,2025-08-24,Furniture
221,Customer_864,394.07,2025-08-24,Toys
222,Customer_327,285.28,2026-02-24,Furniture
223,Customer_898,256.48,2026-04-22,Toys
224,Customer_67,109.89,2026-05-02,Toys
225,Customer_492,442.62,2026-01-05,Furniture
226,Customer_5,469.62,2026-05-01,Furniture
227,Customer_655,477.92,2026-06-15,Clothing
228,Customer_933,278.04,2026-07-01,Clothing
229,Customer_222,142.23,2026-03-30,Electronics
230,Customer_995,388.14,2025-08-23,Clothing
231,Customer_427,428.39,2026-04-11,Toys
232,Customer_157,376.1,2025-09-05,Clothing
233,Customer_754,101.79,2026-06-14,Electronics
234,Customer_163,32.69,2026-06-12,Furniture
235,Customer_203,322.28,2025-08-10,Toys
236,Customer_637,88.14,2026-04-27,Furniture
237,Customer_705,490.8,2026-04-01,Toys
238,Customer_703,406.88,2026-04-05,Books
239,Customer_748,215.61,2026-01-16,Books
240,Customer_594,188.81,2025-09-15,Furniture
241,Customer_5,62.24,2026-06-04,Furniture
242,Customer_163,304.89,2025-12-17,Furniture
243,Customer_865,457.59,2025-08-11,Toys
244,Customer_877,385.09,2026-05-14,Toys
245,Customer_104,426.41,2025-12-28,Electronics
246,Customer_966,86.95,2025-08-02,Books
247,Customer_999,379.53,2025-11-02,Books
248,Customer_960,365.31,2026-07-15,Electronics
249,Customer_326,128.91,2026-01-02,Clothing
250,Customer_470,220.73,2026-02-16,Books
251,Customer_385,246.63,2026-07-15,Books
252,Customer_220,313.2,2025-10-22,Toys
253,Customer_668,41.14,2025-09-24,Clothing
254,Customer_781,80.79,2026-07-19,Books
255,Customer_576,16.45,2026-06-06,Toys
256,Customer_980,98.85,2026-07-06,Books
257,Customer_757,64.25,2025-12-08,Clothing
258,Customer_854,361.13,2026-06-24,Clothing
259,Customer_85,240.86,2026-06-23,Clothing
260,Customer_934,420.79,2026-04-10,Books
261,Customer_770,472.07,2025-09-05,Books
262,Customer_776,496.18,2026-07-28,Toys
263,Customer_842,34.44,2025-11-07,Furniture
264,Customer_287,138.98,2026-05-20,Furniture
265,Customer_583,340.47,2025-10-27,Books
266,Customer_519,478.94,2025-11-09,Electronics
267,Customer_841,129.56,2025-12-17,Furniture
