OrderID,CustomerName,Amount,Date,Category
1,Customer_465,282.92,2025-10-09,Toys
2,Customer_182,159.85,2025-10-19,Books
3,Customer_18,181.78,2025-10-16,Furniture
4,Customer_1,113.25,2025-10-03,Toys
5,Customer_609,233.01,2026-06-10,Electronics
6,Customer_974,150.91,2025-10-17,Furniture
7,Customer_345,436.12,2026-05-19,Clothing
8,Customer_883,81.34,2026-02-05,Clothing
9,Customer_241,125.22,2026-06-16,Books
10,Customer_641,150.01,2025-08-03,Furniture
11,Customer_950,102.65,2026-07-29,Electronics
12,Customer_566,477.29,2025-09-28,Toys
13,Customer_515,80.27,2025-12-10,Furniture
14,Customer_278,458.0,2025-10-08,Toys
15,Customer_898,104.84,2025-08-06,Electronics
16,Customer_598,177.15,2025-08-20,Books
17,Customer_920,271.66,2026-01-22,Toys
18,Customer_404,103.49,2025-09-05,Electronics
19,Customer_875,491.13,2025-11-15,Furniture
20,Customer_709,194.59,2026-01-14,Books
21,Customer_314,176.77,2025-09-17,Electronics
22,Customer_152,167.86,2025-11-04,Books
23,Customer_206,374.58,2026-06-05,Books
24,Customer_576,408.98,2026-01-22,Clothing
25,Customer_331,188.26,2026-06-28,Clothing
26,Customer_524,150.98,2025-09-23,Furniture
27,Customer_608,52.48,2026-04-25,Electronics
28,Customer_781,472.18,2025-09-27,Electronics
29,Customer_767,372.08,2026-04-20,Clothing
30,Customer_613,171.44,2025-09-22,Electronics
31,Customer_299,267.34,2026-07-04,Toys
32,Customer_186,141.11,2026-02-15,Books
33,Customer_124,372.26,2025-09-03,Toys
34,Customer_987,410.66,2026-06-22,Books
35,Customer_405,387.16,2025-10-12,Toys
36,Customer_36,471.17,2025-12-12,Furniture
37,Customer_333,415.17,2026-02-09,Furniture
38,Customer_922,387.79,2026-05-10,Furniture
39,Customer_84,274.41,2025-12-26,Furniture
40,Customer_206,265.88,2025-11-17,Clothing
41,Customer_836,153.78,2025-10-22,Toys
42,Customer_669,127.22,2025-10-03,Electronics
43,Customer_167,114.67,2025-09-10,Clothing
44,Customer_244,448.11,2025-12-26,Books
45,Customer_583,469.73,2026-07-12,Toys
46,Customer_377,336.58,2025-08-23,Electronics
47,Customer_661,413.1,2026-06-29,Toys
48,Customer_747,98.31,2025-08-16,Electronics
49,Customer_315,50.64,2026-01-23,Furniture
50,Customer_287,392.22,2026-06-27,Electronics
51,Customer_194,130.95,2026-02-12,Clothing
52,Customer_888,124.38,2026-05-21,Clothing
53,Customer_824,152.24,2026-03-10,Electronics
54,Customer_908,45.82,2026-02-26,Books
55,Customer_681,260.49,2026-01-24,Electronics
56,Customer_845,482.9,2025-10-16,Toys
57,Customer_324,278.0,2026-04-28,Electronics
58,Customer_283,405.39,2025-12-30,Toys
59,Customer_966,21.14,2025-10-18,Clothing
60,Customer_254,207.83,2026-03-25,Books
61,Customer_153,440.81,2026-03-03,Toys
62,Customer_323,304.16,2026-02-28,Furniture
63,Customer_796,453.13,2025-09-19,Toys
64,Customer_791,232.5,2026-03-14,Clothing
65,Customer_571,295.85,2025-10-19,Toys
66,Customer_14,313.66,2025-11-09,Electronics
67,Customer_228,27.83,2025-10-21,Toys
68,Customer_5,448.84,2026-06-05,Electronics
69,Customer_324,57.92,2026-06-14,Books
70,Customer_847,117.11,2025-10-09,Books
71,Customer_734,263.6,2025-11-18,Furniture
72,Customer_212,226.95,2025-08-31,Furniture
73,Customer_443,230.12,2026-05-30,Books
74,Customer_508,75.36,2026-06-01,Furniture
75,Customer_907,337.62,2025-11-17,Clothing
76,Customer_908,484.1,2026-07-08,Electronics
77,Customer_667,148.07,2025-09-29,Books
78,Customer_66,267.67,2025-12-22,Furniture
79,Customer_294,219.17,2025-12-13,Electronics
80,Customer_896,240.11,2025-12-14,Clothing
81,Customer_516,433.28,2026-07-07,Books
82,Customer_375,56.38,2026-01-09,Toys
83,Customer_743,122.12,2025-11-07,Books
84,Customer_698,410.05,2026-01-28,Books
85,Customer_14,400.22,2026-03-18,Toys
86,Customer_643,386.98,2026-03-16,Clothing
87,Customer_8,24.52,2025-10-09,Books
88,Customer_678,442.13,2025-11-15,Clothing
89,Customer_507,367.14,2026-06-02,Books
90,Customer_467,132.1,2026-03-17,Clothing
91,Customer_226,266.73,2025-09-12,Furniture
92,Customer_540,133.91,2025-09-29,Books
93,Customer_296,182.59,2026-07-16,Clothing
94,Customer_453,438.19,2025-08-16,Furniture
95,Customer_916,154.43,2025-12-01,Books
96,Customer_322,128.03,2026-02-13,Clothing
97,Customer_412,44.56,2026-06-28,Electronics
98,Customer_403,334.73,2026-07-18,Clothing
99,Customer_469,390.7,2026-05-07,Clothing
100,Customer_380,212.42,2025-10-22,Furniture
101,Customer_17,166.11,2025-12-14,Clothing
102,Customer_389,158.59,2026-03-18,Electronics
103,Customer_523,195.86,2026-07-30,Books
104,Customer_358,259.35,2025-10-21,Furniture
105,Customer_681,408.37,2025-11-12,Electronics
106,Customer_195,72.8,2025-09-24,Books
107,Customer_722,364.37,2025-11-21,Books
108,Customer_464,441.38,2025-09-01,Clothing
109,Customer_110,348.22,2026-05-25,Toys
110,Customer_17,105.85,2025-10-04,Clothing
111,Customer_578,337.1,2026-03-09,Clothing
112,Customer_641,378.41,2025-09-28,Books
113,Customer_243,300.76,2026-02-12,Furniture
114,Customer_531,451.2,2025-10-28,Clothing
115,Customer_66,482.06,2026-03-08,Electronics
116,Customer_453,367.98,2026-01-13,Clothing
117,Customer_210,465.42,2026-07-28,Furniture
118,Customer_833,185.57,2025-09-06,Toys
119,Customer_7,251.75,2025-09-09,Toys
120,Customer_720,125.12,2025-08-03,Furniture
121,Customer_874,276.58,2026-07-12,Books
122,Customer_33,339.61,2025-11-04,Clothing
123,Customer_495,381.15,2025-09-12,Toys
124,Customer_685,166.9,2026-03-07,Electronics
125,Customer_538,174.96,2025-12-11,Electronics
126,Customer_941,261.39,2026-07-31,Clothing
127,Customer_339,212.38,2026-03-07,Books
128,Customer_934,113.63,2025-10-30,Clothing
129,Customer_293,24.02,2025-10-13,Clothing
130,Customer_678,331.84,2026-05-29,Electronics
131,Customer_838,438.82,2025-12-14,Books
132,Customer_965,245.22,2025-10-08,Electronics
133,Customer_293,409.79,2025-10-21,Toys
134,Customer_713,373.71,2025-10-13,Books
135,Customer_670,117.06,2026-01-27,Toys
136,Customer_92,18.56,2026-01-01,Toys
137,Customer_8,420.24,2026-07-05,Books
138,Customer_487,152.43,2026-03-15,Toys
139,Customer_635,392.02,2026-04-11,Toys
140,Customer_642,227.41,2026-04-14,Toys
141,Customer_975,83.31,2026-07-14,Books
142,Customer_815,371.66,2026-05-13,Toys
143,Customer_588,408.39,2025-09-08,Furniture
144,Customer_149,453.74,2025-12-14,Books
145,Customer_796,454.87,2026-07-02,Furniture
146,Customer_361,387.76,2026-01-29,Clothing
147,Customer_737,405.9,2026-02-21,Toys
148,Customer_295,40.96,2025-11-08,Toys
149,Customer_408,108.98,2026-06-22,Electronics
150,Customer_926,192.29,2025-08-04,Toys
151,Customer_276,143.83,2026-02-09,Clothing
152,Customer_213,81.15,2026-07-14,Clothing
153,Customer_229,192.34,2025-12-05,Furniture
154,Customer_387,157.92,2025-12-28,Toys
155,Customer_989,72.5,2026-03-20,Furniture
156,Customer_125,483.98,2026-04-30,Toys
157,Customer_767,217.0,2026-03-11,Furniture
158,Customer_673,35.35,2025-11-08,Books
159,Customer_833,155.09,2026-02-11,Clothing
160,Customer_292,68.14,2026-07-29,Clothing
161,Customer_1,25.71,2026-07-03,Furniture
162,Customer_68,196.63,2026-06-16,Toys
163,Customer_146,187.12,2025-09-08,Clothing
164,Customer_807,290.26,2026-07-15,Books
165,Customer_280,457.68,2026-01-27,Furniture
166,Customer_321,493.91,2026-08-02,Furniture
167,Customer_753,220.27,2026-04-29,Clothing
168,Customer_258,471.72,2026-02-09,Clothing
169,Customer_287,471.27,2026-07-16,Furniture
170,Customer_313,397.57,2026-01-17,Furniture
171,Customer_155,272.54,2025-12-25,Clothing
172,Customer_469,248.76,2026-01-15,Clothing
173,Customer_745,67.2,2025-11-04,Electronics
174,Customer_129,120.81,2025-08-18,Electronics
175,Customer_869,466.38,2026-02-08,Toys
176,Customer_256,89.21,2026-02-26,Furniture
177,Customer_343,191.56,2026-04-30,Toys
178,Customer_198,412.4,2025-10-23,Books
179,Customer_102,290.75,2026-03-06,Toys
180,Customer_346,24.04,2025-09-21,Furniture
181,Customer_321,479.93,2025-11-01,Clothing
182,Customer_929,499.41,2026-03-30,Furniture
183,Customer_743,199.0,2026-07-23,Books
184,Customer_40,31.4,2026-07-23,Toys
185,Customer_65,198.57,2025-11-26,Books
186,Customer_698,133.28,2025-08-13,Clothing
187,Customer_803,368.21,2026-06-29,Books
188,Customer_369,355.06,2026-06-23,Clothing
189,Customer_487,24.98,2025-09-16,Clothing
190,Customer_468,293.77,2026-05-19,Toys
191,Customer_716,204.02,2026-03-28,Clothing
192,Customer_866,478.72,2026-04-10,Electronics
193,Customer_52,377.43,2025-11-21,Clothing
194,Customer_450,240.73,2026-06-15,Clothing
195,Customer_908,212.63,2025-08-25,Clothing
196,Customer_662,428.67,2025-10-10,Furniture
197,Customer_679,170.57,2026-01-26,Books
198,Customer_351,240.95,2026-02-24,Electronics
199,Customer_926,142.56,2025-08-26,Electronics
200,Customer_683,228.25,2025-12-22,Electronics
201,Customer_825,104.58,2025-09-12,Toys
202,Customer_819,419.97,2026-05-16,Books
203,Customer_103,293.95,2025-11-13,Toys
204,Customer_986,219.26,2026-02-07,Clothing
205,Customer_973,313.76,2025-12-02,Furniture
206,Customer_170,103.75,2026-01-04,Furniture
207,Customer_180,402.83,2026-01-22,Toys
208,Customer_629,203.73,2026-05-01,Furniture
209,Customer_736,249.87,2025-11-22,Electronics
210,Customer_687,175.6,2025-08-11,Toys
211,Customer_562,30.28,2025-08-14,Electronics
212,Customer_38,112.99,2026-01-18,Books
213,Customer_537,62.27,2025-12-19,Toys
214,Customer_737,398.49,2026-06-13,Clothing
215,Customer_29,296.25,2026-07-21,Books
216,Customer_743,473.15,2026-07-07,Furniture
217,Customer_161,430.69,2025-09-21,Toys
218,Customer_563,148.9,2025-11-25,Toys
219,Customer_18,44.33,2026-07-22,Toys
220,Customer_59,88.03,2026-02-26,Toys
221,Customer_916,125.59,2025-09-14,Electronics
222,Customer_925,87.83,2026-05-01,Furniture
223,Customer_417,376.86,2026-05-11,Toys
224,Customer_775,415.79,2025-12-25,Toys
225,Customer_548,328.25,2025-11-28,Electronics
226,Customer_631,480.66,2025-10-23,Toys
227,Customer_61,391.16,2026-02-11,Furniture
228,Customer_365,193.58,2026-03-27,Books
229,Customer_768,43.13,2025-12-02,Clothing
230,Customer_128,494.48,2025-09-26,Toys
231,Customer_662,134.88,2026-06-10,Books
232,Customer_708,227.74,2025-12-30,Furniture
233,Customer_669,379.99,2026-02-07,Toys
234,Customer_507,440.19,2026-07-02,Books
235,Customer_94,206.53,2025-10-10,Furniture
236,Customer_565,340.93,2025-08-16,Furniture
