OrderID,CustomerName,Amount,Date,Category
1,Customer_160,477.53,2025-10-10,Books
2,Customer_728,217.62,2025-11-26,Clothing
3,Customer_750,393.0,2025-09-04,Electronics
4,Customer_191,114.66,2026-02-05,Furniture
5,Customer_7,353.86,2025-10-30,Books
6,Customer_503,11.58,2026-01-22,Furniture
7,Customer_557,185.87,2025-12-23,Clothing
8,Customer_756,490.56,2026-01-13,Toys
9,Customer_475,90.62,2026-03-10,Electronics
10,Customer_774,337.92,2026-03-18,Electronics
11,Customer_170,131.79,2025-09-01,Toys
12,Customer_998,248.35,2026-03-24,Furniture
13,Customer_307,148.97,2025-08-20,Books
14,Customer_449,297.33,2026-02-16,Toys
15,Customer_11,222.94,2026-03-04,Electronics
16,Customer_999,431.64,2025-08-28,Books
17,Customer_433,483.89,2025-11-12,Toys
18,Customer_672,331.83,2025-10-26,Furniture
19,Customer_494,63.9,2025-08-12,Toys
20,Customer_166,480.33,2025-12-06,Furniture
21,Customer_171,413.92,2026-05-26,Furniture
22,Customer_228,484.91,2026-04-06,Books
23,Customer_523,453.24,2025-11-16,Furniture
24,Customer_569,409.1,2025-08-26,Books
25,Customer_594,384.14,2026-01-12,Books
26,Customer_992,353.97,2025-10-31,Toys
27,Customer_960,146.07,2025-12-28,Electronics
28,Customer_188,221.76,2026-01-26,Clothing
29,Customer_433,271.77,2026-04-02,Toys
30,Customer_118,278.68,2025-12-02,Furniture
31,Customer_738,483.31,2026-03-27,Electronics
32,Customer_840,192.03,2025-09-29,Furniture
33,Customer_826,107.52,2025-08-27,Furniture
34,Customer_937,332.98,2026-08-01,Furniture
35,Customer_233,446.83,2026-06-14,Furniture
36,Customer_409,405.19,2026-02-07,Electronics
37,Customer_739,283.07,2026-01-03,Clothing
38,Customer_327,325.53,2025-11-04,Electronics
39,Customer_229,51.08,2026-05-15,Electronics
40,Customer_500,153.43,2026-03-19,Books
41,Customer_50,455.9,2026-05-10,Electronics
42,Customer_731,59.4,2026-02-02,Toys
43,Customer_175,459.98,2025-08-28,Books
44,Customer_423,411.61,2025-12-18,Toys
45,Customer_446,151.49,2026-05-15,Toys
46,Customer_276,195.61,2026-06-26,Electronics
47,Customer_219,222.35,2026-04-19,Electronics
48,Customer_602,342.83,2025-10-31,Books
49,Customer_434,382.61,2025-10-26,Clothing
50,Customer_242,434.66,2026-07-16,Clothing
51,Customer_435,438.2,2026-01-04,Electronics
52,Customer_19,258.89,2025-10-24,Furniture
53,Customer_866,30.15,2025-08-09,Books
54,Customer_964,392.4,2026-06-22,Furniture
55,Customer_741,354.79,2025-12-27,Electronics
56,Customer_508,479.41,2026-04-08,Furniture
57,Customer_612,355.71,2026-07-11,Toys
58,Customer_503,150.24,2026-04-26,Furniture
59,Customer_474,133.61,2026-02-02,Furniture
60,Customer_377,115.06,2025-10-26,Clothing
61,Customer_635,338.19,2025-09-02,Books
62,Customer_218,128.1,2025-10-13,Clothing
63,Customer_569,306.78,2025-08-15,Electronics
64,Customer_784,450.61,2026-01-28,Electronics
65,Customer_439,384.83,2025-11-04,Furniture
66,Customer_171,35.31,2025-09-03,Clothing
67,Customer_785,364.53,2026-02-19,Furniture
68,Customer_875,279.99,2025-09-06,Electronics
69,Customer_603,315.33,2025-12-19,Electronics
70,Customer_915,356.39,2026-05-24,Toys
71,Customer_89,44.19,2026-05-03,Electronics
72,Customer_115,18.32,2026-06-13,Toys
73,Customer_899,59.01,2026-08-01,Furniture
74,Customer_673,285.24,2026-03-03,Toys
75,Customer_904,86.31,2026-06-12,Books
76,Customer_877,452.61,2025-10-28,Books
77,Customer_962,138.3,2026-03-12,Books
78,Customer_169,335.09,2026-06-21,Toys
79,Customer_191,304.56,2026-05-02,Electronics
80,Customer_420,217.43,2025-12-01,Furniture
81,Customer_465,315.8,2025-08-22,Clothing
82,Customer_134,340.66,2026-04-08,Toys
83,Customer_933,149.73,2026-05-13,Toys
84,Customer_789,69.42,2025-10-31,Electronics
85,Customer_955,382.98,2025-10-01,Clothing
86,Customer_439,113.25,2025-10-23,Electronics
87,Customer_845,56.26,2025-08-10,Books
88,Customer_742,391.28,2025-09-19,Toys
89,Customer_769,218.47,2025-12-03,Clothing
90,Customer_746,130.21,2025-11-24,Toys
91,Customer_480,437.49,2025-09-25,Books
92,Customer_325,331.1,2026-07-20,Furniture
93,Customer_557,55.67,2025-11-08,Electronics
94,Customer_638,125.32,2026-02-20,Electronics
95,Customer_813,181.68,2025-10-25,Books
96,Customer_118,42.88,2025-12-10,Electronics
97,Customer_416,19.02,2025-10-03,Furniture
98,Customer_465,36.34,2026-01-24,Electronics
99,Customer_746,261.13,2025-09-06,Books
100,Customer_724,417.46,2025-11-27,Toys
101,Customer_340,488.87,2026-02-16,Furniture
102,Customer_565,143.18,2025-12-12,Books
103,Customer_672,489.66,2025-09-02,Clothing
104,Customer_264,52.06,2025-12-08,Electronics
105,Customer_490,331.46,2025-08-26,Toys
