OrderID,CustomerName,Amount,Date,Category
1,Customer_511,135.3,2026-02-25,Books
2,Customer_991,388.16,2026-07-21,Furniture
3,Customer_642,447.86,2026-02-19,Books
4,Customer_132,369.01,2025-11-28,Furniture
5,Customer_463,111.01,2026-02-06,Toys
6,Customer_49,324.15,2026-07-26,Furniture
7,Customer_940,51.04,2026-02-08,Furniture
8,Customer_817,258.52,2025-11-09,Clothing
9,Customer_785,55.08,2026-02-16,Toys
10,Customer_578,393.12,2026-03-19,Books
11,Customer_470,290.67,2026-02-18,Furniture
12,Customer_64,90.81,2026-04-09,Books
13,Customer_779,63.67,2026-05-21,Toys
14,Customer_687,215.68,2026-05-22,Electronics
15,Customer_366,83.69,2025-12-07,Clothing
16,Customer_754,289.83,2025-09-02,Clothing
17,Customer_122,30.31,2026-01-30,Clothing
18,Customer_671,473.66,2026-05-10,Books
19,Customer_231,472.36,2026-03-01,Electronics
20,Customer_326,304.63,2026-02-28,Books
21,Customer_575,101.04,2026-01-25,Clothing
22,Customer_156,446.46,2025-11-02,Books
23,Customer_452,199.04,2026-04-18,Books
24,Customer_406,381.64,2025-09-15,Electronics
25,Customer_648,89.01,2025-10-27,Electronics
26,Customer_965,35.55,2026-05-25,Electronics
27,Customer_177,272.44,2026-03-31,Electronics
28,Customer_609,330.69,2025-09-27,Toys
29,Customer_454,204.54,2025-11-27,Furniture
30,Customer_426,112.46,2025-08-17,Clothing
31,Customer_164,209.85,2025-12-31,Toys
32,Customer_883,92.42,2026-03-11,Toys
33,Customer_126,103.06,2026-02-17,Books
34,Customer_940,287.0,2026-07-14,Electronics
35,Customer_473,126.31,2026-03-16,Books
36,Customer_922,109.86,2025-08-19,Books
37,Customer_122,329.26,2026-07-02,Books
38,Customer_641,478.55,2026-06-08,Clothing
39,Customer_832,439.79,2026-04-29,Clothing
40,Customer_245,212.02,2025-11-16,Books
41,Customer_826,68.81,2026-01-28,Clothing
42,Customer_448,207.01,2026-05-02,Furniture
43,Customer_685,321.66,2025-10-21,Electronics
44,Customer_758,56.22,2026-06-09,Toys
45,Customer_678,215.5,2026-03-28,Toys
46,Customer_22,85.71,2025-10-21,Clothing
47,Customer_807,75.72,2026-05-12,Electronics
48,Customer_169,87.9,2026-05-30,Clothing
49,Customer_83,63.19,2026-07-31,Furniture
50,Customer_466,486.43,2026-06-08,Furniture
51,Customer_544,151.52,2026-01-06,Electronics
52,Customer_395,440.47,2026-02-16,Toys
53,Customer_754,415.0,2025-11-11,Toys
54,Customer_649,293.66,2026-02-21,Clothing
55,Customer_26,361.77,2026-03-31,Electronics
56,Customer_866,313.37,2026-01-31,Toys
57,Customer_537,67.45,2025-11-14,Books
58,Customer_236,271.92,2025-09-18,Books
59,Customer_24,483.96,2025-11-24,Electronics
60,Customer_926,364.97,2025-12-10,Electronics
61,Customer_373,440.08,2026-02-03,Toys
62,Customer_34,396.52,2025-09-09,Toys
63,Customer_121,374.39,2025-08-04,Furniture
64,Customer_232,349.87,2025-09-29,Clothing
65,Customer_147,475.13,2025-10-04,Toys
66,Customer_850,362.57,2026-04-25,Furniture
67,Customer_408,78.2,2026-06-21,Toys
68,Customer_308,76.19,2025-08-09,Furniture
69,Customer_316,383.69,2026-03-12,Clothing
70,Customer_180,286.75,2025-09-06,Furniture
71,Customer_116,18.83,2025-10-30,Electronics
72,Customer_889,48.9,2025-08-04,Clothing
73,Customer_925,380.99,2025-10-31,Electronics
74,Customer_399,79.72,2026-06-28,Toys
75,Customer_293,458.4,2026-03-13,Books
76,Customer_176,326.99,2026-04-03,Clothing
77,Customer_995,203.21,2026-01-01,Electronics
78,Customer_876,43.63,2026-03-15,Furniture
79,Customer_930,263.87,2025-11-05,Books
80,Customer_933,369.81,2026-06-21,Clothing
81,Customer_210,392.41,2026-04-22,Furniture
82,Customer_243,330.73,2026-07-20,Clothing
83,Customer_647,188.92,2025-11-19,Furniture
84,Customer_407,311.13,2026-07-07,Clothing
85,Customer_170,180.95,2025-11-11,Clothing
86,Customer_844,362.94,2026-04-14,Toys
87,Customer_526,211.14,2026-04-20,Toys
88,Customer_900,205.39,2026-06-01,Clothing
89,Customer_967,475.51,2026-01-11,Furniture
90,Customer_86,190.48,2025-10-22,Clothing
91,Customer_348,326.78,2025-10-25,Clothing
92,Customer_604,276.7,2026-04-13,Furniture
93,Customer_434,377.78,2026-01-31,Books
94,Customer_811,126.1,2026-06-13,Clothing
95,Customer_302,42.98,2026-01-21,Electronics
96,Customer_554,136.05,2026-07-08,Furniture
97,Customer_590,404.07,2025-11-08,Furniture
98,Customer_810,361.5,2025-10-03,Toys
99,Customer_823,494.86,2026-02-11,Toys
100,Customer_538,52.26,2026-07-06,Furniture
101,Customer_936,454.64,2025-09-05,Books
102,Customer_882,477.31,2025-08-15,Clothing
103,Customer_302,36.04,2026-01-11,Clothing
104,Customer_435,395.77,2026-06-06,Electronics
105,Customer_507,29.19,2026-05-13,Toys
106,Customer_106,164.54,2026-03-07,Furniture
107,Customer_932,348.99,2025-09-23,Electronics
108,Customer_183,324.95,2026-05-12,Clothing
109,Customer_921,265.83,2025-09-14,Furniture
110,Customer_893,222.84,2026-07-01,Books
111,Customer_776,258.64,2026-02-23,Books
112,Customer_383,236.48,2025-09-27,Clothing
113,Customer_771,183.44,2025-12-25,Toys
114,Customer_125,11.7,2025-12-14,Electronics
