OrderID,CustomerName,Amount,Date,Category
1,Customer_907,357.02,2026-05-09,Toys
2,Customer_574,197.6,2025-10-16,Books
3,Customer_392,274.06,2026-06-02,Toys
4,Customer_459,256.05,2025-12-29,Clothing
5,Customer_161,53.11,2025-11-19,Clothing
6,Customer_112,258.55,2025-10-23,Toys
7,Customer_826,294.72,2026-03-05,Furniture
8,Customer_5,279.27,2025-12-20,Books
9,Customer_423,442.66,2026-06-21,Toys
10,Customer_103,35.76,2025-10-23,Toys
11,Customer_399,217.91,2026-02-12,Furniture
12,Customer_953,346.7,2026-03-12,Toys
13,Customer_809,91.21,2026-06-25,Furniture
14,Customer_997,385.12,2025-09-22,Books
15,Customer_770,340.28,2026-03-22,Furniture
16,Customer_92,113.78,2025-10-03,Furniture
17,Customer_61,412.91,2025-11-01,Electronics
18,Customer_244,150.34,2026-07-19,Electronics
19,Customer_265,178.06,2026-05-18,Books
20,Customer_263,369.17,2026-06-08,Furniture
21,Customer_220,261.89,2026-08-02,Electronics
22,Customer_210,74.54,2026-02-19,Clothing
23,Customer_87,48.83,2026-05-12,Clothing
24,Customer_571,42.71,2025-12-15,Clothing
25,Customer_574,164.28,2025-11-21,Furniture
26,Customer_933,206.92,2026-03-14,Toys
27,Customer_486,88.24,2025-10-15,Books
28,Customer_810,60.08,2025-12-24,Furniture
29,Customer_512,240.21,2025-08-24,Electronics
30,Customer_756,336.37,2026-01-17,Books
31,Customer_46,420.18,2026-06-14,Furniture
32,Customer_272,266.07,2025-11-18,Toys
33,Customer_720,50.97,2025-10-14,Furniture
34,Customer_594,54.27,2026-06-17,Furniture
35,Customer_338,233.32,2026-08-02,Books
36,Customer_251,230.34,2025-10-07,Clothing
37,Customer_104,75.49,2026-06-14,Electronics
38,Customer_8,96.82,2026-02-02,Toys
39,Customer_734,487.01,2026-04-05,Furniture
40,Customer_970,422.72,2026-06-03,Books
41,Customer_862,331.88,2025-08-25,Electronics
42,Customer_163,182.35,2025-09-30,Toys
43,Customer_968,227.25,2026-05-14,Books
44,Customer_838,431.14,2025-12-07,Toys
45,Customer_488,90.74,2025-11-15,Books
46,Customer_948,257.12,2025-11-30,Toys
47,Customer_114,251.9,2026-06-04,Books
48,Customer_555,394.57,2026-02-03,Books
49,Customer_141,318.7,2025-11-10,Clothing
50,Customer_638,283.02,2025-09-06,Electronics
51,Customer_223,290.26,2026-04-21,Electronics
52,Customer_344,152.01,2026-02-08,Toys
53,Customer_265,375.75,2026-03-13,Electronics
54,Customer_981,410.56,2026-02-16,Clothing
