OrderID,CustomerName,Amount,Date,Category
1,Customer_316,296.45,2026-06-29,Toys
2,Customer_562,452.56,2026-04-15,Clothing
3,Customer_956,357.24,2025-12-16,Books
4,Customer_38,71.34,2025-12-29,Electronics
5,Customer_752,370.06,2025-08-09,Books
6,Customer_328,439.4,2026-02-07,Furniture
7,Customer_126,36.65,2026-03-30,Furniture
8,Customer_743,468.65,2026-07-17,Toys
9,Customer_397,261.2,2025-09-06,Furniture
10,Customer_4,153.67,2025-12-11,Furniture
11,Customer_593,41.16,2025-10-18,Furniture
12,Customer_959,469.48,2026-04-20,Books
13,Customer_278,303.86,2026-06-04,Clothing
14,Customer_875,28.77,2026-02-13,Furniture
15,Customer_586,461.32,2026-05-15,Furniture
16,Customer_342,281.69,2026-07-26,Electronics
17,Customer_111,158.82,2025-12-09,Books
18,Customer_394,224.28,2025-12-06,Toys
19,Customer_237,107.34,2026-02-11,Books
20,Customer_689,464.46,2026-02-28,Books
21,Customer_952,428.74,2026-04-19,Toys
22,Customer_29,160.97,2026-01-17,Books
23,Customer_641,462.2,2025-08-17,Books
24,Customer_89,339.95,2025-10-30,Electronics
25,Customer_868,220.58,2026-02-22,Furniture
26,Customer_965,233.83,2025-08-02,Furniture
27,Customer_857,347.3,2025-12-14,Toys
28,Customer_616,446.56,2026-07-24,Furniture
29,Customer_772,224.19,2026-06-12,Clothing
30,Customer_414,457.78,2025-10-27,Books
31,Customer_407,459.82,2026-06-29,Books
32,Customer_160,433.13,2026-06-25,Toys
33,Customer_238,191.97,2026-05-19,Furniture
34,Customer_586,478.6,2025-08-06,Books
35,Customer_916,380.65,2025-10-30,Furniture
36,Customer_763,69.98,2026-06-18,Furniture
37,Customer_785,106.58,2026-03-07,Clothing
38,Customer_723,129.17,2025-12-19,Furniture
39,Customer_648,368.93,2025-11-13,Furniture
40,Customer_596,476.72,2025-08-24,Furniture
41,Customer_885,497.6,2026-02-10,Clothing
42,Customer_936,70.15,2026-04-04,Electronics
