OrderID,CustomerName,Amount,Date,Category
1,Customer_529,261.43,2025-09-09,Furniture
2,Customer_700,436.11,2025-11-02,Books
3,Customer_592,436.39,2025-08-12,Electronics
4,Customer_563,201.38,2026-01-22,Electronics
5,Customer_34,78.22,2025-11-10,Furniture
6,Customer_782,54.51,2026-01-19,Books
7,Customer_765,32.18,2026-07-23,Furniture
8,Customer_558,273.78,2026-07-10,Books
9,Customer_609,493.69,2026-03-19,Clothing
10,Customer_32,472.1,2026-04-03,Furniture
11,Customer_716,188.95,2025-12-18,Furniture
12,Customer_651,22.28,2025-08-20,Books
13,Customer_881,176.57,2026-05-29,Toys
14,Customer_903,286.66,2025-10-31,Electronics
15,Customer_250,302.92,2026-04-29,Clothing
16,Customer_699,452.06,2025-10-01,Books
17,Customer_568,458.65,2026-03-05,Electronics
18,Customer_412,24.86,2026-04-07,Electronics
19,Customer_842,206.35,2025-11-04,Clothing
20,Customer_992,221.52,2025-11-20,Electronics
21,Customer_993,37.94,2026-03-24,Furniture
22,Customer_328,223.45,2025-12-28,Clothing
23,Customer_24,70.67,2025-08-22,Furniture
24,Customer_128,164.14,2026-05-27,Electronics
25,Customer_220,451.24,2026-01-15,Furniture
26,Customer_605,499.32,2026-01-22,Clothing
27,Customer_664,324.64,2025-08-23,Electronics
28,Customer_995,78.55,2025-09-28,Electronics
29,Customer_315,88.5,2026-05-30,Toys
30,Customer_16,291.34,2025-09-07,Furniture
31,Customer_461,15.24,2025-09-09,Clothing
32,Customer_815,259.21,2026-02-05,Books
33,Customer_746,305.46,2025-10-16,Books
34,Customer_4,68.92,2025-09-02,Electronics
35,Customer_836,389.91,2026-04-23,Clothing
36,Customer_165,94.71,2026-02-26,Electronics
37,Customer_733,393.86,2025-11-12,Electronics
38,Customer_411,25.95,2025-09-04,Clothing
39,Customer_583,131.28,2026-07-26,Clothing
40,Customer_937,496.66,2026-07-20,Books
41,Customer_688,426.69,2026-01-01,Clothing
42,Customer_223,302.69,2025-11-21,Clothing
43,Customer_679,311.83,2026-05-20,Electronics
44,Customer_642,108.01,2026-06-14,Clothing
45,Customer_521,289.64,2026-04-11,Toys
46,Customer_285,81.54,2026-07-05,Toys
47,Customer_728,294.31,2026-06-05,Furniture
48,Customer_211,341.53,2025-08-04,Clothing
49,Customer_630,395.57,2025-10-25,Toys
50,Customer_287,487.57,2026-06-07,Furniture
