OrderID,CustomerName,Amount,Date,Category
1,Customer_441,211.01,2026-07-10,Furniture
2,Customer_393,362.82,2025-11-09,Furniture
3,Customer_509,417.2,2025-10-08,Electronics
4,Customer_275,224.73,2025-11-20,Books
5,Customer_654,37.59,2026-02-21,Clothing
6,Customer_955,259.43,2025-12-14,Electronics
7,Customer_472,464.71,2026-02-16,Toys
8,Customer_955,395.45,2026-05-17,Books
9,Customer_172,181.97,2026-02-19,Toys
10,Customer_758,414.22,2026-04-17,Furniture
11,Customer_303,148.62,2025-11-09,Clothing
12,Customer_679,438.37,2026-02-09,Electronics
13,Customer_731,421.46,2025-09-11,Clothing
14,Customer_644,487.6,2025-12-28,Furniture
15,Customer_571,344.36,2025-09-26,Toys
16,Customer_715,394.21,2025-08-11,Furniture
17,Customer_328,154.23,2025-12-18,Toys
18,Customer_561,490.66,2025-12-02,Furniture
19,Customer_29,149.03,2026-03-01,Furniture
20,Customer_943,144.65,2025-12-08,Books
21,Customer_752,318.86,2026-07-06,Toys
22,Customer_846,430.8,2026-06-02,Books
23,Customer_421,11.25,2025-09-09,Furniture
24,Customer_717,328.27,2026-04-01,Clothing
25,Customer_269,118.91,2026-04-16,Books
26,Customer_318,484.3,2025-10-29,Furniture
27,Customer_106,216.37,2026-01-10,Toys
28,Customer_977,225.98,2026-07-26,Toys
29,Customer_919,444.52,2025-09-29,Clothing
30,Customer_957,41.92,2026-07-16,Books
31,Customer_459,477.52,2026-03-06,Clothing
32,Customer_451,328.78,2026-03-02,Electronics
33,Customer_253,65.08,2026-06-18,Furniture
34,Customer_603,450.29,2026-01-20,Books
35,Customer_268,143.4,2026-03-04,Toys
36,Customer_776,20.53,2025-08-08,Clothing
37,Customer_630,85.94,2025-10-04,Clothing
38,Customer_508,163.82,2026-04-16,Toys
39,Customer_920,402.87,2025-11-19,Books
40,Customer_55,342.53,2026-04-25,Clothing
41,Customer_74,430.05,2026-06-27,Electronics
42,Customer_737,325.83,2025-10-17,Clothing
43,Customer_785,457.11,2026-06-20,Toys
44,Customer_39,80.85,2025-11-02,Books
45,Customer_262,91.12,2026-05-21,Toys
46,Customer_229,273.87,2025-12-29,Electronics
47,Customer_807,116.99,2026-07-04,Electronics
48,Customer_477,21.53,2026-02-03,Clothing
49,Customer_156,82.99,2026-03-04,Electronics
50,Customer_612,391.19,2025-10-21,Furniture
51,Customer_980,279.2,2026-01-17,Electronics
52,Customer_647,51.82,2025-12-04,Books
53,Customer_565,297.27,2026-07-16,Clothing
54,Customer_830,209.33,2026-04-02,Books
55,Customer_796,499.46,2025-10-17,Furniture
56,Customer_502,210.31,2026-05-30,Electronics
57,Customer_679,154.21,2026-07-27,Furniture
58,Customer_942,307.75,2025-11-28,Clothing
59,Customer_158,428.49,2025-09-02,Toys
60,Customer_76,383.7,2026-07-30,Books
61,Customer_950,351.67,2026-04-25,Electronics
62,Customer_36,95.31,2026-02-09,Clothing
63,Customer_689,258.64,2025-08-23,Books
64,Customer_219,77.39,2026-04-09,Books
65,Customer_185,109.09,2026-02-04,Electronics
66,Customer_837,411.5,2026-05-15,Toys
67,Customer_936,435.22,2026-03-06,Clothing
68,Customer_464,493.2,2026-04-08,Clothing
69,Customer_796,478.57,2026-05-23,Furniture
70,Customer_87,109.61,2025-12-31,Clothing
71,Customer_844,214.74,2026-01-25,Toys
72,Customer_505,163.55,2026-02-22,Electronics
73,Customer_283,29.73,2026-07-23,Books
74,Customer_20,114.15,2026-04-14,Electronics
75,Customer_625,333.67,2026-01-17,Books
76,Customer_659,260.55,2026-05-06,Clothing
77,Customer_929,330.08,2025-12-01,Electronics
78,Customer_341,382.26,2026-01-06,Clothing
79,Customer_514,480.4,2026-05-24,Books
80,Customer_485,271.66,2025-11-14,Furniture
81,Customer_972,319.93,2025-11-24,Furniture
82,Customer_621,37.92,2025-08-08,Clothing
83,Customer_123,207.8,2025-12-25,Furniture
84,Customer_785,317.84,2026-02-14,Furniture
85,Customer_360,377.67,2026-07-27,Toys
86,Customer_403,242.18,2025-09-08,Furniture
87,Customer_592,383.26,2026-04-14,Electronics
88,Customer_7,384.6,2025-12-21,Furniture
89,Customer_759,73.22,2026-06-28,Clothing
90,Customer_622,237.23,2026-04-05,Clothing
91,Customer_416,222.21,2025-11-18,Electronics
92,Customer_476,476.23,2026-08-02,Toys
93,Customer_536,305.5,2026-05-06,Electronics
94,Customer_644,236.87,2026-06-18,Toys
95,Customer_326,220.24,2026-01-28,Furniture
96,Customer_923,54.79,2025-11-29,Furniture
97,Customer_944,59.46,2026-04-29,Books
98,Customer_176,332.43,2026-07-14,Clothing
99,Customer_153,318.19,2026-01-24,Toys
100,Customer_950,181.43,2025-09-12,Books
101,Customer_485,233.3,2026-06-04,Toys
102,Customer_242,395.34,2026-03-22,Electronics
103,Customer_224,476.05,2025-10-10,Books
104,Customer_675,85.16,2025-09-15,Books
105,Customer_904,449.32,2026-04-04,Books
106,Customer_107,484.76,2025-12-17,Furniture
107,Customer_635,297.55,2025-11-08,Books
108,Customer_481,426.75,2026-07-27,Clothing
109,Customer_992,220.45,2026-02-21,Furniture
110,Customer_339,370.98,2026-04-26,Toys
111,Customer_255,463.38,2025-11-14,Books
112,Customer_839,317.91,2026-01-05,Electronics
113,Customer_164,437.64,2025-09-04,Toys
114,Customer_747,305.93,2025-11-12,Furniture
115,Customer_765,254.16,2026-02-21,Furniture
116,Customer_912,431.14,2026-05-15,Clothing
117,Customer_708,195.45,2025-10-31,Furniture
118,Customer_64,445.54,2025-09-02,Clothing
119,Customer_454,415.67,2025-10-20,Electronics
120,Customer_917,460.47,2026-04-26,Furniture
121,Customer_247,161.4,2026-01-16,Books
122,Customer_23,484.6,2025-10-05,Clothing
123,Customer_993,268.23,2026-03-01,Furniture
124,Customer_530,446.29,2026-01-05,Electronics
125,Customer_600,355.92,2026-06-22,Books
126,Customer_960,241.01,2025-08-25,Furniture
127,Customer_288,45.38,2025-08-11,Toys
128,Customer_444,256.54,2026-03-02,Electronics
129,Customer_964,174.41,2026-07-11,Electronics
130,Customer_275,197.4,2025-11-09,Books
131,Customer_281,420.48,2026-03-02,Books
132,Customer_707,370.01,2026-02-18,Books
133,Customer_39,41.98,2026-07-07,Electronics
134,Customer_288,381.4,2026-03-21,Clothing
135,Customer_675,166.14,2025-08-02,Furniture
136,Customer_329,109.64,2026-06-18,Clothing
137,Customer_981,260.01,2025-12-04,Books
138,Customer_406,67.01,2026-01-06,Clothing
139,Customer_282,353.83,2025-11-27,Toys
140,Customer_877,425.47,2026-01-07,Electronics
141,Customer_587,172.51,2026-05-28,Electronics
142,Customer_479,478.89,2026-04-01,Furniture
143,Customer_435,475.57,2025-08-20,Toys
144,Customer_192,385.29,2026-03-07,Toys
145,Customer_335,349.1,2026-02-09,Books
146,Customer_350,239.27,2026-03-15,Electronics
147,Customer_601,305.7,2025-12-15,Books
148,Customer_168,252.32,2025-12-07,Furniture
149,Customer_171,494.94,2026-02-08,Clothing
150,Customer_49,74.76,2026-01-03,Books
151,Customer_743,321.07,2025-11-19,Electronics
152,Customer_928,120.95,2026-02-02,Books
153,Customer_210,432.25,2026-07-18,Toys
154,Customer_859,287.77,2026-02-20,Toys
155,Customer_936,96.38,2025-11-13,Books
156,Customer_561,208.46,2025-10-15,Toys
157,Customer_973,275.14,2026-03-03,Books
158,Customer_141,394.73,2026-04-22,Furniture
159,Customer_870,473.54,2026-07-19,Electronics
160,Customer_764,392.0,2026-07-14,Electronics
161,Customer_426,354.41,2025-10-06,Clothing
162,Customer_675,437.06,2026-02-01,Books
163,Customer_776,355.69,2026-05-23,Toys
164,Customer_25,202.71,2026-01-18,Clothing
165,Customer_402,358.93,2025-11-07,Furniture
166,Customer_912,432.39,2025-08-02,Clothing
167,Customer_612,412.15,2025-09-01,Furniture
168,Customer_673,231.06,2026-01-21,Clothing
169,Customer_917,440.2,2026-04-15,Electronics
170,Customer_223,424.35,2025-08-08,Clothing
171,Customer_454,345.13,2026-02-25,Books
172,Customer_484,440.72,2026-04-27,Furniture
173,Customer_44,320.11,2026-04-28,Clothing
174,Customer_516,178.67,2025-08-17,Clothing
175,Customer_653,447.04,2025-09-18,Toys
176,Customer_335,307.97,2026-04-23,Furniture
177,Customer_741,347.22,2025-09-15,Electronics
178,Customer_117,284.75,2026-05-08,Toys
179,Customer_601,19.88,2026-01-16,Books
180,Customer_302,499.75,2026-06-14,Clothing
181,Customer_76,264.5,2026-05-06,Toys
182,Customer_515,461.16,2026-04-11,Toys
183,Customer_793,160.55,2026-06-10,Electronics
184,Customer_721,210.65,2025-11-06,Toys
185,Customer_426,281.65,2025-11-20,Toys
186,Customer_200,168.38,2026-03-11,Electronics
187,Customer_95,303.5,2026-07-12,Clothing
188,Customer_641,210.73,2026-04-11,Books
189,Customer_36,427.51,2026-07-17,Toys
190,Customer_422,473.44,2026-07-22,Electronics
191,Customer_12,391.5,2026-02-13,Toys
192,Customer_80,272.84,2026-02-01,Toys
193,Customer_305,427.83,2025-12-20,Toys
194,Customer_604,292.15,2025-10-19,Electronics
195,Customer_574,166.08,2026-02-02,Furniture
196,Customer_382,349.34,2026-06-20,Books
197,Customer_249,142.03,2026-04-29,Electronics
198,Customer_275,325.6,2026-06-30,Electronics
199,Customer_251,248.38,2026-02-10,Electronics
200,Customer_358,59.79,2025-11-12,Clothing
201,Customer_440,161.91,2025-08-10,Furniture
202,Customer_157,435.85,2025-08-17,Electronics
203,Customer_919,322.69,2025-11-24,Clothing
204,Customer_85,289.58,2025-11-14,Toys
205,Customer_727,86.51,2026-06-07,Books
206,Customer_479,363.84,2026-06-30,Toys
207,Customer_222,127.81,2025-12-04,Clothing
208,Customer_40,183.94,2025-10-19,Toys
209,Customer_798,407.12,2026-05-06,Toys
210,Customer_876,466.24,2025-10-26,Toys
211,Customer_425,334.21,2026-01-28,Clothing
212,Customer_893,111.08,2026-03-05,Toys
213,Customer_242,327.65,2025-09-14,Electronics
214,Customer_355,420.65,2025-11-29,Toys
215,Customer_442,352.75,2026-01-09,Furniture
216,Customer_459,486.21,2025-12-14,Books
217,Customer_879,219.1,2025-10-18,Electronics
218,Customer_523,145.38,2025-10-21,Clothing
219,Customer_962,449.14,2026-02-06,Electronics
220,Customer_669,81.63,2026-04-17,Clothing
221,Customer_343,143.0,2025-10-27,Electronics
222,Customer_188,295.31,2025-10-21,Clothing
223,Customer_298,99.26,2026-03-24,Toys
224,Customer_465,446.32,2025-11-10,Furniture
225,Customer_587,287.26,2026-03-28,Furniture
226,Customer_908,347.87,2025-08-09,Toys
227,Customer_47,445.94,2025-12-07,Furniture
228,Customer_577,290.75,2025-12-13,Toys
229,Customer_93,268.78,2025-08-25,Electronics
230,Customer_279,76.0,2026-04-13,Books
231,Customer_122,101.02,2026-03-26,Toys
232,Customer_676,280.47,2026-07-14,Toys
233,Customer_923,67.25,2025-08-08,Books
234,Customer_827,424.19,2026-02-13,Clothing
235,Customer_249,308.37,2025-10-03,Furniture
236,Customer_489,204.73,2025-10-30,Clothing
237,Customer_620,127.32,2026-02-26,Electronics
238,Customer_42,41.88,2025-11-21,Books
239,Customer_370,39.12,2025-09-28,Books
240,Customer_307,48.96,2025-11-25,Toys
241,Customer_59,142.27,2026-07-03,Toys
242,Customer_604,496.66,2025-12-11,Clothing
243,Customer_802,277.74,2026-04-14,Furniture
244,Customer_524,244.89,2026-04-18,Clothing
245,Customer_644,181.83,2026-05-28,Clothing
246,Customer_357,355.12,2025-09-14,Electronics
247,Customer_316,166.57,2026-05-30,Books
248,Customer_979,91.38,2025-12-21,Electronics
249,Customer_117,241.28,2025-11-21,Books
250,Customer_525,209.57,2025-08-27,Clothing
251,Customer_153,55.89,2025-10-26,Books
252,Customer_875,52.35,2025-09-03,Clothing
253,Customer_66,200.53,2026-07-04,Toys
254,Customer_126,360.41,2025-08-13,Clothing
255,Customer_928,379.95,2025-09-02,Furniture
256,Customer_331,289.67,2025-12-08,Toys
257,Customer_859,407.29,2026-02-22,Toys
258,Customer_217,162.0,2026-03-03,Furniture
259,Customer_251,360.27,2025-09-02,Clothing
260,Customer_407,138.48,2026-07-25,Books
261,Customer_568,499.14,2026-03-11,Clothing
262,Customer_724,165.36,2025-08-27,Electronics
263,Customer_376,451.36,2026-01-01,Clothing
264,Customer_654,283.17,2026-07-15,Books
265,Customer_923,144.23,2026-07-09,Toys
266,Customer_497,397.23,2026-06-29,Toys
267,Customer_723,408.98,2025-10-05,Toys
268,Customer_224,457.67,2026-02-09,Clothing
269,Customer_460,288.53,2025-08-19,Books
270,Customer_753,372.7,2025-10-24,Furniture
271,Customer_404,316.61,2026-04-09,Toys
272,Customer_604,139.12,2026-03-04,Books
273,Customer_888,488.77,2026-07-11,Clothing
274,Customer_535,490.41,2026-06-28,Electronics
275,Customer_864,145.59,2026-03-01,Clothing
276,Customer_512,225.96,2026-03-30,Toys
277,Customer_138,205.09,2026-04-04,Toys
278,Customer_67,339.2,2025-09-08,Clothing
279,Customer_67,218.46,2025-08-10,Electronics
280,Customer_708,423.48,2025-10-16,Electronics
281,Customer_716,488.64,2026-04-19,Electronics
282,Customer_625,49.42,2025-12-02,Books
283,Customer_895,260.8,2025-08-12,Electronics
284,Customer_349,394.06,2026-06-23,Clothing
285,Customer_622,71.5,2025-11-25,Electronics
286,Customer_321,354.52,2026-05-29,Furniture
287,Customer_374,142.8,2025-08-12,Clothing
288,Customer_246,171.54,2025-10-07,Electronics
289,Customer_453,48.0,2025-12-14,Furniture
290,Customer_51,165.26,2026-01-10,Clothing
291,Customer_910,363.8,2025-09-07,Electronics
292,Customer_488,40.34,2026-07-21,Books
293,Customer_998,38.12,2026-07-13,Furniture
294,Customer_576,331.57,2026-04-12,Books
295,Customer_149,182.25,2026-04-11,Clothing
296,Customer_501,331.18,2025-08-12,Toys
297,Customer_886,331.33,2026-01-30,Books
298,Customer_592,445.78,2025-09-30,Furniture
299,Customer_107,410.67,2025-12-05,Toys
300,Customer_961,158.57,2025-10-06,Toys
301,Customer_563,44.45,2026-04-16,Clothing
302,Customer_724,125.27,2026-01-01,Furniture
303,Customer_259,158.88,2026-05-09,Books
304,Customer_348,421.11,2025-10-14,Clothing
305,Customer_94,376.68,2025-08-22,Books
306,Customer_377,244.36,2025-10-11,Furniture
307,Customer_406,312.27,2026-02-08,Toys
308,Customer_363,325.85,2025-12-12,Furniture
309,Customer_72,302.42,2025-11-04,Electronics
310,Customer_195,246.86,2026-01-22,Furniture
311,Customer_477,28.09,2025-11-18,Toys
312,Customer_96,56.21,2026-03-25,Furniture
313,Customer_681,209.61,2026-01-03,Furniture
314,Customer_70,436.05,2025-12-22,Furniture
315,Customer_45,465.21,2025-11-15,Books
316,Customer_386,175.96,2025-09-22,Electronics
317,Customer_632,489.03,2026-05-12,Books
318,Customer_722,85.61,2025-12-18,Clothing
319,Customer_564,272.84,2026-04-03,Electronics
320,Customer_676,53.81,2025-08-25,Books
321,Customer_783,23.11,2025-08-15,Toys
322,Customer_840,226.36,2026-06-27,Books
323,Customer_234,409.81,2025-10-23,Toys
324,Customer_188,394.68,2026-03-01,Furniture
325,Customer_348,387.51,2026-03-29,Electronics
326,Customer_433,450.41,2026-02-01,Electronics
327,Customer_974,307.4,2026-01-20,Furniture
328,Customer_745,101.43,2025-08-04,Toys
329,Customer_654,400.31,2026-06-18,Electronics
330,Customer_140,205.07,2026-08-01,Clothing
331,Customer_787,136.94,2025-10-23,Clothing
332,Customer_282,139.43,2025-12-22,Books
333,Customer_437,274.59,2025-08-04,Clothing
334,Customer_148,290.43,2026-03-20,Clothing
335,Customer_338,402.46,2026-03-21,Clothing
336,Customer_686,44.58,2026-03-09,Toys
337,Customer_825,27.36,2026-02-14,Clothing
338,Customer_152,386.78,2026-05-03,Furniture
339,Customer_412,38.22,2025-10-05,Clothing
340,Customer_302,146.89,2026-04-25,Furniture
341,Customer_884,402.84,2025-09-24,Clothing
342,Customer_275,475.14,2026-04-21,Toys
343,Customer_224,123.46,2025-11-21,Furniture
344,Customer_855,497.87,2025-11-08,Clothing
345,Customer_443,197.91,2026-03-18,Furniture
346,Customer_217,406.73,2025-12-22,Toys
347,Customer_339,279.85,2026-06-27,Electronics
348,Customer_431,34.18,2026-07-14,Clothing
349,Customer_433,43.45,2026-03-03,Electronics
350,Customer_848,230.48,2025-11-24,Furniture
351,Customer_345,114.5,2026-01-07,Toys
352,Customer_526,335.2,2025-09-03,Books
353,Customer_814,244.65,2025-12-16,Furniture
354,Customer_584,252.93,2025-08-05,Books
355,Customer_594,11.1,2026-07-04,Books
356,Customer_787,91.37,2026-03-29,Clothing
357,Customer_54,315.87,2026-07-26,Books
358,Customer_465,486.95,2026-04-27,Toys
359,Customer_136,175.98,2026-07-14,Clothing
360,Customer_382,296.99,2026-01-08,Electronics
361,Customer_171,232.37,2026-03-15,Books
362,Customer_73,432.37,2025-12-06,Clothing
363,Customer_256,167.46,2026-07-24,Books
364,Customer_354,350.16,2026-07-11,Furniture
365,Customer_412,453.34,2026-01-12,Books
366,Customer_429,497.57,2025-08-28,Clothing
367,Customer_955,367.16,2026-03-14,Books
368,Customer_177,217.54,2026-02-15,Toys
369,Customer_466,125.63,2025-09-10,Electronics
370,Customer_307,231.8,2026-01-01,Clothing
371,Customer_150,236.06,2025-08-05,Electronics
372,Customer_635,55.61,2026-01-02,Electronics
373,Customer_530,382.79,2025-08-11,Electronics
374,Customer_876,431.61,2026-06-15,Clothing
375,Customer_817,27.01,2026-04-16,Electronics
376,Customer_24,120.22,2026-05-17,Toys
377,Customer_861,27.41,2025-09-18,Electronics
378,Customer_729,243.13,2025-12-23,Toys
379,Customer_532,354.17,2026-01-28,Toys
380,Customer_768,113.55,2025-09-18,Clothing
381,Customer_792,57.66,2026-06-04,Toys
382,Customer_450,123.52,2026-07-28,Electronics
383,Customer_145,498.12,2026-06-07,Electronics
384,Customer_454,215.67,2026-03-22,Furniture
385,Customer_265,290.16,2026-02-10,Toys
386,Customer_7,197.63,2025-12-11,Clothing
387,Customer_552,382.83,2025-09-01,Furniture
388,Customer_987,102.83,2026-01-03,Furniture
389,Customer_235,337.5,2026-01-27,Furniture
390,Customer_257,210.26,2026-07-08,Clothing
391,Customer_329,41.29,2026-07-12,Furniture
392,Customer_815,378.48,2026-06-29,Clothing
393,Customer_809,305.66,2026-04-02,Clothing
394,Customer_20,300.02,2026-05-20,Electronics
395,Customer_927,445.11,2026-05-30,Furniture
396,Customer_272,254.11,2026-05-25,Electronics
397,Customer_144,63.81,2025-10-12,Toys
398,Customer_363,435.36,2025-12-06,Clothing
399,Customer_94,417.83,2026-07-02,Toys
400,Customer_548,346.45,2025-10-18,Books
401,Customer_939,280.51,2026-07-02,Electronics
402,Customer_63,122.08,2026-07-09,Books
403,Customer_191,469.49,2026-05-27,Electronics
404,Customer_862,420.29,2026-01-31,Toys
405,Customer_681,446.97,2025-08-23,Books
406,Customer_487,156.22,2025-08-09,Books
407,Customer_873,201.58,2026-06-27,Electronics
408,Customer_645,66.81,2026-06-16,Toys
409,Customer_575,406.39,2025-08-23,Books
410,Customer_196,180.16,2026-03-14,Electronics
411,Customer_32,275.15,2026-03-18,Furniture
412,Customer_958,16.57,2026-06-21,Electronics
413,Customer_667,341.4,2026-03-18,Toys
414,Customer_214,133.53,2025-08-25,Electronics
415,Customer_805,419.39,2026-05-16,Furniture
416,Customer_904,271.41,2026-07-27,Toys
417,Customer_75,198.07,2026-06-18,Furniture
418,Customer_360,384.15,2026-01-28,Clothing
419,Customer_103,119.8,2025-08-16,Toys
420,Customer_589,424.91,2026-03-04,Toys
421,Customer_370,73.77,2026-01-07,Furniture
422,Customer_554,33.05,2026-04-06,Furniture
423,Customer_871,326.39,2026-03-01,Books
424,Customer_962,391.38,2026-05-27,Toys
425,Customer_492,270.21,2025-11-13,Clothing
426,Customer_392,160.48,2025-12-18,Furniture
427,Customer_737,142.74,2026-01-13,Clothing
428,Customer_964,335.68,2025-12-23,Toys
429,Customer_948,137.47,2026-05-15,Electronics
430,Customer_696,171.7,2026-01-08,Books
431,Customer_798,320.13,2025-11-29,Furniture
432,Customer_313,272.78,2026-07-05,Toys
433,Customer_645,383.15,2026-04-06,Electronics
434,Customer_503,205.44,2026-01-14,Clothing
435,Customer_884,163.2,2026-04-06,Books
436,Customer_176,456.25,2025-12-22,Books
437,Customer_607,322.95,2026-02-03,Electronics
438,Customer_227,436.41,2026-01-17,Electronics
439,Customer_820,444.67,2026-05-23,Furniture
440,Customer_802,285.37,2026-07-26,Furniture
441,Customer_192,107.6,2026-03-16,Books
442,Customer_64,310.33,2025-11-07,Electronics
443,Customer_345,351.02,2025-09-10,Toys
444,Customer_596,300.34,2026-05-04,Clothing
445,Customer_881,138.05,2026-04-10,Electronics
446,Customer_941,264.79,2025-12-22,Electronics
447,Customer_582,272.48,2026-04-07,Books
448,Customer_573,126.95,2025-11-16,Electronics
449,Customer_724,89.31,2026-06-06,Clothing
450,Customer_945,287.09,2026-03-06,Books
451,Customer_546,186.64,2026-03-25,Electronics
452,Customer_519,44.38,2026-07-29,Clothing
453,Customer_661,112.26,2026-06-13,Toys
454,Customer_79,235.41,2025-10-14,Books
455,Customer_778,149.96,2026-06-25,Clothing
456,Customer_667,160.31,2026-07-21,Electronics
457,Customer_303,295.12,2026-05-23,Clothing
458,Customer_184,152.26,2026-02-28,Toys
459,Customer_525,187.41,2025-11-15,Furniture
460,Customer_93,76.76,2025-09-18,Books
461,Customer_447,360.86,2026-04-04,Electronics
462,Customer_777,68.82,2025-12-21,Toys
463,Customer_531,249.89,2026-06-28,Electronics
464,Customer_564,62.02,2026-03-04,Clothing
465,Customer_117,488.2,2025-08-08,Electronics
466,Customer_121,25.91,2026-07-05,Books
467,Customer_184,15.74,2026-01-21,Clothing
468,Customer_88,246.16,2025-12-01,Furniture
469,Customer_598,430.26,2026-06-06,Books
470,Customer_702,187.15,2026-04-30,Books
471,Customer_968,100.33,2026-05-20,Clothing
472,Customer_130,427.99,2026-06-20,Furniture
473,Customer_8,358.74,2025-11-06,Books
474,Customer_88,60.13,2026-03-13,Electronics
475,Customer_860,440.83,2025-08-05,Clothing
476,Customer_158,20.71,2026-06-05,Electronics
477,Customer_624,186.78,2025-12-08,Electronics
478,Customer_878,96.05,2026-05-10,Toys
479,Customer_21,247.06,2026-07-10,Electronics
480,Customer_672,192.56,2026-07-20,Books
481,Customer_66,339.32,2026-04-23,Books
482,Customer_623,135.38,2026-07-08,Furniture
483,Customer_758,358.93,2026-03-21,Furniture
484,Customer_318,142.45,2025-12-18,Books
485,Customer_150,459.18,2026-08-01,Toys
486,Customer_712,451.02,2026-03-04,Electronics
487,Customer_961,483.73,2025-09-18,Clothing
488,Customer_698,174.74,2025-11-11,Furniture
489,Customer_890,73.54,2025-12-24,Books
490,Customer_940,73.58,2026-05-20,Furniture
491,Customer_117,58.48,2025-09-28,Electronics
492,Customer_1,188.14,2025-10-31,Clothing
493,Customer_602,446.02,2026-03-16,Toys
494,Customer_250,365.63,2025-09-03,Toys
495,Customer_764,273.86,2025-11-19,Furniture
496,Customer_492,466.4,2025-11-10,Books
497,Customer_629,178.87,2026-01-05,Toys
498,Customer_111,12.94,2025-11-24,Electronics
499,Customer_704,257.22,2025-08-09,Electronics
500,Customer_642,19.7,2026-06-20,Books
501,Customer_657,239.75,2025-10-18,Furniture
502,Customer_565,496.66,2025-11-02,Furniture
503,Customer_152,341.5,2026-02-13,Toys
504,Customer_777,302.17,2026-01-03,Toys
505,Customer_598,408.53,2026-05-18,Books
506,Customer_435,231.83,2026-03-18,Toys
507,Customer_311,418.27,2026-03-13,Clothing
508,Customer_1000,53.37,2026-03-24,Furniture
509,Customer_28,340.43,2026-07-22,Furniture
510,Customer_133,329.78,2025-08-03,Books
511,Customer_779,462.21,2025-12-02,Books
512,Customer_128,468.08,2026-07-23,Furniture
513,Customer_595,380.94,2025-12-09,Clothing
514,Customer_246,26.14,2025-10-31,Clothing
515,Customer_262,312.03,2026-01-19,Furniture
516,Customer_60,421.2,2026-05-27,Books
517,Customer_837,325.55,2026-07-25,Furniture
518,Customer_706,371.93,2026-08-02,Books
519,Customer_39,92.51,2025-12-07,Toys
520,Customer_961,174.36,2025-11-19,Toys
521,Customer_631,24.82,2026-05-01,Clothing
522,Customer_25,469.67,2025-08-08,Furniture
523,Customer_16,447.09,2026-05-27,Furniture
524,Customer_46,214.09,2025-09-15,Furniture
525,Customer_200,102.44,2025-08-03,Clothing
526,Customer_432,492.29,2026-02-10,Furniture
527,Customer_20,11.04,2026-05-10,Toys
528,Customer_304,448.55,2025-09-25,Furniture
529,Customer_871,216.24,2025-09-11,Furniture
530,Customer_374,496.34,2025-09-21,Toys
531,Customer_963,327.06,2025-10-13,Electronics
532,Customer_100,274.46,2025-10-06,Clothing
533,Customer_985,265.58,2026-06-20,Books
534,Customer_588,472.62,2026-01-22,Toys
535,Customer_599,361.9,2026-01-29,Clothing
536,Customer_209,302.02,2025-12-27,Electronics
537,Customer_59,76.44,2025-12-31,Electronics
538,Customer_20,441.63,2025-09-16,Furniture
539,Customer_459,178.16,2025-09-09,Furniture
540,Customer_177,373.14,2025-10-26,Clothing
541,Customer_743,119.85,2025-11-06,Clothing
542,Customer_602,241.02,2026-04-21,Toys
543,Customer_998,411.17,2026-07-28,Books
544,Customer_810,150.41,2025-12-15,Clothing
545,Customer_222,295.46,2026-07-12,Toys
