OrderID,CustomerName,Amount,Date,Category
1,Customer_792,424.01,2026-05-12,Electronics
2,Customer_650,474.9,2026-01-19,Furniture
3,Customer_672,295.14,2025-09-23,Furniture
4,Customer_337,117.19,2026-01-01,Clothing
5,Customer_11,494.64,2026-07-11,Toys
6,Customer_704,112.97,2026-01-12,Electronics
7,Customer_461,84.29,2026-05-21,Electronics
8,Customer_205,373.57,2025-08-27,Books
9,Customer_784,362.73,2026-05-01,Furniture
10,Customer_53,355.28,2025-09-17,Books
11,Customer_858,270.06,2025-10-15,Books
12,Customer_626,469.04,2025-09-23,Electronics
13,Customer_335,252.31,2025-08-29,Electronics
14,Customer_979,228.87,2026-02-07,Furniture
15,Customer_797,114.38,2026-03-20,Books
16,Customer_693,80.57,2025-08-09,Toys
17,Customer_256,232.34,2025-12-04,Toys
18,Customer_326,133.76,2025-10-28,Clothing
19,Customer_225,130.89,2026-04-11,Electronics
20,Customer_100,246.51,2026-05-07,Furniture
21,Customer_332,102.55,2026-03-01,Furniture
22,Customer_727,133.45,2026-03-09,Furniture
23,Customer_703,272.27,2025-12-11,Books
24,Customer_826,437.69,2025-10-13,Clothing
25,Customer_495,460.55,2025-12-01,Furniture
26,Customer_706,70.71,2026-07-13,Clothing
27,Customer_716,452.7,2026-05-17,Furniture
28,Customer_821,158.57,2026-05-22,Toys
29,Customer_576,41.2,2025-11-28,Furniture
30,Customer_455,370.85,2026-04-30,Toys
31,Customer_298,307.58,2025-09-03,Clothing
32,Customer_259,329.64,2025-08-22,Toys
33,Customer_157,481.15,2025-11-17,Electronics
34,Customer_736,153.9,2026-05-29,Books
35,Customer_190,48.96,2025-09-15,Clothing
36,Customer_750,118.14,2026-06-17,Electronics
37,Customer_194,185.28,2026-07-16,Furniture
38,Customer_19,84.73,2025-08-24,Books
39,Customer_8,11.41,2026-01-04,Electronics
40,Customer_976,419.2,2026-07-18,Clothing
41,Customer_76,498.13,2026-03-27,Toys
42,Customer_570,266.05,2026-02-28,Electronics
43,Customer_249,495.08,2026-06-13,Electronics
44,Customer_205,373.54,2026-07-18,Furniture
45,Customer_145,370.07,2025-10-17,Furniture
46,Customer_206,348.7,2025-11-17,Books
47,Customer_986,494.06,2025-11-06,Furniture
48,Customer_956,60.46,2025-12-31,Clothing
49,Customer_856,116.22,2026-01-19,Clothing
50,Customer_918,202.93,2026-05-01,Electronics
51,Customer_161,469.42,2026-01-17,Clothing
52,Customer_97,89.17,2026-03-04,Toys
53,Customer_881,62.0,2026-05-07,Furniture
