OrderID,CustomerName,Amount,Date,Category
1,Customer_284,417.17,2026-04-26,Toys
2,Customer_949,54.41,2025-11-27,Toys
3,Customer_579,290.89,2026-03-02,Clothing
4,Customer_607,186.44,2026-07-08,Books
5,Customer_867,98.82,2025-12-04,Furniture
6,Customer_317,428.28,2026-07-05,Furniture
7,Customer_292,97.32,2025-10-04,Furniture
8,Customer_940,168.46,2026-01-18,Books
9,Customer_618,493.88,2025-10-15,Furniture
10,Customer_91,291.72,2026-07-04,Books
11,Customer_740,57.96,2026-05-02,Toys
12,Customer_242,379.56,2026-05-29,Clothing
13,Customer_41,301.36,2025-11-05,Electronics
14,Customer_955,99.67,2026-05-13,Furniture
15,Customer_468,365.54,2025-08-21,Furniture
16,Customer_251,149.15,2026-06-13,Clothing
17,Customer_119,294.47,2026-04-08,Furniture
18,Customer_240,395.23,2025-10-15,Books
19,Customer_354,384.88,2026-06-28,Books
20,Customer_865,425.02,2026-04-07,Electronics
21,Customer_845,302.62,2026-02-24,Clothing
22,Customer_556,395.99,2026-04-03,Electronics
23,Customer_339,354.68,2025-11-27,Electronics
24,Customer_831,39.43,2026-07-11,Toys
25,Customer_570,269.43,2026-06-20,Clothing
26,Customer_706,242.84,2025-09-19,Electronics
27,Customer_262,490.88,2026-08-02,Toys
28,Customer_79,303.98,2025-10-14,Toys
29,Customer_772,384.18,2026-04-28,Books
30,Customer_871,16.49,2026-07-20,Toys
31,Customer_556,127.7,2025-10-04,Books
32,Customer_119,237.08,2025-09-20,Clothing
33,Customer_159,30.81,2025-11-27,Furniture
34,Customer_826,376.98,2026-05-09,Books
35,Customer_208,455.01,2025-09-23,Furniture
36,Customer_726,227.58,2025-09-16,Clothing
37,Customer_587,444.11,2026-02-15,Books
38,Customer_220,91.55,2025-09-25,Electronics
39,Customer_515,10.19,2025-11-03,Electronics
40,Customer_737,484.17,2026-02-17,Clothing
41,Customer_581,496.06,2025-11-16,Electronics
42,Customer_414,199.25,2025-12-30,Toys
43,Customer_571,191.7,2025-08-06,Furniture
44,Customer_48,259.6,2025-08-18,Clothing
45,Customer_895,149.6,2026-01-13,Furniture
46,Customer_526,28.37,2025-11-28,Furniture
47,Customer_768,40.65,2026-04-15,Electronics
48,Customer_928,67.02,2026-03-22,Electronics
49,Customer_566,360.48,2026-04-17,Furniture
50,Customer_805,119.58,2026-04-24,Clothing
51,Customer_810,196.6,2025-08-03,Electronics
52,Customer_696,187.99,2026-01-16,Electronics
53,Customer_585,278.86,2025-11-22,Toys
54,Customer_978,84.06,2026-03-19,Electronics
55,Customer_511,473.08,2026-06-07,Books
56,Customer_807,485.53,2025-09-06,Clothing
57,Customer_913,244.55,2025-11-07,Books
58,Customer_122,470.23,2026-05-09,Electronics
59,Customer_17,463.06,2026-04-22,Electronics
60,Customer_521,426.88,2026-06-18,Furniture
61,Customer_316,456.67,2026-02-09,Electronics
62,Customer_916,85.19,2025-09-01,Electronics
63,Customer_339,342.96,2026-05-11,Toys
64,Customer_511,218.74,2025-09-05,Furniture
65,Customer_674,132.24,2025-10-13,Furniture
66,Customer_247,246.5,2026-07-20,Furniture
67,Customer_581,82.07,2025-12-23,Toys
68,Customer_167,476.85,2026-05-29,Furniture
69,Customer_499,92.81,2025-10-04,Books
70,Customer_899,292.71,2026-04-23,Clothing
71,Customer_17,145.5,2026-06-12,Clothing
72,Customer_159,92.67,2025-12-29,Toys
73,Customer_494,217.59,2025-09-23,Electronics
74,Customer_325,118.23,2026-08-01,Clothing
75,Customer_513,215.42,2025-11-03,Furniture
76,Customer_822,378.76,2026-04-04,Furniture
