OrderID,CustomerName,Amount,Date,Category
1,Customer_767,395.09,2026-02-28,Clothing
2,Customer_554,493.16,2026-03-13,Electronics
3,Customer_48,423.81,2026-02-11,Electronics
4,Customer_328,97.42,2026-06-03,Furniture
5,Customer_956,144.81,2025-09-30,Clothing
6,Customer_541,109.44,2025-09-06,Electronics
7,Customer_6,256.5,2026-06-22,Toys
8,Customer_299,33.29,2026-06-29,Furniture
9,Customer_852,484.37,2026-03-05,Toys
10,Customer_217,418.49,2025-08-18,Electronics
11,Customer_190,314.18,2026-04-20,Furniture
12,Customer_185,106.29,2026-04-01,Toys
13,Customer_829,208.37,2025-11-07,Books
14,Customer_348,312.85,2026-07-29,Furniture
15,Customer_890,452.24,2026-04-25,Furniture
16,Customer_316,355.21,2026-05-25,Books
17,Customer_969,20.97,2025-11-13,Toys
18,Customer_373,169.8,2026-04-25,Clothing
19,Customer_500,414.89,2025-08-29,Electronics
20,Customer_169,449.39,2025-10-11,Clothing
21,Customer_930,302.81,2026-01-21,Electronics
22,Customer_681,217.91,2025-10-18,Toys
23,Customer_622,46.09,2025-09-11,Furniture
24,Customer_968,455.53,2025-12-20,Clothing
25,Customer_529,490.03,2025-09-22,Clothing
26,Customer_876,238.82,2025-09-30,Clothing
27,Customer_192,193.62,2026-07-17,Clothing
28,Customer_693,298.43,2026-03-18,Electronics
29,Customer_57,34.35,2026-01-14,Books
30,Customer_87,475.89,2026-05-05,Toys
31,Customer_515,183.42,2026-03-18,Electronics
32,Customer_851,481.66,2025-10-10,Clothing
33,Customer_519,485.86,2026-01-21,Furniture
34,Customer_764,218.8,2025-09-28,Toys
35,Customer_613,409.4,2026-01-18,Furniture
36,Customer_473,148.7,2025-12-29,Clothing
37,Customer_150,469.61,2026-02-24,Electronics
38,Customer_514,347.71,2026-06-19,Clothing
39,Customer_172,61.78,2025-08-08,Clothing
40,Customer_698,219.29,2025-12-31,Furniture
41,Customer_733,457.7,2026-07-04,Clothing
42,Customer_286,118.17,2026-01-16,Furniture
43,Customer_420,452.79,2025-12-25,Books
44,Customer_779,475.6,2026-03-23,Toys
45,Customer_744,58.52,2025-12-18,Electronics
46,Customer_612,154.95,2026-01-10,Toys
47,Customer_1000,368.08,2025-09-28,Toys
48,Customer_292,482.62,2025-11-23,Books
49,Customer_435,185.5,2025-12-31,Clothing
50,Customer_281,469.73,2025-11-06,Toys
51,Customer_246,283.91,2025-11-18,Toys
52,Customer_819,491.63,2026-02-04,Clothing
53,Customer_999,283.03,2026-02-10,Electronics
54,Customer_825,45.05,2025-11-13,Electronics
55,Customer_137,48.63,2025-10-31,Electronics
56,Customer_824,161.77,2026-03-24,Furniture
57,Customer_77,173.98,2026-07-09,Books
58,Customer_514,299.9,2026-02-10,Books
59,Customer_853,89.37,2025-11-17,Electronics
60,Customer_394,262.04,2026-05-19,Furniture
61,Customer_416,241.97,2026-05-03,Furniture
62,Customer_644,161.86,2025-08-24,Books
63,Customer_138,50.45,2026-07-18,Books
64,Customer_33,278.66,2025-10-04,Furniture
65,Customer_776,308.96,2026-03-15,Clothing
66,Customer_487,45.72,2026-06-26,Books
67,Customer_838,56.66,2025-11-19,Clothing
68,Customer_562,118.85,2026-05-06,Electronics
69,Customer_218,250.27,2025-12-23,Toys
70,Customer_514,445.31,2026-05-04,Furniture
71,Customer_867,384.52,2026-07-10,Clothing
72,Customer_351,181.83,2025-10-27,Electronics
73,Customer_592,220.28,2026-07-19,Books
74,Customer_696,449.4,2025-08-29,Furniture
75,Customer_354,330.7,2026-05-19,Toys
76,Customer_776,291.0,2026-06-13,Toys
77,Customer_332,98.35,2025-12-10,Toys
78,Customer_218,384.25,2025-10-20,Clothing
79,Customer_314,350.08,2026-07-08,Books
80,Customer_773,168.16,2026-04-29,Clothing
81,Customer_757,190.91,2025-09-02,Books
82,Customer_272,36.79,2026-06-14,Clothing
83,Customer_426,297.25,2026-07-01,Toys
84,Customer_934,162.88,2026-05-26,Toys
85,Customer_721,377.16,2026-07-15,Clothing
86,Customer_71,346.72,2026-06-13,Electronics
87,Customer_947,65.84,2025-10-11,Electronics
88,Customer_113,58.78,2026-06-20,Clothing
89,Customer_403,30.31,2025-10-09,Furniture
90,Customer_881,371.45,2025-09-21,Toys
91,Customer_620,270.69,2026-04-11,Clothing
92,Customer_926,310.31,2025-08-02,Books
93,Customer_119,342.33,2026-04-18,Clothing
94,Customer_526,241.54,2026-04-17,Furniture
95,Customer_707,78.57,2025-08-21,Toys
96,Customer_550,366.4,2025-08-19,Clothing
97,Customer_672,185.26,2026-01-09,Toys
98,Customer_69,218.23,2025-11-25,Clothing
99,Customer_887,206.84,2026-03-04,Books
100,Customer_571,474.78,2025-12-28,Furniture
101,Customer_721,307.94,2026-04-29,Electronics
102,Customer_588,145.73,2026-04-13,Books
103,Customer_271,34.32,2025-11-22,Books
104,Customer_994,113.31,2026-03-02,Books
105,Customer_241,222.93,2025-11-28,Electronics
106,Customer_747,50.03,2025-12-12,Toys
107,Customer_453,171.27,2025-12-31,Furniture
108,Customer_114,495.14,2025-08-28,Electronics
109,Customer_386,22.44,2025-11-05,Furniture
110,Customer_990,329.56,2025-09-26,Toys
111,Customer_782,104.66,2026-04-12,Furniture
