OrderID,CustomerName,Amount,Date,Category
1,Customer_561,94.14,2026-05-19,Toys
2,Customer_954,487.55,2026-07-25,Clothing
3,Customer_354,23.07,2025-08-10,Electronics
4,Customer_656,69.39,2025-12-16,Toys
5,Customer_22,250.61,2026-02-24,Clothing
6,Customer_947,182.75,2026-03-27,Clothing
7,Customer_376,140.58,2025-12-03,Furniture
8,Customer_948,299.08,2025-08-08,Furniture
9,Customer_108,290.68,2026-05-06,Electronics
10,Customer_266,16.0,2026-07-09,Electronics
11,Customer_609,285.22,2025-11-25,Toys
12,Customer_220,364.21,2026-04-08,Clothing
13,Customer_177,400.74,2025-11-19,Toys
14,Customer_127,435.38,2025-11-25,Books
15,Customer_235,181.14,2025-10-07,Furniture
16,Customer_148,190.3,2026-02-03,Electronics
17,Customer_771,261.47,2026-01-24,Clothing
18,Customer_478,21.28,2025-08-27,Furniture
19,Customer_7,92.94,2025-11-27,Clothing
20,Customer_794,444.98,2026-02-15,Books
21,Customer_707,133.04,2025-08-19,Clothing
22,Customer_285,412.67,2026-05-21,Electronics
23,Customer_987,225.18,2025-10-08,Clothing
24,Customer_711,150.2,2025-08-20,Books
25,Customer_95,472.84,2026-07-20,Electronics
26,Customer_660,215.58,2026-04-03,Furniture
27,Customer_101,483.6,2026-01-04,Toys
28,Customer_54,56.58,2026-03-12,Electronics
29,Customer_656,116.34,2025-08-22,Furniture
30,Customer_113,436.16,2026-02-15,Electronics
31,Customer_146,92.47,2026-03-25,Electronics
32,Customer_986,126.28,2026-05-15,Books
33,Customer_436,305.71,2025-11-07,Clothing
34,Customer_155,314.5,2025-12-28,Electronics
35,Customer_256,387.83,2026-03-24,Clothing
36,Customer_873,16.17,2025-12-23,Books
37,Customer_425,438.52,2026-03-16,Electronics
38,Customer_151,269.02,2026-07-29,Toys
39,Customer_631,81.07,2026-03-20,Furniture
40,Customer_345,75.53,2025-11-12,Books
41,Customer_856,167.47,2026-02-22,Electronics
42,Customer_584,273.05,2025-11-10,Furniture
43,Customer_859,282.0,2026-07-29,Furniture
44,Customer_753,472.16,2026-06-02,Clothing
45,Customer_346,312.4,2025-11-15,Furniture
46,Customer_187,480.22,2026-04-10,Clothing
47,Customer_273,90.67,2025-09-26,Books
48,Customer_570,199.65,2026-01-09,Furniture
49,Customer_539,418.65,2026-07-30,Furniture
50,Customer_59,455.88,2026-06-01,Electronics
51,Customer_911,188.79,2025-10-31,Furniture
52,Customer_429,72.47,2026-03-09,Clothing
53,Customer_271,118.13,2026-06-09,Furniture
54,Customer_970,133.45,2026-06-05,Clothing
55,Customer_392,170.85,2026-04-25,Toys
56,Customer_77,149.87,2026-02-17,Books
57,Customer_185,468.21,2026-01-16,Books
58,Customer_795,447.92,2025-09-11,Furniture
59,Customer_342,31.13,2025-11-06,Books
60,Customer_336,147.69,2026-05-12,Electronics
61,Customer_177,177.69,2026-01-29,Furniture
62,Customer_927,350.88,2026-04-08,Books
63,Customer_91,130.6,2025-11-10,Electronics
64,Customer_132,253.06,2025-12-17,Electronics
65,Customer_511,163.44,2026-05-22,Electronics
66,Customer_405,254.19,2026-04-10,Furniture
67,Customer_442,206.73,2026-04-21,Furniture
68,Customer_136,270.82,2026-06-23,Furniture
69,Customer_805,353.66,2026-06-26,Clothing
70,Customer_484,180.83,2025-11-21,Electronics
71,Customer_661,121.65,2025-11-16,Electronics
72,Customer_774,46.36,2026-06-18,Electronics
73,Customer_969,479.11,2025-12-19,Electronics
74,Customer_436,177.63,2026-02-04,Books
75,Customer_267,411.87,2026-05-03,Clothing
76,Customer_602,79.22,2025-10-14,Books
77,Customer_831,264.67,2026-07-07,Toys
78,Customer_919,157.37,2026-05-20,Books
79,Customer_578,117.6,2026-02-23,Clothing
80,Customer_967,173.98,2025-12-04,Electronics
81,Customer_694,219.79,2026-01-10,Furniture
82,Customer_432,402.95,2026-01-14,Books
83,Customer_490,469.75,2026-01-19,Clothing
