OrderID,CustomerName,Amount,Date,Category
1,Customer_256,17.58,2026-07-29,Clothing
2,Customer_232,391.29,2025-12-12,Electronics
3,Customer_596,398.6,2026-05-05,Electronics
4,Customer_158,152.54,2026-04-21,Electronics
5,Customer_620,225.22,2025-10-14,Clothing
6,Customer_811,130.89,2026-01-05,Books
7,Customer_541,83.76,2025-09-02,Toys
8,Customer_766,247.43,2026-07-18,Toys
9,Customer_573,108.6,2026-02-04,Toys
10,Customer_314,472.91,2026-06-04,Toys
11,Customer_550,238.93,2026-06-19,Furniture
12,Customer_748,423.01,2026-07-12,Toys
13,Customer_806,333.8,2025-09-15,Toys
14,Customer_374,175.25,2026-07-20,Toys
15,Customer_191,385.08,2026-03-05,Electronics
16,Customer_547,498.61,2025-11-11,Electronics
17,Customer_787,323.48,2026-03-25,Clothing
18,Customer_903,336.48,2025-10-10,Electronics
19,Customer_20,496.86,2025-08-10,Clothing
20,Customer_198,50.43,2026-01-20,Clothing
21,Customer_406,27.18,2025-12-08,Toys
22,Customer_163,365.24,2025-08-18,Electronics
23,Customer_290,391.64,2026-04-23,Furniture
24,Customer_95,451.44,2026-03-02,Furniture
25,Customer_616,271.59,2025-08-28,Toys
26,Customer_361,124.6,2026-03-22,Clothing
27,Customer_930,386.7,2026-04-15,Electronics
28,Customer_438,242.4,2026-05-18,Toys
29,Customer_298,323.87,2025-10-12,Furniture
30,Customer_701,61.59,2025-09-19,Electronics
31,Customer_276,149.84,2025-10-23,Electronics
32,Customer_30,173.08,2026-03-30,Toys
33,Customer_454,495.3,2025-08-21,Clothing
34,Customer_111,449.31,2026-07-16,Electronics
35,Customer_264,401.07,2026-06-11,Toys
36,Customer_933,472.11,2025-08-21,Furniture
37,Customer_693,379.13,2025-08-19,Electronics
38,Customer_647,443.4,2026-07-15,Toys
39,Customer_310,176.05,2026-01-21,Toys
40,Customer_658,324.43,2025-11-02,Furniture
41,Customer_648,349.82,2026-01-17,Electronics
42,Customer_806,210.47,2026-04-16,Toys
43,Customer_891,497.51,2026-02-19,Toys
44,Customer_884,258.23,2025-10-24,Electronics
45,Customer_703,202.25,2026-04-23,Books
46,Customer_242,415.4,2026-03-08,Electronics
47,Customer_608,129.87,2026-04-06,Clothing
48,Customer_519,436.95,2026-03-28,Toys
49,Customer_165,90.49,2026-05-07,Books
50,Customer_377,149.93,2025-09-17,Books
51,Customer_775,99.73,2026-01-29,Clothing
52,Customer_72,60.96,2026-01-26,Books
53,Customer_185,99.99,2026-06-08,Clothing
54,Customer_909,363.49,2026-07-09,Toys
55,Customer_424,259.07,2026-07-19,Books
56,Customer_755,450.1,2026-01-08,Books
57,Customer_525,236.72,2026-03-22,Clothing
58,Customer_131,366.63,2026-03-09,Electronics
59,Customer_790,65.0,2026-05-18,Electronics
60,Customer_378,410.07,2026-06-10,Clothing
61,Customer_866,58.46,2025-09-05,Clothing
62,Customer_652,460.98,2026-04-04,Books
63,Customer_947,198.91,2026-07-25,Furniture
64,Customer_702,140.71,2026-06-28,Books
65,Customer_688,42.81,2025-08-29,Electronics
66,Customer_141,14.28,2025-12-16,Toys
67,Customer_578,481.62,2026-07-29,Toys
68,Customer_992,47.9,2026-07-28,Books
69,Customer_930,95.51,2026-03-31,Furniture
70,Customer_581,129.72,2026-07-20,Furniture
71,Customer_642,33.9,2025-11-27,Books
72,Customer_165,353.12,2025-08-26,Electronics
73,Customer_241,103.1,2026-06-08,Electronics
74,Customer_985,177.19,2026-04-26,Furniture
75,Customer_188,267.55,2026-03-16,Electronics
76,Customer_699,443.03,2026-04-15,Books
77,Customer_553,171.65,2025-12-13,Books
78,Customer_909,341.15,2025-11-10,Toys
79,Customer_911,259.63,2026-06-02,Books
80,Customer_390,341.18,2026-01-17,Books
81,Customer_294,359.87,2026-03-17,Books
82,Customer_466,104.72,2025-11-20,Clothing
83,Customer_408,432.26,2025-09-03,Electronics
84,Customer_102,32.03,2025-08-14,Toys
85,Customer_996,244.9,2026-02-06,Furniture
86,Customer_649,436.39,2025-11-28,Furniture
87,Customer_92,107.21,2026-07-12,Electronics
88,Customer_119,15.24,2026-06-10,Toys
89,Customer_276,153.71,2026-04-13,Electronics
90,Customer_323,84.34,2025-08-08,Toys
91,Customer_763,39.16,2025-12-15,Electronics
92,Customer_201,129.71,2026-07-09,Books
93,Customer_365,157.95,2025-10-18,Clothing
94,Customer_183,340.45,2025-12-21,Toys
95,Customer_783,412.88,2026-01-21,Toys
96,Customer_766,428.89,2026-05-13,Toys
97,Customer_263,168.28,2026-07-08,Clothing
98,Customer_552,385.01,2026-04-26,Toys
99,Customer_906,216.67,2025-09-17,Electronics
100,Customer_236,471.19,2025-11-02,Books
101,Customer_318,229.7,2025-10-23,Toys
102,Customer_643,454.56,2026-04-08,Clothing
103,Customer_881,362.8,2026-01-01,Electronics
104,Customer_921,490.21,2026-07-13,Books
105,Customer_535,456.04,2026-05-12,Toys
106,Customer_721,256.95,2026-02-15,Clothing
107,Customer_972,464.46,2026-05-19,Clothing
108,Customer_620,191.41,2026-02-26,Electronics
109,Customer_746,80.01,2025-10-15,Clothing
110,Customer_179,426.68,2025-12-12,Books
111,Customer_539,53.75,2025-12-09,Electronics
112,Customer_508,66.94,2026-07-07,Toys
113,Customer_187,140.99,2025-09-21,Furniture
114,Customer_188,249.51,2026-05-16,Books
115,Customer_278,297.57,2026-04-25,Books
116,Customer_426,220.18,2026-03-30,Toys
117,Customer_385,176.1,2025-09-21,Books
118,Customer_758,72.99,2026-05-21,Electronics
119,Customer_2,312.96,2025-12-16,Books
120,Customer_328,96.27,2025-10-10,Books
121,Customer_532,117.85,2025-08-11,Furniture
122,Customer_253,200.47,2026-04-22,Electronics
123,Customer_781,252.58,2025-08-31,Books
124,Customer_429,185.46,2025-11-21,Clothing
125,Customer_251,41.99,2025-08-24,Books
126,Customer_250,377.66,2026-04-20,Toys
127,Customer_218,424.68,2025-12-25,Furniture
128,Customer_735,44.73,2025-09-18,Clothing
129,Customer_363,366.78,2026-07-28,Toys
130,Customer_843,285.95,2025-11-27,Toys
