OrderID,CustomerName,Amount,Date,Category
1,Customer_278,484.82,2026-06-26,Furniture
2,Customer_247,197.32,2026-02-10,Toys
3,Customer_899,247.81,2026-07-23,Furniture
4,Customer_901,248.66,2025-09-04,Electronics
5,Customer_865,268.78,2026-05-02,Toys
6,Customer_253,216.49,2026-05-22,Books
7,Customer_225,409.45,2025-09-02,Furniture
8,Customer_518,427.74,2026-02-24,Books
9,Customer_871,202.24,2026-05-08,Furniture
10,Customer_515,458.54,2026-01-27,Books
11,Customer_761,251.65,2025-08-08,Clothing
12,Customer_774,98.45,2026-04-23,Toys
13,Customer_565,299.19,2025-10-06,Toys
14,Customer_977,316.86,2025-08-04,Books
15,Customer_657,428.69,2025-10-14,Furniture
16,Customer_286,382.16,2026-06-30,Furniture
17,Customer_246,251.75,2026-05-29,Furniture
18,Customer_914,425.15,2025-08-23,Furniture
19,Customer_159,123.43,2026-01-07,Furniture
20,Customer_123,17.87,2025-12-02,Clothing
21,Customer_637,350.44,2026-03-07,Clothing
22,Customer_736,417.84,2025-10-16,Furniture
23,Customer_1000,364.45,2025-09-20,Furniture
24,Customer_518,299.65,2026-06-03,Books
25,Customer_321,322.33,2026-01-06,Clothing
26,Customer_463,284.52,2026-01-04,Electronics
27,Customer_221,331.55,2025-10-01,Toys
28,Customer_654,311.09,2026-04-09,Books
29,Customer_844,397.47,2026-07-06,Furniture
30,Customer_262,62.12,2025-10-02,Clothing
31,Customer_533,41.26,2026-01-03,Electronics
32,Customer_106,63.19,2026-07-18,Books
33,Customer_430,166.22,2025-10-28,Electronics
34,Customer_222,250.45,2025-11-29,Books
35,Customer_612,39.38,2026-07-11,Books
36,Customer_784,462.69,2025-11-21,Clothing
37,Customer_477,322.89,2026-08-02,Toys
38,Customer_854,267.69,2026-02-02,Furniture
39,Customer_212,138.25,2026-01-06,Electronics
40,Customer_578,474.65,2026-04-30,Electronics
41,Customer_675,109.16,2025-10-28,Toys
42,Customer_154,188.77,2026-06-10,Electronics
43,Customer_894,464.29,2025-10-26,Clothing
44,Customer_399,207.3,2025-08-19,Clothing
45,Customer_849,36.25,2025-12-15,Clothing
46,Customer_579,312.45,2025-09-01,Books
47,Customer_811,244.04,2025-10-25,Books
48,Customer_892,339.59,2025-11-25,Furniture
49,Customer_885,289.08,2026-03-24,Toys
50,Customer_447,225.48,2025-12-18,Books
