OrderID,CustomerName,Amount,Date,Category
1,Customer_994,100.6,2026-01-29,Books
2,Customer_702,385.16,2025-12-31,Electronics
3,Customer_216,462.95,2026-04-08,Books
4,Customer_360,215.99,2026-05-24,Books
5,Customer_516,120.99,2026-06-30,Furniture
6,Customer_118,327.75,2026-05-23,Books
7,Customer_651,381.51,2026-07-18,Toys
8,Customer_808,363.81,2026-06-27,Electronics
9,Customer_993,340.17,2026-03-24,Furniture
10,Customer_243,170.55,2026-01-24,Books
11,Customer_394,153.4,2025-11-03,Electronics
12,Customer_730,101.59,2026-04-20,Toys
13,Customer_327,333.23,2025-11-09,Electronics
14,Customer_644,144.3,2026-03-20,Clothing
15,Customer_201,54.01,2025-12-13,Toys
16,Customer_252,184.43,2026-06-22,Clothing
17,Customer_209,258.54,2026-02-02,Electronics
18,Customer_380,389.16,2025-08-23,Toys
19,Customer_886,398.22,2026-04-03,Toys
20,Customer_987,430.38,2026-07-07,Electronics
21,Customer_340,86.93,2025-10-20,Toys
22,Customer_319,264.72,2026-07-23,Electronics
23,Customer_637,156.06,2025-08-09,Clothing
24,Customer_1000,247.87,2026-07-10,Clothing
25,Customer_84,148.48,2026-06-15,Furniture
26,Customer_37,423.66,2025-11-26,Furniture
27,Customer_612,498.42,2025-10-01,Books
28,Customer_511,148.64,2026-07-01,Clothing
29,Customer_616,92.76,2026-03-17,Electronics
30,Customer_375,342.72,2025-12-24,Books
31,Customer_897,433.77,2026-07-09,Furniture
32,Customer_69,432.13,2025-09-26,Toys
33,Customer_810,226.1,2026-07-06,Electronics
34,Customer_387,96.48,2026-07-21,Electronics
35,Customer_10,34.38,2026-05-23,Clothing
36,Customer_627,23.32,2025-12-07,Toys
37,Customer_576,51.46,2026-04-24,Books
38,Customer_328,474.35,2025-08-09,Toys
39,Customer_735,294.74,2025-12-17,Electronics
40,Customer_888,369.65,2026-01-18,Books
41,Customer_657,461.43,2026-02-24,Books
42,Customer_518,486.11,2026-02-09,Books
43,Customer_118,232.36,2026-04-30,Toys
44,Customer_256,371.49,2025-12-30,Toys
45,Customer_147,485.6,2026-04-28,Furniture
46,Customer_679,378.46,2025-09-04,Electronics
47,Customer_390,284.35,2025-08-20,Clothing
48,Customer_259,306.47,2025-08-28,Books
49,Customer_412,468.4,2026-06-01,Toys
50,Customer_846,468.39,2026-07-13,Electronics
51,Customer_208,312.8,2026-04-02,Furniture
52,Customer_547,177.88,2026-06-07,Clothing
53,Customer_105,56.0,2025-08-06,Electronics
54,Customer_397,142.06,2026-07-08,Furniture
55,Customer_910,85.05,2026-02-08,Electronics
56,Customer_946,140.52,2025-09-14,Electronics
57,Customer_551,31.26,2025-08-19,Furniture
58,Customer_535,35.97,2026-01-15,Toys
59,Customer_614,10.77,2025-08-08,Electronics
60,Customer_238,176.49,2025-10-15,Toys
61,Customer_656,367.49,2026-05-15,Electronics
62,Customer_512,15.03,2026-06-17,Toys
63,Customer_999,44.9,2025-08-11,Clothing
64,Customer_293,134.73,2025-10-04,Furniture
65,Customer_800,118.18,2025-09-27,Books
66,Customer_666,246.21,2025-09-20,Books
67,Customer_985,446.33,2025-11-18,Electronics
68,Customer_48,437.39,2025-11-23,Toys
69,Customer_223,276.79,2026-04-12,Furniture
70,Customer_292,81.02,2025-09-27,Furniture
71,Customer_105,114.89,2025-12-22,Electronics
72,Customer_218,495.23,2026-01-24,Books
73,Customer_561,120.18,2026-07-24,Clothing
74,Customer_120,119.13,2026-02-12,Electronics
75,Customer_855,22.64,2026-06-24,Books
76,Customer_620,412.82,2026-04-28,Furniture
77,Customer_785,155.12,2026-06-23,Clothing
78,Customer_419,175.25,2026-04-25,Electronics
79,Customer_555,207.25,2026-06-21,Clothing
80,Customer_864,182.25,2026-03-01,Electronics
81,Customer_566,108.97,2026-01-28,Electronics
